raw_section_id,source_orders,domain,subdomain,task_group,representative_leaf_examples,concept_ids,source_image_range
M3_QFUNC_RAW_001,[1],이차함수의 뜻,정의와 판별,이차함수의 뜻과 표준형,"[""a≠0 조건 확인 누락"", ""일차함수와 이차함수 혼동"", ""이차함수의 뜻과 표준형""]","[""M3_FUNC_C001""]",1.png
M3_QFUNC_RAW_002,[1],이차함수의 뜻,함숫값,이차함수의 함숫값 계산,"[""제곱 계산 오류"", ""음수 대입 시 부호 오류"", ""이차함수의 함숫값 계산""]","[""M3_FUNC_C002""]",1.png
M3_QFUNC_RAW_003,"[1, 2]",이차함수의 뜻,조건식,조건을 만족하는 이차함수식 판별,"[""점 좌표 대입 오류"", ""계수 조건 해석 오류"", ""조건을 만족하는 이차함수식 판별""]","[""M3_FUNC_C003""]","1.png, 2.png"
M3_QFUNC_RAW_004,[2],기본 그래프,y=ax²,y=ax²의 그래프 기본형,"[""포물선 방향 착각"", ""꼭짓점을 원점으로 보지 않음"", ""y=ax²의 그래프 기본형""]","[""M3_FUNC_C004""]",2.png
M3_QFUNC_RAW_005,"[2, 3]",기본 그래프,계수 a,a의 부호와 그래프 방향,"[""a 부호와 방향 반대로 해석"", ""그래프 모양만 보고 식 판단 오류"", ""a의 부호와 그래프 방향""]","[""M3_FUNC_C005""]","2.png, 3.png"
M3_QFUNC_RAW_006,[3],기본 그래프,폭,|a|와 그래프의 폭,"[""a값 크기와 폭 관계 반대로 판단"", ""부호와 절댓값 효과 혼동"", ""|a|와 그래프의 폭""]","[""M3_FUNC_C006""]",3.png
M3_QFUNC_RAW_007,[3],기본 그래프,대칭성,y=ax²의 대칭성과 점 대응,"[""대칭점 x좌표 부호 오류"", ""그래프 위 점 판별을 대입하지 않음"", ""y=ax²의 대칭성과 점 대응""]","[""M3_FUNC_C007""]",3.png
M3_QFUNC_RAW_008,[4],기본 그래프,식 구하기,y=ax²의 식 구하기,"[""x² 계산 누락"", ""a 대신 x를 구함"", ""y=ax²의 식 구하기""]","[""M3_FUNC_C008""]",4.png
M3_QFUNC_RAW_009,[4],평행이동,상하 이동,y=ax²+q의 그래프,"[""q 부호와 이동 방향 혼동"", ""꼭짓점 좌표를 (0,q)로 쓰지 못함"", ""y=ax²+q의 그래프""]","[""M3_FUNC_C009""]",4.png
M3_QFUNC_RAW_010,[5],평행이동,좌우 이동,y=a(x-p)²의 그래프,"[""(x-p)²에서 이동 방향 반대로 해석"", ""축 x=p 누락"", ""y=a(x-p)²의 그래프""]","[""M3_FUNC_C010""]",5.png
M3_QFUNC_RAW_011,[5],평행이동,상하좌우 이동,y=a(x-p)²+q의 그래프,"[""p,q 좌표 순서 오류"", ""축과 꼭짓점 혼동"", ""y=a(x-p)²+q의 그래프""]","[""M3_FUNC_C011""]",5.png
M3_QFUNC_RAW_012,[6],평행이동,그래프 위치,"p,q의 부호와 그래프 위치","[""p의 부호 해석 반대"", ""q를 x좌표로 사용"", ""p,q의 부호와 그래프 위치""]","[""M3_FUNC_C012""]",6.png
M3_QFUNC_RAW_013,[6],평행이동,그래프 비교,여러 이차함수 그래프 비교,"[""a와 p,q 효과를 분리하지 못함"", ""폭과 위치를 동시에 비교하지 못함"", ""여러 이차함수 그래프 비교""]","[""M3_FUNC_C013""]",6.png
M3_QFUNC_RAW_014,[7],표준형과 일반형,식 변환,표준형과 일반형의 연결,"[""전개 과정에서 부호 오류"", ""p,q와 b,c를 직접 동일시"", ""표준형과 일반형의 연결""]","[""M3_FUNC_C014""]",7.png
M3_QFUNC_RAW_015,"[7, 8]",표준형과 일반형,완전제곱식,완전제곱식으로 표준형 만들기,"[""완전제곱식 항 추가 오류"", ""상수항 보정 누락"", ""완전제곱식으로 표준형 만들기""]","[""M3_FUNC_C015""]","7.png, 8.png"
M3_QFUNC_RAW_016,[8],표준형과 일반형,축 공식,축 x=-b/2a 이해,"[""-b/2a 부호 오류"", ""분모 2a 누락"", ""축 x=-b/2a 이해""]","[""M3_FUNC_C016""]",8.png
M3_QFUNC_RAW_017,"[8, 9]",표준형과 일반형,꼭짓점,일반형의 꼭짓점 구하기,"[""축만 구하고 y좌표 미계산"", ""대입 계산 오류"", ""일반형의 꼭짓점 구하기""]","[""M3_FUNC_C017""]","8.png, 9.png"
M3_QFUNC_RAW_018,[9],그래프 그리기,기본 작도,이차함수 그래프 그리기,"[""꼭짓점 없이 임의로 그림"", ""대칭점 부족"", ""이차함수 그래프 그리기""]","[""M3_FUNC_C018""]",9.png
