task_id,subject,subject_raw,seed_id,rule_id,connection_score,candidate_count,candidate_mode,decision_stage,tied_with_top_count,top_score,second_score,score_gap,signed_score_gap,subject_score_constant,method_score_constant,content_cap_hit_count,content_truncation_count,method_score_reason,major_fallback_active,top_seed_id,top_label,top_core_score,top_subject_score,top_content_score,top_content_raw,top_content_capped,keyword_score,axis_score,concept_score,task_score,direct_bonus,exact_bonus,guide_vocabulary_bonus,top_method_score,top_major_rank,diagnostics_bytes,output_bytes_without_diagnostics
assessment_task_be547751b6,공통수학1,공통수학1,ENG-101,concept_inquiry_002,90,1,bestForSubjects-literal-exact,single_candidate,1,83,,,,True,True,0,0,no_task_match,False,ENG-101,"3×3 선형 방정식 시스템을 행렬로 표현하고 사루스 법칙·크래머 법칙으로 전기 회로 전류를 계산한 뒤, 컴퓨터 그래픽스 변환과 네트워크 분석으로 확장하는 수학·정보·공학 융합 탐구",83,45,38,38,False,22,0,0,4,0,8,4,0,0,1196,20723
assessment_task_0022c813a0,공통수학1,공통수학1,ENG-101,math_problem_001,70,1,bestForSubjects-literal-exact,single_candidate,1,47,,,,True,True,0,0,no_task_match,False,ENG-101,"3×3 선형 방정식 시스템을 행렬로 표현하고 사루스 법칙·크래머 법칙으로 전기 회로 전류를 계산한 뒤, 컴퓨터 그래픽스 변환과 네트워크 분석으로 확장하는 수학·정보·공학 융합 탐구",47,45,2,2,False,0,0,0,2,0,0,0,0,0,1193,19799
assessment_task_5b54eafc9a,공통수학1,공통수학1,ENG-101,concept_inquiry_002,82,1,bestForSubjects-literal-exact,single_candidate,1,48,,,,True,True,0,0,no_task_match,False,ENG-101,"3×3 선형 방정식 시스템을 행렬로 표현하고 사루스 법칙·크래머 법칙으로 전기 회로 전류를 계산한 뒤, 컴퓨터 그래픽스 변환과 네트워크 분석으로 확장하는 수학·정보·공학 융합 탐구",48,45,3,3,False,0,0,0,3,0,0,0,0,0,1193,20654
assessment_task_282b25eb92,통합사회1,통합사회1,BIO-053,data_analysis_001,82,21,bestForSubjects-literal-exact,coreScore,1,78,77,1,1,True,True,0,0,no_task_match,False,BIO-053,"세계 의료 체계를 국민건강보험, 보편적 의료, 단일·다중 지불, 민간 보험, 공공 여론, 사회적 공정성 관점에서 비교하는 사회문화·경제·보건 융합 탐구",78,45,33,33,False,22,0,0,3,0,8,0,0,0,7187,21209
assessment_task_1a49e16ecb,통합사회1,통합사회1,BIO-053,data_analysis_001,82,21,bestForSubjects-literal-exact,seedId_alphabetical,4,58,58,0,0,True,True,0,0,no_task_match,False,BIO-053,"세계 의료 체계를 국민건강보험, 보편적 의료, 단일·다중 지불, 민간 보험, 공공 여론, 사회적 공정성 관점에서 비교하는 사회문화·경제·보건 융합 탐구",58,45,13,13,False,11,0,0,2,0,0,0,0,0,7197,21502
assessment_task_8e864defde,통합과학1,통합과학1,ENG-095,data_analysis_001,82,176,bestForSubjects-literal-exact,coreScore,1,81,78,3,3,True,True,0,0,no_task_match,False,ENG-095,"로켓 추진 원리를 뉴턴의 제3법칙, 운동량 보존, 추력, 연료·산화제 연소, 로켓 방정식, 특정 충격량과 재사용 로켓 관점에서 분석하는 항공우주·기계공학 탐구",81,45,36,36,False,22,0,0,2,0,8,4,0,0,8060,21268
assessment_task_159540d822,통합과학1,통합과학1,NAT-014,concept_inquiry_002,70,176,bestForSubjects-literal-exact,coreScore,1,49,48,1,1,True,True,0,0,no_task_match,False,NAT-014,"혈당스파이크를 단순히 '단 음식을 먹어서 혈당이 오른다'가 아니라 혈당지수(GI)와 혈당부하지수(GL), 전분 구조·입자 크기·가공도·식이섬유에 따른 소화흡수속도, 식후혈당 곡선(iAUC)과 인슐린 분비, 반복 고혈당이 유발하는 산화스트레스·염증·당화반응, AGE-RAGE 신호와 콜라겐 탄성 저하까지 연결하는 식품영양·생명과학·화학 융합 탐구",49,45,4,4,False,0,0,0,4,0,0,0,0,0,7198,24138
assessment_task_816d13f6c9,과학탐구실험1,과학탐구실험1,ENG-092,data_analysis_001,70,122,bestForSubjects-literal-exact,seedId_alphabetical,3,82,82,0,0,True,True,0,0,no_task_match,False,ENG-092,"폭염이 생태계·농업·수자원·도시 열섬·대기질·산불·에너지 소비에 미치는 영향을 열역학, 냉각 COP, RO 담수화, TiO2 광촉매, 열 반사 코팅 관점에서 분석하는 화학공학·환경공학 탐구",82,45,37,37,False,22,0,0,7,0,8,0,0,0,8714,21275
assessment_task_354c946978,과학탐구실험1,과학탐구실험1,ENG-086,math_problem_001,70,122,bestForSubjects-literal-exact,seedId_alphabetical,7,49,49,0,0,True,True,0,0,no_task_match,False,ENG-086,"생리대 쇼티지를 초흡수성 폴리머(SAP), 자유 라디칼 중합, 폴리에틸렌·폴리프로필렌 필름, 바이오 기반 대체재, 공정 자동화와 비용 절감으로 분석하는 화학공학·고분자재료 융합 탐구",49,45,4,4,False,0,0,0,4,0,0,0,0,0,8043,21173
assessment_task_b55fa63813,과학탐구실험1,과학탐구실험1,ENG-050,experiment_science_001,82,122,bestForSubjects-literal-exact,seedId_alphabetical,3,79,79,0,0,True,True,0,0,no_task_match,False,ENG-050,"균일한 빛이 만든 간츠펠트 효과를 로돕신-레티날 광이성질화, 광자 에너지, 로돕신 탈색 비율, 전기망막도(ERG), 분광분석으로 해석하고 전시·VR 조명 안전 설계로 확장하는 융합 탐구",79,45,34,34,False,22,0,0,4,0,8,0,0,0,7861,19010
assessment_task_d299112da1,과학탐구실험1,과학탐구실험1,NAT-009,experiment_science_001,82,122,bestForSubjects-literal-exact,seedId_alphabetical,3,82,82,0,0,True,True,0,0,no_task_match,False,NAT-009,"락스(차아염소산나트륨)의 물때 제거를 단순 청소 효과가 아니라 HOCl/OCl- 평형, 산화·환원, 단백질 산화·염소화, 생물막 파괴, 크로모포어 표백, 희석·접촉시간·온도·pH 조건 설계와 혼합 금지 안전교육까지 연결하는 생활화학 기반 화학·생명과학 융합 탐구",82,45,37,37,False,22,0,0,7,4,0,4,0,0,8413,20262
