raw_section_id,source_order,source_image,major_category,section_name,normalized_concept_id,estimated_detail_type_count_in_major,error_tags,status
H1_CM2_GEQ_RAW_001,1,1.png,수직선 위의 두 점 사이의 거리 구하기,수직선 위의 좌표가 주어진 두 점 사이의 거리,H1_CM2_GEQ_C001,4,line_equation|slope_intercept|line_relation,normalized_from_image_tree
H1_CM2_GEQ_RAW_002,2,1.png,수직선 위의 두 점 사이의 거리 구하기,두 점 사이의 거리를 이용하여 수직선 위의 점의 좌표 구하기,H1_CM2_GEQ_C002,4,line_equation|slope_intercept|line_relation,normalized_from_image_tree
H1_CM2_GEQ_RAW_003,3,1.png,좌표평면 위의 두 점 사이의 거리 구하기,좌표가 주어졌을 때 두 점 사이의 거리,H1_CM2_GEQ_C003,25,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_004,4,1.png,좌표평면 위의 두 점 사이의 거리 구하기,두 점 사이의 거리가 어떤 수 이하가 되도록 하는 실수 범위,H1_CM2_GEQ_C004,25,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_005,5,1.png,좌표평면 위의 두 점 사이의 거리 구하기,선분의 길이,H1_CM2_GEQ_C005,25,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_006,6,1.png,좌표평면 위의 두 점 사이의 거리 구하기,"거리의 최솟값, 선분의 길이의 최솟값",H1_CM2_GEQ_C006,25,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_007,7,1.png,좌표평면 위의 두 점 사이의 거리 구하기,도형에의 활용,H1_CM2_GEQ_C007,25,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_008,8,1.png,좌표평면 위의 두 점 사이의 거리 구하기,실생활 활용,H1_CM2_GEQ_C008,25,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_009,9,1.png,x축(y축) 위에 있는 점에서 같은 거리에 있는 점 구하기,두 점으로부터 같은 거리에 있는 x축(y축) 위의 점,H1_CM2_GEQ_C009,7,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_010,10,2.png,직선 위의 점에서 같은 거리에 있는 점 구하기,두 점으로부터 같은 거리에 있는 직선 위의 점,H1_CM2_GEQ_C010,5,line_equation|slope_intercept|line_relation,normalized_from_image_tree
H1_CM2_GEQ_RAW_011,11,2.png,삼각형의 외심,삼각형의 외심의 좌표,H1_CM2_GEQ_C011,8,section_formula|coordinate_geometry|point_condition,normalized_from_image_tree
H1_CM2_GEQ_RAW_012,12,2.png,삼각형의 외심,실생활 활용,H1_CM2_GEQ_C012,8,section_formula|coordinate_geometry|point_condition,normalized_from_image_tree
H1_CM2_GEQ_RAW_013,13,2.png,두 점 사이의 거리의 활용(1) 삼각형의 모양,어떤 삼각형이 되도록 하는 점의 좌표,H1_CM2_GEQ_C013,13,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_014,14,2.png,두 점 사이의 거리의 활용(1) 삼각형의 모양,삼각형의 모양 판단,H1_CM2_GEQ_C014,13,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_015,15,2.png,두 점 사이의 거리의 활용(2) 선분 길이의 합의 최솟값,한 점이 좌표평면 임의의 점일 때 길이의 합의 최솟값,H1_CM2_GEQ_C015,12,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_016,16,2.png,두 점 사이의 거리의 활용(2) 선분 길이의 합의 최솟값,두 점 사이의 거리 공식의 활용,H1_CM2_GEQ_C016,12,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_017,17,3.png,두 점 사이의 거리의 활용(3) 거리의 제곱의 합의 최솟값,거리의 제곱의 합의 최솟값,H1_CM2_GEQ_C017,16,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_018,18,3.png,두 점 사이의 거리의 활용(3) 거리의 제곱의 합의 최솟값,거리의 제곱의 합이 최소가 되는 점,H1_CM2_GEQ_C018,16,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
H1_CM2_GEQ_RAW_019,19,3.png,두 점 사이의 거리의 활용(3) 거리의 제곱의 합의 최솟값,실생활 활용,H1_CM2_GEQ_C019,16,coordinate_distance|condition_translation|geometry_property,normalized_from_image_tree
