problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H2_ALG_SEQ_PT001,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 기본 개념 판별 - 기본 판별,수열의 뜻 범주의 '수열의 일반항 - 기본 개념 판별' 유형을 기본 판별 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C001""]",basic,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT002,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 기본 개념 판별 - 식 계산·조건 적용,수열의 뜻 범주의 '수열의 일반항 - 기본 개념 판별' 유형을 식 계산·조건 적용 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C001""]",core,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT003,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 기본 개념 판별 - 응용·보기형 검산,수열의 뜻 범주의 '수열의 일반항 - 기본 개념 판별' 유형을 응용·보기형 검산 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C001""]",advanced,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT004,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 규칙 추론 - 기본 판별,수열의 뜻 범주의 '수열의 일반항 - 규칙 추론' 유형을 기본 판별 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C002""]",basic,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT005,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 규칙 추론 - 식 계산·조건 적용,수열의 뜻 범주의 '수열의 일반항 - 규칙 추론' 유형을 식 계산·조건 적용 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C002""]",core,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT006,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 규칙 추론 - 응용·보기형 검산,수열의 뜻 범주의 '수열의 일반항 - 규칙 추론' 유형을 응용·보기형 검산 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C002""]",advanced,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT007,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 일반항 작성 - 기본 판별,수열의 뜻 범주의 '수열의 일반항 - 일반항 작성' 유형을 기본 판별 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C003""]",basic,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT008,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 일반항 작성 - 식 계산·조건 적용,수열의 뜻 범주의 '수열의 일반항 - 일반항 작성' 유형을 식 계산·조건 적용 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C003""]",core,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT009,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 일반항 작성 - 응용·보기형 검산,수열의 뜻 범주의 '수열의 일반항 - 일반항 작성' 유형을 응용·보기형 검산 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C003""]",advanced,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT010,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - k번째 항 계산 - 기본 판별,수열의 뜻 범주의 '수열의 일반항 - k번째 항 계산' 유형을 기본 판별 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C004""]",basic,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_004,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT011,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - k번째 항 계산 - 식 계산·조건 적용,수열의 뜻 범주의 '수열의 일반항 - k번째 항 계산' 유형을 식 계산·조건 적용 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C004""]",core,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_004,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT012,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - k번째 항 계산 - 응용·보기형 검산,수열의 뜻 범주의 '수열의 일반항 - k번째 항 계산' 유형을 응용·보기형 검산 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C004""]",advanced,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_004,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT013,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 첫째항·n번째 항 연결 - 기본 판별,수열의 뜻 범주의 '수열의 일반항 - 첫째항·n번째 항 연결' 유형을 기본 판별 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C005""]",basic,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_005,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT014,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 첫째항·n번째 항 연결 - 식 계산·조건 적용,수열의 뜻 범주의 '수열의 일반항 - 첫째항·n번째 항 연결' 유형을 식 계산·조건 적용 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C005""]",core,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_005,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT015,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 첫째항·n번째 항 연결 - 응용·보기형 검산,수열의 뜻 범주의 '수열의 일반항 - 첫째항·n번째 항 연결' 유형을 응용·보기형 검산 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C005""]",advanced,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_005,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT016,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 보기형·최종 검산 - 기본 판별,수열의 뜻 범주의 '수열의 일반항 - 보기형·최종 검산' 유형을 기본 판별 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C006""]",basic,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_006,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT017,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 보기형·최종 검산 - 식 계산·조건 적용,수열의 뜻 범주의 '수열의 일반항 - 보기형·최종 검산' 유형을 식 계산·조건 적용 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C006""]",core,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_006,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT018,고2,대수,H2_ALGEBRA_SEQUENCE,수열,수열의 일반항 - 보기형·최종 검산 - 응용·보기형 검산,수열의 뜻 범주의 '수열의 일반항 - 보기형·최종 검산' 유형을 응용·보기형 검산 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C006""]",advanced,"[""sequence_meaning"", ""general_term"", ""term_value""]",[1],H2_ALG_SEQ_RAW_006,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT019,고2,대수,H2_ALGEBRA_SEQUENCE,수열,등차수열의 일반항 - 공차 판별 - 기본 판별,등차수열 범주의 '등차수열의 일반항 - 공차 판별' 유형을 기본 판별 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C007""]",basic,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",[2],H2_ALG_SEQ_RAW_007,curated_problem_type_from_raw_taxonomy
H2_ALG_SEQ_PT020,고2,대수,H2_ALGEBRA_SEQUENCE,수열,등차수열의 일반항 - 공차 판별 - 식 계산·조건 적용,등차수열 범주의 '등차수열의 일반항 - 공차 판별' 유형을 식 계산·조건 적용 수준으로 진단한다. 조건을 항·일반항·부분합·Σ·귀납 구조로 번역한 뒤 계산 결과와 범위 조건을 검산한다.,"[""H2_ALG_SEQ_C007""]",core,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",[2],H2_ALG_SEQ_RAW_007,curated_problem_type_from_raw_taxonomy
