problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H1_CM2_FUNC_PT001,고1,공통수학2,H1_COMMON_MATH2_FUNCTION_GRAPH,함수와 그래프,함수의 뜻 판별 - 기본 개념 판별 - 기본 판별,"함수의 개념과 그래프 범주의 '함수의 뜻 판별 - 기본 개념 판별' 유형을 진단한다. 정의·조건·그래프의 기본 의미를 구분하는 진단을 통해 학생이 함수의 대응 관계, 정의역·치역, 합성 순서, 역함수, 유리함수·무리함수 그래프를 정확히 처리하는지 확인한다.",H1_CM2_FUNC_C001,core,function_definition|relation_translation|graph_reading,1,H1_CM2_FUNC_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM2_FUNC_PT002,고1,공통수학2,H1_COMMON_MATH2_FUNCTION_GRAPH,함수와 그래프,함수의 뜻 판별 - 기본 개념 판별 - 조건 적용,"함수의 개념과 그래프 범주의 '함수의 뜻 판별 - 기본 개념 판별' 유형을 진단한다. 함수값, 정의역·치역, 합성·역함수 조건을 적용하는 진단을 통해 학생이 함수의 대응 관계, 정의역·치역, 합성 순서, 역함수, 유리함수·무리함수 그래프를 정확히 처리하는지 확인한다.",H1_CM2_FUNC_C001,application,function_definition|relation_translation|graph_reading,1,H1_CM2_FUNC_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM2_FUNC_PT003,고1,공통수학2,H1_COMMON_MATH2_FUNCTION_GRAPH,함수와 그래프,함수의 뜻 판별 - 기본 개념 판별 - 혼합 검산,"함수의 개념과 그래프 범주의 '함수의 뜻 판별 - 기본 개념 판별' 유형을 진단한다. 보기형, 그래프형, 식 변형형을 끝까지 검산하는 진단을 통해 학생이 함수의 대응 관계, 정의역·치역, 합성 순서, 역함수, 유리함수·무리함수 그래프를 정확히 처리하는지 확인한다.",H1_CM2_FUNC_C001,challenge,function_definition|relation_translation|graph_reading,1,H1_CM2_FUNC_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM2_FUNC_PT004,고1,공통수학2,H1_COMMON_MATH2_FUNCTION_GRAPH,함수와 그래프,함수의 뜻 판별 - 식 계산 및 값 구하기 - 기본 판별,"함수의 개념과 그래프 범주의 '함수의 뜻 판별 - 식 계산 및 값 구하기' 유형을 진단한다. 정의·조건·그래프의 기본 의미를 구분하는 진단을 통해 학생이 함수의 대응 관계, 정의역·치역, 합성 순서, 역함수, 유리함수·무리함수 그래프를 정확히 처리하는지 확인한다.",H1_CM2_FUNC_C002,core,function_definition|relation_translation|graph_reading,1,H1_CM2_FUNC_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM2_FUNC_PT005,고1,공통수학2,H1_COMMON_MATH2_FUNCTION_GRAPH,함수와 그래프,함수의 뜻 판별 - 식 계산 및 값 구하기 - 조건 적용,"함수의 개념과 그래프 범주의 '함수의 뜻 판별 - 식 계산 및 값 구하기' 유형을 진단한다. 함수값, 정의역·치역, 합성·역함수 조건을 적용하는 진단을 통해 학생이 함수의 대응 관계, 정의역·치역, 합성 순서, 역함수, 유리함수·무리함수 그래프를 정확히 처리하는지 확인한다.",H1_CM2_FUNC_C002,application,function_definition|relation_translation|graph_reading,1,H1_CM2_FUNC_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM2_FUNC_PT006,고1,공통수학2,H1_COMMON_MATH2_FUNCTION_GRAPH,함수와 그래프,함수의 뜻 판별 - 식 계산 및 값 구하기 - 혼합 검산,"함수의 개념과 그래프 범주의 '함수의 뜻 판별 - 식 계산 및 값 구하기' 유형을 진단한다. 보기형, 그래프형, 식 변형형을 끝까지 검산하는 진단을 통해 학생이 함수의 대응 관계, 정의역·치역, 합성 순서, 역함수, 유리함수·무리함수 그래프를 정확히 처리하는지 확인한다.",H1_CM2_FUNC_C002,challenge,function_definition|relation_translation|graph_reading,1,H1_CM2_FUNC_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM2_FUNC_PT007,고1,공통수학2,H1_COMMON_MATH2_FUNCTION_GRAPH,함수와 그래프,함수의 뜻 판별 - 조건 변형 적용 - 기본 판별,"함수의 개념과 그래프 범주의 '함수의 뜻 판별 - 조건 변형 적용' 유형을 진단한다. 정의·조건·그래프의 기본 의미를 구분하는 진단을 통해 학생이 함수의 대응 관계, 정의역·치역, 합성 순서, 역함수, 유리함수·무리함수 그래프를 정확히 처리하는지 확인한다.",H1_CM2_FUNC_C003,core,function_definition|relation_translation|graph_reading,1,H1_CM2_FUNC_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM2_FUNC_PT008,고1,공통수학2,H1_COMMON_MATH2_FUNCTION_GRAPH,함수와 그래프,함수의 뜻 판별 - 조건 변형 적용 - 조건 적용,"함수의 개념과 그래프 범주의 '함수의 뜻 판별 - 조건 변형 적용' 유형을 진단한다. 함수값, 정의역·치역, 합성·역함수 조건을 적용하는 진단을 통해 학생이 함수의 대응 관계, 정의역·치역, 합성 순서, 역함수, 유리함수·무리함수 그래프를 정확히 처리하는지 확인한다.",H1_CM2_FUNC_C003,application,function_definition|relation_translation|graph_reading,1,H1_CM2_FUNC_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM2_FUNC_PT009,고1,공통수학2,H1_COMMON_MATH2_FUNCTION_GRAPH,함수와 그래프,함수의 뜻 판별 - 조건 변형 적용 - 혼합 검산,"함수의 개념과 그래프 범주의 '함수의 뜻 판별 - 조건 변형 적용' 유형을 진단한다. 보기형, 그래프형, 식 변형형을 끝까지 검산하는 진단을 통해 학생이 함수의 대응 관계, 정의역·치역, 합성 순서, 역함수, 유리함수·무리함수 그래프를 정확히 처리하는지 확인한다.",H1_CM2_FUNC_C003,challenge,function_definition|relation_translation|graph_reading,1,H1_CM2_FUNC_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM2_FUNC_PT010,고1,공통수학2,H1_COMMON_MATH2_FUNCTION_GRAPH,함수와 그래프,함수의 뜻 판별 - 그래프·보기형 검산 - 기본 판별,"함수의 개념과 그래프 범주의 '함수의 뜻 판별 - 그래프·보기형 검산' 유형을 진단한다. 정의·조건·그래프의 기본 의미를 구분하는 진단을 통해 학생이 함수의 대응 관계, 정의역·치역, 합성 순서, 역함수, 유리함수·무리함수 그래프를 정확히 처리하는지 확인한다.",H1_CM2_FUNC_C004,core,function_definition|relation_translation|graph_reading,1,H1_CM2_FUNC_RAW_004,curated_problem_type_from_raw_taxonomy
