problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H2_CALC1_LC_PT001,고2,미적분1,H2_CALCULUS1_LIMIT_CONTINUITY,함수의 극한과 연속,함수의 수렴과 발산 - x→a일 때 다항함수의 극한(부정형이 아닌 때) - 기본 판별,"함수의 극한 범주의 '함수의 수렴과 발산 - x→a일 때 다항함수의 극한(부정형이 아닌 때)' 유형을 기본 판별 수준으로 진단한다. 대입 가능성, 좌우극한, 부정형 변형, 무한대 방향을 분리해 극한값을 계산한다.","[""H2_CALC1_LC_C001""]",basic,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",[1],H2_CALC1_LC_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC1_LC_PT002,고2,미적분1,H2_CALCULUS1_LIMIT_CONTINUITY,함수의 극한과 연속,함수의 수렴과 발산 - x→a일 때 다항함수의 극한(부정형이 아닌 때) - 식 계산·조건 적용,"함수의 극한 범주의 '함수의 수렴과 발산 - x→a일 때 다항함수의 극한(부정형이 아닌 때)' 유형을 식 계산·조건 적용 수준으로 진단한다. 대입 가능성, 좌우극한, 부정형 변형, 무한대 방향을 분리해 극한값을 계산한다.","[""H2_CALC1_LC_C001""]",core,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",[1],H2_CALC1_LC_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC1_LC_PT003,고2,미적분1,H2_CALCULUS1_LIMIT_CONTINUITY,함수의 극한과 연속,함수의 수렴과 발산 - x→a일 때 다항함수의 극한(부정형이 아닌 때) - 응용·보기형 검산,"함수의 극한 범주의 '함수의 수렴과 발산 - x→a일 때 다항함수의 극한(부정형이 아닌 때)' 유형을 응용·보기형 검산 수준으로 진단한다. 대입 가능성, 좌우극한, 부정형 변형, 무한대 방향을 분리해 극한값을 계산한다.","[""H2_CALC1_LC_C001""]",advanced,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",[1],H2_CALC1_LC_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC1_LC_PT004,고2,미적분1,H2_CALCULUS1_LIMIT_CONTINUITY,함수의 극한과 연속,함수의 수렴과 발산 - x→a일 때 유리함수의 극한(부정형이 아닌 때) - 기본 판별,"함수의 극한 범주의 '함수의 수렴과 발산 - x→a일 때 유리함수의 극한(부정형이 아닌 때)' 유형을 기본 판별 수준으로 진단한다. 대입 가능성, 좌우극한, 부정형 변형, 무한대 방향을 분리해 극한값을 계산한다.","[""H2_CALC1_LC_C002""]",basic,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",[1],H2_CALC1_LC_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC1_LC_PT005,고2,미적분1,H2_CALCULUS1_LIMIT_CONTINUITY,함수의 극한과 연속,함수의 수렴과 발산 - x→a일 때 유리함수의 극한(부정형이 아닌 때) - 식 계산·조건 적용,"함수의 극한 범주의 '함수의 수렴과 발산 - x→a일 때 유리함수의 극한(부정형이 아닌 때)' 유형을 식 계산·조건 적용 수준으로 진단한다. 대입 가능성, 좌우극한, 부정형 변형, 무한대 방향을 분리해 극한값을 계산한다.","[""H2_CALC1_LC_C002""]",core,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",[1],H2_CALC1_LC_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC1_LC_PT006,고2,미적분1,H2_CALCULUS1_LIMIT_CONTINUITY,함수의 극한과 연속,함수의 수렴과 발산 - x→a일 때 유리함수의 극한(부정형이 아닌 때) - 응용·보기형 검산,"함수의 극한 범주의 '함수의 수렴과 발산 - x→a일 때 유리함수의 극한(부정형이 아닌 때)' 유형을 응용·보기형 검산 수준으로 진단한다. 대입 가능성, 좌우극한, 부정형 변형, 무한대 방향을 분리해 극한값을 계산한다.","[""H2_CALC1_LC_C002""]",advanced,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",[1],H2_CALC1_LC_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC1_LC_PT007,고2,미적분1,H2_CALCULUS1_LIMIT_CONTINUITY,함수의 극한과 연속,함수의 수렴과 발산 - x→a일 때 무리함수의 극한(부정형이 아닌 때) - 기본 판별,"함수의 극한 범주의 '함수의 수렴과 발산 - x→a일 때 무리함수의 극한(부정형이 아닌 때)' 유형을 기본 판별 수준으로 진단한다. 대입 가능성, 좌우극한, 부정형 변형, 무한대 방향을 분리해 극한값을 계산한다.","[""H2_CALC1_LC_C003""]",basic,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",[1],H2_CALC1_LC_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC1_LC_PT008,고2,미적분1,H2_CALCULUS1_LIMIT_CONTINUITY,함수의 극한과 연속,함수의 수렴과 발산 - x→a일 때 무리함수의 극한(부정형이 아닌 때) - 식 계산·조건 적용,"함수의 극한 범주의 '함수의 수렴과 발산 - x→a일 때 무리함수의 극한(부정형이 아닌 때)' 유형을 식 계산·조건 적용 수준으로 진단한다. 대입 가능성, 좌우극한, 부정형 변형, 무한대 방향을 분리해 극한값을 계산한다.","[""H2_CALC1_LC_C003""]",core,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",[1],H2_CALC1_LC_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC1_LC_PT009,고2,미적분1,H2_CALCULUS1_LIMIT_CONTINUITY,함수의 극한과 연속,함수의 수렴과 발산 - x→a일 때 무리함수의 극한(부정형이 아닌 때) - 응용·보기형 검산,"함수의 극한 범주의 '함수의 수렴과 발산 - x→a일 때 무리함수의 극한(부정형이 아닌 때)' 유형을 응용·보기형 검산 수준으로 진단한다. 대입 가능성, 좌우극한, 부정형 변형, 무한대 방향을 분리해 극한값을 계산한다.","[""H2_CALC1_LC_C003""]",advanced,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",[1],H2_CALC1_LC_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC1_LC_PT010,고2,미적분1,H2_CALCULUS1_LIMIT_CONTINUITY,함수의 극한과 연속,함수의 수렴과 발산 - x→a일 때 그래프가 주어진 함수의 극한 - 기본 판별,"함수의 극한 범주의 '함수의 수렴과 발산 - x→a일 때 그래프가 주어진 함수의 극한' 유형을 기본 판별 수준으로 진단한다. 대입 가능성, 좌우극한, 부정형 변형, 무한대 방향을 분리해 극한값을 계산한다.","[""H2_CALC1_LC_C004""]",basic,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",[1],H2_CALC1_LC_RAW_004,curated_problem_type_from_raw_taxonomy
