problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-001,1,조건을 만족시키는 부등식의 해 구하기,M2_LI_PT013|M2_LI_PT016,existing_canonical_type_matched
002-007,6,부등식의 기본 성질,M2_LI_PT021|M2_LI_PT019|M2_LI_PT017,existing_canonical_type_matched
008-013,6,부등식의 성질을 이용하여 식의 값의 범위 구하기(1) - 한 문자에 대한 경우,M2_LI_PT026|M2_LI_PT023,existing_canonical_type_matched
014-015,2,부등식의 성질을 이용하여 식의 값의 범위 구하기(2) - 두 문자에 대한 경우,M2_LI_PT027|M2_LI_PT028,existing_canonical_type_matched
016-016,1,일차부등식의 풀이,M2_LI_PT045|M2_LI_PT046,existing_canonical_type_matched
017-022,6,계수가 소수 또는 분수인 일차부등식의 풀이,M2_LI_PT043|M2_LI_PT041|M2_LI_PT042|M2_LI_PT044,existing_canonical_type_matched
023-028,6,x의 계수가 문자인 일차부등식의 풀이,M2_LI_PT045|M2_LI_PT046|M2_LI_PT047|M2_LI_PT048|M2_LI_PT030,existing_canonical_type_matched
029-034,6,부등식의 해가 주어진 경우 미지수 구하기(1) - 문자가 상수인 경우,M2_LI_PT049|M2_LI_PT051|M2_LI_PT050,existing_canonical_type_matched
035-040,6,부등식의 해가 주어진 경우 미지수 구하기(2) - 계수가 문자인 경우,M2_LI_PT052|M2_LI_PT048|M2_LI_PT053|M2_LI_PT054,existing_canonical_type_matched
041-046,6,해가 서로 같은 두 일차부등식,M2_LI_PT055|M2_LI_PT056,existing_canonical_type_matched
047-052,6,부등식의 해 중 최댓값 또는 최솟값이 주어진 일차부등식,M2_LI_PT060|M2_LI_PT057,existing_canonical_type_matched
053-058,6,자연수인 해의 개수가 주어진 일차부등식,M2_LI_PT065|M2_LI_PT064,existing_canonical_type_matched
059-064,6,수에 대한 문제(1) - 한 수에 대한 문제,M2_LI_PT071|M2_LI_PT072|M2_LI_PT069,existing_canonical_type_matched
065-070,6,평균에 대한 문제,M2_LI_PT077|M2_LI_PT075,existing_canonical_type_matched
071-076,6,개수에 대한 문제(2) - 총 개수가 고정,M2_LI_PT082|M2_LI_PT080|M2_LI_PT081,existing_canonical_type_matched
077-082,6,기본 금액이 포함된 비용에 대한 문제,M2_LI_PT084|M2_LI_PT085,existing_canonical_type_matched
083-088,6,예금액에 대한 문제,M2_LI_PT087|M2_LI_PT086,existing_canonical_type_matched
089-094,6,유리한 방법을 선택하는 문제(1) - 단체 입장 시 할인,M2_LI_PT089|M2_LI_PT088,existing_canonical_type_matched
095-100,6,유리한 방법을 선택하는 문제(2),M2_LI_PT090|M2_LI_PT091|M2_LI_PT088,existing_canonical_type_matched
101-107,7,"정가, 원가에 대한 문제",M2_LI_PT093|M2_LI_PT092,existing_canonical_type_matched
108-113,6,도형에 대한 문제,M2_LI_PT101|M2_LI_PT095|M2_LI_PT094,existing_canonical_type_matched
114-119,6,여러 가지 일차부등식의 활용,M2_LI_PT099|M2_LI_PT101|M2_LI_PT100,existing_canonical_type_matched
120-126,7,"거리, 속력, 시간에 대한 문제(1) - 도중에 속력이 바뀌는 경우",M2_LI_PT105|M2_LI_PT104,existing_canonical_type_matched
127-132,6,"거리, 속력, 시간에 대한 문제(2) - 왕복하는 경우",M2_LI_PT103|M2_LI_PT102,existing_canonical_type_matched
133-138,6,농도에 대한 문제(1) - 두 소금물을 섞는 경우,M2_LI_PT110|M2_LI_PT113,existing_canonical_type_matched
139-144,6,농도에 대한 문제(2) - 소금물에 물을 넣거나 증발시키는 경우,M2_LI_PT111|M2_LI_PT113,existing_canonical_type_matched
145-150,6,일에 대한 문제/물채우기 문제,M2_LI_PT114|M2_LI_PT115,existing_canonical_type_matched
