item_id,source_id,source_title,source_subject,source_file,source_section_code,source_unit,source_question_no,source_page,engine_subject,engine_unit_id,engine_unit_name,engine_subunit_id,engine_subunit_name,matched_problem_type_id,concept_ids,type_name,variant_id,variant_tags,skill_tags,error_tags,prerequisite_concepts,difficulty,mapping_status,duplicate_of,near_duplicate_group,diagnosis_weight,copyright_note,review_note
idea_su1_iii_2_001,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,001,2,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_BASIC,ALG_SEQUENCE_ARITHMETIC,등차수열의 일반항과 공차,ALG_SEQ_PT_ARITHMETIC_BASIC_ARITHMETIC_SEQUENCE,arithmetic_sequence|common_difference|nth_term,arithmetic_sequence|common_difference|nth_term,공차 부호 오류|항 번호 해석 오류,일차식|수열의 뜻,core,matched,,ALG_SEQ_PT_ARITHMETIC_BASIC::arithmetic_sequence,0.85,problem_text_not_stored; metadata_only,
idea_su1_iii_2_002,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,002,2,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_BASIC,ALG_SEQUENCE_ARITHMETIC,등차수열의 일반항과 공차,ALG_SEQ_PT_ARITHMETIC_BASIC_ARITHMETIC_SEQUENCE,arithmetic_sequence|common_difference|nth_term,arithmetic_sequence|common_difference|nth_term,공차 부호 오류|항 번호 해석 오류,일차식|수열의 뜻,core,matched,,ALG_SEQ_PT_ARITHMETIC_BASIC::arithmetic_sequence,0.85,problem_text_not_stored; metadata_only,
idea_su1_iii_2_003,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,003,3,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_BASIC,ALG_SEQUENCE_ARITHMETIC,등차수열의 일반항과 공차,ALG_SEQ_PT_ARITHMETIC_BASIC_ARITHMETIC_SEQUENCE,arithmetic_sequence|common_difference|nth_term,arithmetic_sequence|common_difference|nth_term,공차 부호 오류|항 번호 해석 오류,일차식|수열의 뜻,core,matched,,ALG_SEQ_PT_ARITHMETIC_BASIC::arithmetic_sequence,0.85,problem_text_not_stored; metadata_only,
idea_su1_iii_2_004,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,004,3,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_BASIC,ALG_SEQUENCE_ARITHMETIC,등차수열의 일반항과 공차,ALG_SEQ_PT_ARITHMETIC_BASIC_ARITHMETIC_SEQUENCE,arithmetic_sequence|common_difference|nth_term,arithmetic_sequence|common_difference|nth_term,공차 부호 오류|항 번호 해석 오류,일차식|수열의 뜻,core,matched,,ALG_SEQ_PT_ARITHMETIC_BASIC::arithmetic_sequence,0.85,problem_text_not_stored; metadata_only,
idea_su1_iii_2_005,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,005,4,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_CONDITION,ALG_SEQUENCE_ARITHMETIC,등차수열 조건식 해석,ALG_SEQ_PT_ARITHMETIC_CONDITION_ARITHMETIC_CONDITION,arithmetic_condition|term_relation|integer_condition,arithmetic_condition|term_relation|integer_condition,조건식에서 항 번호 혼동|절댓값 조건 분기 누락,일차방정식|절댓값,applied,matched,,ALG_SEQ_PT_ARITHMETIC_CONDITION::arithmetic_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_iii_2_006,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,006,4,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_CONDITION,ALG_SEQUENCE_ARITHMETIC,등차수열 조건식 해석,ALG_SEQ_PT_ARITHMETIC_CONDITION_ARITHMETIC_CONDITION,arithmetic_condition|term_relation|integer_condition,arithmetic_condition|term_relation|integer_condition,조건식에서 항 번호 혼동|절댓값 조건 분기 누락,일차방정식|절댓값,applied,matched,,ALG_SEQ_PT_ARITHMETIC_CONDITION::arithmetic_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_iii_2_007,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,007,5,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_CONDITION,ALG_SEQUENCE_ARITHMETIC,등차수열 조건식 해석,ALG_SEQ_PT_ARITHMETIC_CONDITION_ARITHMETIC_CONDITION,arithmetic_condition|term_relation|integer_condition,arithmetic_condition|term_relation|integer_condition,조건식에서 항 번호 혼동|절댓값 조건 분기 누락,일차방정식|절댓값,applied,matched,,ALG_SEQ_PT_ARITHMETIC_CONDITION::arithmetic_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_iii_2_008,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,008,5,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_CONDITION,ALG_SEQUENCE_ARITHMETIC,등차수열 조건식 해석,ALG_SEQ_PT_ARITHMETIC_CONDITION_ARITHMETIC_CONDITION,arithmetic_condition|term_relation|integer_condition,arithmetic_condition|term_relation|integer_condition,조건식에서 항 번호 혼동|절댓값 조건 분기 누락,일차방정식|절댓값,applied,matched,,ALG_SEQ_PT_ARITHMETIC_CONDITION::arithmetic_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_iii_2_009,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,009,6,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_CONDITION,ALG_SEQUENCE_ARITHMETIC,등차수열 조건식 해석,ALG_SEQ_PT_ARITHMETIC_CONDITION_ARITHMETIC_CONDITION,arithmetic_condition|term_relation|integer_condition,arithmetic_condition|term_relation|integer_condition,조건식에서 항 번호 혼동|절댓값 조건 분기 누락,일차방정식|절댓값,applied,matched,,ALG_SEQ_PT_ARITHMETIC_CONDITION::arithmetic_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_iii_2_010,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,010,6,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_CONDITION,ALG_SEQUENCE_ARITHMETIC,등차수열 조건식 해석,ALG_SEQ_PT_ARITHMETIC_CONDITION_ARITHMETIC_CONDITION,arithmetic_condition|term_relation|integer_condition,arithmetic_condition|term_relation|integer_condition,조건식에서 항 번호 혼동|절댓값 조건 분기 누락,일차방정식|절댓값,applied,matched,,ALG_SEQ_PT_ARITHMETIC_CONDITION::arithmetic_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_iii_2_011,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,011,7,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM,ALG_SEQUENCE_ARITHMETIC,등차수열 복합 조건과 합,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM_ARITHMETIC_SUM,arithmetic_sum|composite_condition|case_split,arithmetic_sum|composite_condition|case_split,합 공식 적용 범위 오류|조건 결합 순서 오류,수열의 합|방정식,advanced,review_required,,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM::arithmetic_sum,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
idea_su1_iii_2_012,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,012,7,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM,ALG_SEQUENCE_ARITHMETIC,등차수열 복합 조건과 합,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM_ARITHMETIC_SUM,arithmetic_sum|composite_condition|case_split,arithmetic_sum|composite_condition|case_split,합 공식 적용 범위 오류|조건 결합 순서 오류,수열의 합|방정식,advanced,review_required,,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM::arithmetic_sum,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
idea_su1_iii_2_013,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,013,8,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM,ALG_SEQUENCE_ARITHMETIC,등차수열 복합 조건과 합,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM_ARITHMETIC_SUM,arithmetic_sum|composite_condition|case_split,arithmetic_sum|composite_condition|case_split,합 공식 적용 범위 오류|조건 결합 순서 오류,수열의 합|방정식,advanced,review_required,,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM::arithmetic_sum,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
idea_su1_iii_2_014,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,014,8,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM,ALG_SEQUENCE_ARITHMETIC,등차수열 복합 조건과 합,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM_ARITHMETIC_SUM,arithmetic_sum|composite_condition|case_split,arithmetic_sum|composite_condition|case_split,합 공식 적용 범위 오류|조건 결합 순서 오류,수열의 합|방정식,advanced,review_required,,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM::arithmetic_sum,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
idea_su1_iii_2_015,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,015,9,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM,ALG_SEQUENCE_ARITHMETIC,등차수열 복합 조건과 합,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM_ARITHMETIC_SUM,arithmetic_sum|composite_condition|case_split,arithmetic_sum|composite_condition|case_split,합 공식 적용 범위 오류|조건 결합 순서 오류,수열의 합|방정식,advanced,review_required,,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM::arithmetic_sum,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
idea_su1_iii_2_016,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(2),등차수열,016,9,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM,ALG_SEQUENCE_ARITHMETIC,등차수열 복합 조건과 합,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM_ARITHMETIC_SUM,arithmetic_sum|composite_condition|case_split,arithmetic_sum|composite_condition|case_split,합 공식 적용 범위 오류|조건 결합 순서 오류,수열의 합|방정식,advanced,review_required,,ALG_SEQ_PT_ARITHMETIC_COMPOSITE_SUM::arithmetic_sum,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
idea_su1_iii_3_001,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,001,10,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_BASIC,ALG_SEQUENCE_GEOMETRIC,등비수열의 일반항과 공비,ALG_SEQ_PT_GEOMETRIC_BASIC_GEOMETRIC_SEQUENCE,geometric_sequence|common_ratio|nth_term,geometric_sequence|common_ratio|nth_term,공비 부호/범위 오류|항 번호 계산 실수,지수법칙|수열의 뜻,core,matched,,ALG_SEQ_PT_GEOMETRIC_BASIC::geometric_sequence,0.85,problem_text_not_stored; metadata_only,
idea_su1_iii_3_002,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,002,10,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_BASIC,ALG_SEQUENCE_GEOMETRIC,등비수열의 일반항과 공비,ALG_SEQ_PT_GEOMETRIC_BASIC_GEOMETRIC_SEQUENCE,geometric_sequence|common_ratio|nth_term,geometric_sequence|common_ratio|nth_term,공비 부호/범위 오류|항 번호 계산 실수,지수법칙|수열의 뜻,core,matched,,ALG_SEQ_PT_GEOMETRIC_BASIC::geometric_sequence,0.85,problem_text_not_stored; metadata_only,
idea_su1_iii_3_003,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,003,11,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_BASIC,ALG_SEQUENCE_GEOMETRIC,등비수열의 일반항과 공비,ALG_SEQ_PT_GEOMETRIC_BASIC_GEOMETRIC_SEQUENCE,geometric_sequence|common_ratio|nth_term,geometric_sequence|common_ratio|nth_term,공비 부호/범위 오류|항 번호 계산 실수,지수법칙|수열의 뜻,core,matched,,ALG_SEQ_PT_GEOMETRIC_BASIC::geometric_sequence,0.85,problem_text_not_stored; metadata_only,
idea_su1_iii_3_004,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,004,11,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_BASIC,ALG_SEQUENCE_GEOMETRIC,등비수열의 일반항과 공비,ALG_SEQ_PT_GEOMETRIC_BASIC_GEOMETRIC_SEQUENCE,geometric_sequence|common_ratio|nth_term,geometric_sequence|common_ratio|nth_term,공비 부호/범위 오류|항 번호 계산 실수,지수법칙|수열의 뜻,core,matched,,ALG_SEQ_PT_GEOMETRIC_BASIC::geometric_sequence,0.85,problem_text_not_stored; metadata_only,
idea_su1_iii_3_005,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,005,12,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_CONDITION,ALG_SEQUENCE_GEOMETRIC,등비수열 조건식 해석,ALG_SEQ_PT_GEOMETRIC_CONDITION_GEOMETRIC_CONDITION,geometric_condition|log_relation|term_product,geometric_condition|log_relation|term_product,등비 조건을 로그 조건으로 연결 실패|공비 경우분류 누락,로그의 뜻|지수법칙,applied,matched,,ALG_SEQ_PT_GEOMETRIC_CONDITION::geometric_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_iii_3_006,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,006,12,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_CONDITION,ALG_SEQUENCE_GEOMETRIC,등비수열 조건식 해석,ALG_SEQ_PT_GEOMETRIC_CONDITION_GEOMETRIC_CONDITION,geometric_condition|log_relation|term_product,geometric_condition|log_relation|term_product,등비 조건을 로그 조건으로 연결 실패|공비 경우분류 누락,로그의 뜻|지수법칙,applied,matched,,ALG_SEQ_PT_GEOMETRIC_CONDITION::geometric_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_iii_3_007,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,007,13,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_CONDITION,ALG_SEQUENCE_GEOMETRIC,등비수열 조건식 해석,ALG_SEQ_PT_GEOMETRIC_CONDITION_GEOMETRIC_CONDITION,geometric_condition|log_relation|term_product,geometric_condition|log_relation|term_product,등비 조건을 로그 조건으로 연결 실패|공비 경우분류 누락,로그의 뜻|지수법칙,applied,matched,,ALG_SEQ_PT_GEOMETRIC_CONDITION::geometric_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_iii_3_008,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,008,13,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_CONDITION,ALG_SEQUENCE_GEOMETRIC,등비수열 조건식 해석,ALG_SEQ_PT_GEOMETRIC_CONDITION_GEOMETRIC_CONDITION,geometric_condition|log_relation|term_product,geometric_condition|log_relation|term_product,등비 조건을 로그 조건으로 연결 실패|공비 경우분류 누락,로그의 뜻|지수법칙,applied,matched,,ALG_SEQ_PT_GEOMETRIC_CONDITION::geometric_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_iii_3_009,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,009,14,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_COMPOSITE,ALG_SEQUENCE_GEOMETRIC,등비수열 복합 조건,ALG_SEQ_PT_GEOMETRIC_COMPOSITE_GEOMETRIC_SUM_PRODUCT,geometric_sum_product|composite_condition|parameter,geometric_sum_product|composite_condition|parameter,합/곱 조건 구분 오류|공비 조건 검산 누락,방정식|로그 성질,advanced,review_required,,ALG_SEQ_PT_GEOMETRIC_COMPOSITE::geometric_sum_product,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
idea_su1_iii_3_010,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,010,14,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_COMPOSITE,ALG_SEQUENCE_GEOMETRIC,등비수열 복합 조건,ALG_SEQ_PT_GEOMETRIC_COMPOSITE_GEOMETRIC_SUM_PRODUCT,geometric_sum_product|composite_condition|parameter,geometric_sum_product|composite_condition|parameter,합/곱 조건 구분 오류|공비 조건 검산 누락,방정식|로그 성질,advanced,review_required,,ALG_SEQ_PT_GEOMETRIC_COMPOSITE::geometric_sum_product,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
idea_su1_iii_3_011,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,011,15,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_COMPOSITE,ALG_SEQUENCE_GEOMETRIC,등비수열 복합 조건,ALG_SEQ_PT_GEOMETRIC_COMPOSITE_GEOMETRIC_SUM_PRODUCT,geometric_sum_product|composite_condition|parameter,geometric_sum_product|composite_condition|parameter,합/곱 조건 구분 오류|공비 조건 검산 누락,방정식|로그 성질,advanced,review_required,,ALG_SEQ_PT_GEOMETRIC_COMPOSITE::geometric_sum_product,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
idea_su1_iii_3_012,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(3),등비수열,012,15,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,ALG_SEQ_PT_GEOMETRIC_COMPOSITE,ALG_SEQUENCE_GEOMETRIC,등비수열 복합 조건,ALG_SEQ_PT_GEOMETRIC_COMPOSITE_GEOMETRIC_SUM_PRODUCT,geometric_sum_product|composite_condition|parameter,geometric_sum_product|composite_condition|parameter,합/곱 조건 구분 오류|공비 조건 검산 누락,방정식|로그 성질,advanced,review_required,,ALG_SEQ_PT_GEOMETRIC_COMPOSITE::geometric_sum_product,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
idea_su1_iii_4_001,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(4),수열의 합,001,16,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_SUM,수열의 합,ALG_SEQ_PT_SIGMA_BASIC,ALG_SEQUENCE_SUM,시그마와 수열의 합 계산,ALG_SEQ_PT_SIGMA_BASIC_SIGMA_NOTATION,sigma_notation|sum_formula|partial_sum,sigma_notation|sum_formula|partial_sum,시그마 범위 해석 오류|합 공식 선택 오류,다항식 계산|수열의 뜻,core,matched,,ALG_SEQ_PT_SIGMA_BASIC::sigma_notation,0.85,problem_text_not_stored; metadata_only,
idea_su1_iii_4_002,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(4),수열의 합,002,16,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_SUM,수열의 합,ALG_SEQ_PT_SIGMA_BASIC,ALG_SEQUENCE_SUM,시그마와 수열의 합 계산,ALG_SEQ_PT_SIGMA_BASIC_SIGMA_NOTATION,sigma_notation|sum_formula|partial_sum,sigma_notation|sum_formula|partial_sum,시그마 범위 해석 오류|합 공식 선택 오류,다항식 계산|수열의 뜻,core,matched,,ALG_SEQ_PT_SIGMA_BASIC::sigma_notation,0.85,problem_text_not_stored; metadata_only,
idea_su1_iii_4_003,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(4),수열의 합,003,17,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_SUM,수열의 합,ALG_SEQ_PT_SIGMA_BASIC,ALG_SEQUENCE_SUM,시그마와 수열의 합 계산,ALG_SEQ_PT_SIGMA_BASIC_SIGMA_NOTATION,sigma_notation|sum_formula|partial_sum,sigma_notation|sum_formula|partial_sum,시그마 범위 해석 오류|합 공식 선택 오류,다항식 계산|수열의 뜻,core,matched,,ALG_SEQ_PT_SIGMA_BASIC::sigma_notation,0.85,problem_text_not_stored; metadata_only,
idea_su1_iii_4_004,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 수열.pdf,III-(4),수열의 합,004,17,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_SUM,수열의 합,ALG_SEQ_PT_SIGMA_BASIC,ALG_SEQUENCE_SUM,시그마와 수열의 합 계산,ALG_SEQ_PT_SIGMA_BASIC_SIGMA_NOTATION,sigma_notation|sum_formula|partial_sum,sigma_notation|sum_formula|partial_sum,시그마 범위 해석 오류|합 공식 선택 오류,다항식 계산|수열의 뜻,core,matched,,ALG_SEQ_PT_SIGMA_BASIC::sigma_notation,0.85,problem_text_not_stored; metadata_only,
