problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H2_CALC1_DIFF_PT001,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 일차함수의 평균변화율 구하기 - 기본 판별,"미분계수와 도함수 범주의 '평균변화율 - 일차함수의 평균변화율 구하기' 유형을 기본 판별 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C001""]",basic,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC1_DIFF_PT002,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 일차함수의 평균변화율 구하기 - 식 계산·조건 적용,"미분계수와 도함수 범주의 '평균변화율 - 일차함수의 평균변화율 구하기' 유형을 식 계산·조건 적용 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C001""]",core,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC1_DIFF_PT003,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 일차함수의 평균변화율 구하기 - 응용·보기형 검산,"미분계수와 도함수 범주의 '평균변화율 - 일차함수의 평균변화율 구하기' 유형을 응용·보기형 검산 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C001""]",advanced,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC1_DIFF_PT004,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 이차함수의 평균변화율 구하기 - 기본 판별,"미분계수와 도함수 범주의 '평균변화율 - 이차함수의 평균변화율 구하기' 유형을 기본 판별 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C002""]",basic,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC1_DIFF_PT005,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 이차함수의 평균변화율 구하기 - 식 계산·조건 적용,"미분계수와 도함수 범주의 '평균변화율 - 이차함수의 평균변화율 구하기' 유형을 식 계산·조건 적용 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C002""]",core,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC1_DIFF_PT006,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 이차함수의 평균변화율 구하기 - 응용·보기형 검산,"미분계수와 도함수 범주의 '평균변화율 - 이차함수의 평균변화율 구하기' 유형을 응용·보기형 검산 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C002""]",advanced,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC1_DIFF_PT007,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 삼차 이상인 함수의 평균변화율 구하기 - 기본 판별,"미분계수와 도함수 범주의 '평균변화율 - 삼차 이상인 함수의 평균변화율 구하기' 유형을 기본 판별 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C003""]",basic,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC1_DIFF_PT008,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 삼차 이상인 함수의 평균변화율 구하기 - 식 계산·조건 적용,"미분계수와 도함수 범주의 '평균변화율 - 삼차 이상인 함수의 평균변화율 구하기' 유형을 식 계산·조건 적용 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C003""]",core,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC1_DIFF_PT009,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 삼차 이상인 함수의 평균변화율 구하기 - 응용·보기형 검산,"미분계수와 도함수 범주의 '평균변화율 - 삼차 이상인 함수의 평균변화율 구하기' 유형을 응용·보기형 검산 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C003""]",advanced,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC1_DIFF_PT010,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 임의의 함수의 평균변화율 구하기 - 기본 판별,"미분계수와 도함수 범주의 '평균변화율 - 임의의 함수의 평균변화율 구하기' 유형을 기본 판별 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C004""]",basic,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_004,curated_problem_type_from_raw_taxonomy
H2_CALC1_DIFF_PT011,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 임의의 함수의 평균변화율 구하기 - 식 계산·조건 적용,"미분계수와 도함수 범주의 '평균변화율 - 임의의 함수의 평균변화율 구하기' 유형을 식 계산·조건 적용 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C004""]",core,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_004,curated_problem_type_from_raw_taxonomy
H2_CALC1_DIFF_PT012,고2,미적분1,H2_CALCULUS1_DIFFERENTIATION,미분,평균변화율 - 임의의 함수의 평균변화율 구하기 - 응용·보기형 검산,"미분계수와 도함수 범주의 '평균변화율 - 임의의 함수의 평균변화율 구하기' 유형을 응용·보기형 검산 수준으로 진단한다. 미분계수 정의, 도함수 계산, 접선·증가감소·극값·방정식 활용 조건을 줄 단위로 확인한다.","[""H2_CALC1_DIFF_C004""]",advanced,"[""average_rate"", ""secant_slope"", ""substitution""]",[1],H2_CALC1_DIFF_RAW_004,curated_problem_type_from_raw_taxonomy
