problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
M3_REAL_PT001,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,n의 제곱근,제곱근의 뜻과 표현 범주의 'n의 제곱근' 유형을 진단한다.,"[""M3_REAL_C001""]",basic,"[""sqrt_definition_property""]",[1],M3_REAL_RAW_001,curated_problem_type_from_raw_taxonomy
M3_REAL_PT002,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,근호를 사용하여 n의 제곱근 나타내기,제곱근의 뜻과 표현 범주의 '근호를 사용하여 n의 제곱근 나타내기' 유형을 진단한다.,"[""M3_REAL_C001""]",basic,"[""sqrt_definition_property""]",[1],M3_REAL_RAW_001,curated_problem_type_from_raw_taxonomy
M3_REAL_PT003,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,x²=n을 만족시키는 x의 값,제곱근의 뜻과 표현 범주의 'x²=n을 만족시키는 x의 값' 유형을 진단한다.,"[""M3_REAL_C001""]",core,"[""sqrt_definition_property""]",[1],M3_REAL_RAW_001,curated_problem_type_from_raw_taxonomy
M3_REAL_PT004,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,제곱근을 구할 수 없는 수,제곱근의 뜻과 표현 범주의 '제곱근을 구할 수 없는 수' 유형을 진단한다.,"[""M3_REAL_C001""]",basic,"[""sqrt_definition_property""]",[1],M3_REAL_RAW_001,curated_problem_type_from_raw_taxonomy
M3_REAL_PT005,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,관계식 구하기,제곱근의 뜻과 표현 범주의 '관계식 구하기' 유형을 진단한다.,"[""M3_REAL_C001""]",advanced,"[""sqrt_definition_property"", ""application_or_complexity""]",[1],M3_REAL_RAW_001,curated_problem_type_from_raw_taxonomy
M3_REAL_PT006,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,n의 제곱근의 이해,제곱근의 이해 범주의 'n의 제곱근의 이해' 유형을 진단한다.,"[""M3_REAL_C001""]",core,"[""sqrt_definition_property""]",[2],M3_REAL_RAW_002,curated_problem_type_from_raw_taxonomy
M3_REAL_PT007,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,미지수의 제곱근의 이해,제곱근의 이해 범주의 '미지수의 제곱근의 이해' 유형을 진단한다.,"[""M3_REAL_C001""]",advanced,"[""sqrt_definition_property"", ""application_or_complexity""]",[2],M3_REAL_RAW_002,curated_problem_type_from_raw_taxonomy
M3_REAL_PT008,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,n>0일 때 n² 또는 (-n)²의 제곱근,제곱근 구하기 범주의 'n>0일 때 n² 또는 (-n)²의 제곱근' 유형을 진단한다.,"[""M3_REAL_C002""]",basic,"[""sqrt_definition_property""]",[2],M3_REAL_RAW_003,curated_problem_type_from_raw_taxonomy
M3_REAL_PT009,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,n<0일 때 n²의 제곱근,제곱근 구하기 범주의 'n<0일 때 n²의 제곱근' 유형을 진단한다.,"[""M3_REAL_C002""]",core,"[""sqrt_definition_property""]",[2],M3_REAL_RAW_003,curated_problem_type_from_raw_taxonomy
M3_REAL_PT010,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,두 수의 제곱근의 연산,제곱근 구하기 범주의 '두 수의 제곱근의 연산' 유형을 진단한다.,"[""M3_REAL_C002""]",basic,"[""sqrt_definition_property""]",[2],M3_REAL_RAW_003,curated_problem_type_from_raw_taxonomy
M3_REAL_PT011,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,제곱근 n과 m의 제곱근의 연산,제곱근 구하기 범주의 '제곱근 n과 m의 제곱근의 연산' 유형을 진단한다.,"[""M3_REAL_C002""]",basic,"[""sqrt_definition_property""]",[2],M3_REAL_RAW_003,curated_problem_type_from_raw_taxonomy
M3_REAL_PT012,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,근호를 사용하지 않고 수 나타내기,근호를 사용하지 않고 수 나타내기 범주의 '근호를 사용하지 않고 수 나타내기' 유형을 진단한다.,"[""M3_REAL_C003""]",core,"[""sqrt_definition_property""]",[2],M3_REAL_RAW_004,curated_problem_type_from_raw_taxonomy
M3_REAL_PT013,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,근호를 사용하지 않고 나타낼 수 있는 수의 판별,근호를 사용하지 않고 수 나타내기 범주의 '근호를 사용하지 않고 나타낼 수 있는 수의 판별' 유형을 진단한다.,"[""M3_REAL_C003""]",basic,"[""sqrt_definition_property""]",[2],M3_REAL_RAW_004,curated_problem_type_from_raw_taxonomy
M3_REAL_PT014,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,넓이가 주어진 경우,제곱근을 이용하여 정사각형의 한 변의 길이 구하기 범주의 '넓이가 주어진 경우' 유형을 진단한다.,"[""M3_REAL_C004""]",basic,"[""geometry_application""]",[3],M3_REAL_RAW_005,curated_problem_type_from_raw_taxonomy
M3_REAL_PT015,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,두 도형의 넓이의 합과 넓이가 같은 경우,제곱근을 이용하여 정사각형의 한 변의 길이 구하기 범주의 '두 도형의 넓이의 합과 넓이가 같은 경우' 유형을 진단한다.,"[""M3_REAL_C004""]",advanced,"[""geometry_application"", ""application_or_complexity""]",[3],M3_REAL_RAW_005,curated_problem_type_from_raw_taxonomy
M3_REAL_PT016,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,넓이의 관계가 주어진 경우,제곱근을 이용하여 정사각형의 한 변의 길이 구하기 범주의 '넓이의 관계가 주어진 경우' 유형을 진단한다.,"[""M3_REAL_C004""]",basic,"[""geometry_application""]",[3],M3_REAL_RAW_005,curated_problem_type_from_raw_taxonomy
M3_REAL_PT017,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,한 정사각형을 나누거나 자른 경우,제곱근을 이용하여 정사각형의 한 변의 길이 구하기 범주의 '한 정사각형을 나누거나 자른 경우' 유형을 진단한다.,"[""M3_REAL_C004""]",basic,"[""geometry_application""]",[3],M3_REAL_RAW_005,curated_problem_type_from_raw_taxonomy
M3_REAL_PT018,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,직각삼각형의 변의 길이 구하기,제곱근을 이용하여 직각삼각형의 한 변의 길이 구하기 범주의 '직각삼각형의 변의 길이 구하기' 유형을 진단한다.,"[""M3_REAL_C004""]",core,"[""geometry_application""]",[3],M3_REAL_RAW_006,curated_problem_type_from_raw_taxonomy
M3_REAL_PT019,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,모눈 위의 직각삼각형의 변의 길이 구하기,제곱근을 이용하여 직각삼각형의 한 변의 길이 구하기 범주의 '모눈 위의 직각삼각형의 변의 길이 구하기' 유형을 진단한다.,"[""M3_REAL_C004""]",basic,"[""geometry_application""]",[3],M3_REAL_RAW_006,curated_problem_type_from_raw_taxonomy
M3_REAL_PT020,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,직각삼각형의 변의 길이를 이용한 도형의 넓이 구하기,제곱근을 이용하여 직각삼각형의 한 변의 길이 구하기 범주의 '직각삼각형의 변의 길이를 이용한 도형의 넓이 구하기' 유형을 진단한다.,"[""M3_REAL_C004""]",advanced,"[""geometry_application"", ""application_or_complexity""]",[3],M3_REAL_RAW_006,curated_problem_type_from_raw_taxonomy
M3_REAL_PT021,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,이웃한 직각삼각형의 변의 길이 구하기,제곱근을 이용하여 직각삼각형의 한 변의 길이 구하기 범주의 '이웃한 직각삼각형의 변의 길이 구하기' 유형을 진단한다.,"[""M3_REAL_C004""]",core,"[""geometry_application""]",[3],M3_REAL_RAW_006,curated_problem_type_from_raw_taxonomy
M3_REAL_PT022,중3,M3_REAL_NUMBER_CALC,실수와 그 계산,직각삼각형의 변의 길이의 활용,제곱근을 이용하여 직각삼각형의 한 변의 길이 구하기 범주의 '직각삼각형의 변의 길이의 활용' 유형을 진단한다.,"[""M3_REAL_C004""]",advanced,"[""geometry_application"", ""application_or_complexity""]",[3],M3_REAL_RAW_006,curated_problem_type_from_raw_taxonomy
