source_file,source_section_code,source_unit,source_question_range,item_count,engine_unit_id,engine_unit_name,engine_subunit_id,engine_subunit_name,status,mapping_note
아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,001~012,12,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_EXPONENT,지수와 거듭제곱근,completed,full section mapped to algebra item bank
아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,001~012,12,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_LOG,로그의 뜻과 성질,completed,full section mapped to algebra item bank
아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,001~016,16,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수와 로그함수의 그래프,completed,full section mapped to algebra item bank
아이디어 수학1 지수함수와 로그함수.pdf,I-(4),지수/로그방정식과 부등식,001~009,9,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_EQUATION_INEQUALITY,지수·로그방정식과 부등식,completed,full section mapped to algebra item bank
아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,001~006,6,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION,삼각함수의 뜻,completed,full section mapped to algebra item bank
아이디어 수학1 삼각함수.pdf,II-(3)(4),삼각함수의 그래프와 방정식/부등식,001~016,16,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_GRAPH_EQUATION,삼각함수의 그래프와 방정식·부등식,completed,full section mapped to algebra item bank
아이디어 수학1 삼각함수.pdf,II-(5),삼각함수의 활용,001~010,10,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_APPLICATION,사인법칙·코사인법칙과 활용,completed,full section mapped to algebra item bank
아이디어 수학1 수열.pdf,III-(2),등차수열,001~016,16,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITHMETIC,등차수열,completed,full section mapped to algebra item bank
아이디어 수학1 수열.pdf,III-(3),등비수열,001~012,12,ALG_SEQUENCE,수열,ALG_SEQUENCE_GEOMETRIC,등비수열,completed,full section mapped to algebra item bank
아이디어 수학1 수열.pdf,III-(4),수열의 합,001~012,12,ALG_SEQUENCE,수열,ALG_SEQUENCE_SUM,수열의 합,completed,full section mapped to algebra item bank
아이디어 수학1 수열.pdf,III-(5),수학적 귀납법,001~014,14,ALG_SEQUENCE,수열,ALG_SEQUENCE_INDUCTION,수학적 귀납법,completed,full section mapped to algebra item bank
