problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H1_CM2_SET_PT001,고1,공통수학2,H1_COMMON_MATH2_SET_PROPOSITION,집합과 명제,집합과 원소의 뜻 판별 - 기본 조건 판별 - 기본 판별,"집합의 뜻과 표현 범주의 '집합과 원소의 뜻 판별 - 기본 조건 판별' 유형을 진단한다. 정의·기호·조건을 구분하는 기본 진단을 통해 학생이 조건 번역, 집합 연산, 명제 참거짓, 증명 구조를 정확히 처리하는지 확인한다.",H1_CM2_SET_C001,core,set_notation|element_condition|domain_translation,1,H1_CM2_SET_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM2_SET_PT002,고1,공통수학2,H1_COMMON_MATH2_SET_PROPOSITION,집합과 명제,집합과 원소의 뜻 판별 - 기본 조건 판별 - 조건 적용,"집합의 뜻과 표현 범주의 '집합과 원소의 뜻 판별 - 기본 조건 판별' 유형을 진단한다. 범위, 포함 관계, 부정, 미지수 조건을 적용하는 진단을 통해 학생이 조건 번역, 집합 연산, 명제 참거짓, 증명 구조를 정확히 처리하는지 확인한다.",H1_CM2_SET_C001,application,set_notation|element_condition|domain_translation,1,H1_CM2_SET_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM2_SET_PT003,고1,공통수학2,H1_COMMON_MATH2_SET_PROPOSITION,집합과 명제,집합과 원소의 뜻 판별 - 기본 조건 판별 - 혼합 검산,"집합의 뜻과 표현 범주의 '집합과 원소의 뜻 판별 - 기본 조건 판별' 유형을 진단한다. 보기형·참거짓·반례 검산까지 확인하는 진단을 통해 학생이 조건 번역, 집합 연산, 명제 참거짓, 증명 구조를 정확히 처리하는지 확인한다.",H1_CM2_SET_C001,challenge,set_notation|element_condition|domain_translation,1,H1_CM2_SET_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM2_SET_PT004,고1,공통수학2,H1_COMMON_MATH2_SET_PROPOSITION,집합과 명제,집합과 원소의 뜻 판별 - 계산 및 식 정리 - 기본 판별,"집합의 뜻과 표현 범주의 '집합과 원소의 뜻 판별 - 계산 및 식 정리' 유형을 진단한다. 정의·기호·조건을 구분하는 기본 진단을 통해 학생이 조건 번역, 집합 연산, 명제 참거짓, 증명 구조를 정확히 처리하는지 확인한다.",H1_CM2_SET_C002,core,set_notation|element_condition|domain_translation,1,H1_CM2_SET_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM2_SET_PT005,고1,공통수학2,H1_COMMON_MATH2_SET_PROPOSITION,집합과 명제,집합과 원소의 뜻 판별 - 계산 및 식 정리 - 조건 적용,"집합의 뜻과 표현 범주의 '집합과 원소의 뜻 판별 - 계산 및 식 정리' 유형을 진단한다. 범위, 포함 관계, 부정, 미지수 조건을 적용하는 진단을 통해 학생이 조건 번역, 집합 연산, 명제 참거짓, 증명 구조를 정확히 처리하는지 확인한다.",H1_CM2_SET_C002,application,set_notation|element_condition|domain_translation,1,H1_CM2_SET_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM2_SET_PT006,고1,공통수학2,H1_COMMON_MATH2_SET_PROPOSITION,집합과 명제,집합과 원소의 뜻 판별 - 계산 및 식 정리 - 혼합 검산,"집합의 뜻과 표현 범주의 '집합과 원소의 뜻 판별 - 계산 및 식 정리' 유형을 진단한다. 보기형·참거짓·반례 검산까지 확인하는 진단을 통해 학생이 조건 번역, 집합 연산, 명제 참거짓, 증명 구조를 정확히 처리하는지 확인한다.",H1_CM2_SET_C002,challenge,set_notation|element_condition|domain_translation,1,H1_CM2_SET_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM2_SET_PT007,고1,공통수학2,H1_COMMON_MATH2_SET_PROPOSITION,집합과 명제,집합과 원소의 뜻 판별 - 조건 변형 적용 - 기본 판별,"집합의 뜻과 표현 범주의 '집합과 원소의 뜻 판별 - 조건 변형 적용' 유형을 진단한다. 정의·기호·조건을 구분하는 기본 진단을 통해 학생이 조건 번역, 집합 연산, 명제 참거짓, 증명 구조를 정확히 처리하는지 확인한다.",H1_CM2_SET_C003,core,set_notation|element_condition|domain_translation,1,H1_CM2_SET_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM2_SET_PT008,고1,공통수학2,H1_COMMON_MATH2_SET_PROPOSITION,집합과 명제,집합과 원소의 뜻 판별 - 조건 변형 적용 - 조건 적용,"집합의 뜻과 표현 범주의 '집합과 원소의 뜻 판별 - 조건 변형 적용' 유형을 진단한다. 범위, 포함 관계, 부정, 미지수 조건을 적용하는 진단을 통해 학생이 조건 번역, 집합 연산, 명제 참거짓, 증명 구조를 정확히 처리하는지 확인한다.",H1_CM2_SET_C003,application,set_notation|element_condition|domain_translation,1,H1_CM2_SET_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM2_SET_PT009,고1,공통수학2,H1_COMMON_MATH2_SET_PROPOSITION,집합과 명제,집합과 원소의 뜻 판별 - 조건 변형 적용 - 혼합 검산,"집합의 뜻과 표현 범주의 '집합과 원소의 뜻 판별 - 조건 변형 적용' 유형을 진단한다. 보기형·참거짓·반례 검산까지 확인하는 진단을 통해 학생이 조건 번역, 집합 연산, 명제 참거짓, 증명 구조를 정확히 처리하는지 확인한다.",H1_CM2_SET_C003,challenge,set_notation|element_condition|domain_translation,1,H1_CM2_SET_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM2_SET_PT010,고1,공통수학2,H1_COMMON_MATH2_SET_PROPOSITION,집합과 명제,집합과 원소의 뜻 판별 - 보기형·참거짓 검산 - 기본 판별,"집합의 뜻과 표현 범주의 '집합과 원소의 뜻 판별 - 보기형·참거짓 검산' 유형을 진단한다. 정의·기호·조건을 구분하는 기본 진단을 통해 학생이 조건 번역, 집합 연산, 명제 참거짓, 증명 구조를 정확히 처리하는지 확인한다.",H1_CM2_SET_C004,core,set_notation|element_condition|domain_translation,1,H1_CM2_SET_RAW_004,curated_problem_type_from_raw_taxonomy
