raw_section_id,source_order,source_image,major_category,section_name,normalized_concept_id,estimated_detail_type_count_in_major,error_tags,status
H2_CALC2_SEQ_RAW_001,1,1.png,수열의 극한,수열의 수렴과 발산 - 수열의 항이 나열된 경우,H2_CALC2_SEQ_C001,6,"[""sequence_convergence"", ""basic_limit"", ""sequence_general_term""]",normalized_from_image_tree
H2_CALC2_SEQ_RAW_002,1,1.png,수열의 극한,수열의 수렴과 발산 - 수열의 일반항이 주어진 경우,H2_CALC2_SEQ_C002,6,"[""sequence_convergence"", ""basic_limit"", ""sequence_general_term""]",normalized_from_image_tree
H2_CALC2_SEQ_RAW_003,1,1.png,수열의 극한,수열의 극한에 대한 성질 - 수열이 1개인 경우의 극한 성질,H2_CALC2_SEQ_C003,5,"[""limit_properties"", ""algebraic_limit"", ""sequence_general_term""]",normalized_from_image_tree
H2_CALC2_SEQ_RAW_004,1,1.png,수열의 극한,수열의 극한에 대한 성질 - 수열이 2개 이상인 경우의 극한 성질,H2_CALC2_SEQ_C004,5,"[""limit_properties"", ""algebraic_limit"", ""sequence_general_term""]",normalized_from_image_tree
H2_CALC2_SEQ_RAW_005,1,1.png,수열의 극한,수열의 극한에 대한 성질 - 극한값이 주어진 경우 1,H2_CALC2_SEQ_C005,5,"[""limit_properties"", ""algebraic_limit"", ""sequence_general_term""]",normalized_from_image_tree
H2_CALC2_SEQ_RAW_006,1,1.png,수열의 극한,수열의 극한에 대한 성질 - 극한값이 주어진 경우 2,H2_CALC2_SEQ_C006,5,"[""limit_properties"", ""algebraic_limit"", ""sequence_general_term""]",normalized_from_image_tree
H2_CALC2_SEQ_RAW_007,1,1.png,수열의 극한,q^n 꼴의 이용 - 수열의 극한값이 주어진 경우,H2_CALC2_SEQ_C007,5,"[""geometric_factor"", ""q_power"", ""limit_properties""]",normalized_from_image_tree
H2_CALC2_SEQ_RAW_008,1,1.png,수열의 극한,q^n 꼴의 이용 - 이차방정식 또는 로그가 포함된 등식이 주어진 경우,H2_CALC2_SEQ_C008,5,"[""geometric_factor"", ""q_power"", ""limit_properties""]",normalized_from_image_tree
H2_CALC2_SEQ_RAW_009,1,1.png,수열의 극한,q^n 꼴의 이용 - 그 외의 조건이 주어진 경우,H2_CALC2_SEQ_C009,5,"[""geometric_factor"", ""q_power"", ""limit_properties""]",normalized_from_image_tree
H2_CALC2_SEQ_RAW_010,2,2.png,수열의 극한,∞/∞ 꼴의 극한 - 분자의 차수 > 분모의 차수,H2_CALC2_SEQ_C010,5,"[""indeterminate_form"", ""infty_over_infty"", ""algebraic_limit""]",normalized_from_image_tree
