problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,required_solution_checks,status
H2_EL_PT001,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,n제곱근 구하기,거듭제곱근 범주의 'n제곱근 구하기' 유형을 진단한다.,H2_EL_C001|H2_EL_C002|H2_EL_C003,basic,power_root|nth_root,1,H2_EXP_LOG_RAW_001,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT002,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,n제곱근의 개수 구하기,거듭제곱근 범주의 'n제곱근의 개수 구하기' 유형을 진단한다.,H2_EL_C001|H2_EL_C002|H2_EL_C003,basic,power_root|nth_root|condition_judgment,1,H2_EXP_LOG_RAW_001,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT003,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,n제곱근의 성질,거듭제곱근 범주의 'n제곱근의 성질' 유형을 진단한다.,H2_EL_C001|H2_EL_C002|H2_EL_C003,standard,power_root|nth_root|algebraic_manipulation,1,H2_EXP_LOG_RAW_001,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT004,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,n제곱근 중 실수인 것 구하기,거듭제곱근 범주의 'n제곱근 중 실수인 것 구하기' 유형을 진단한다.,H2_EL_C001|H2_EL_C002|H2_EL_C003,basic,power_root|nth_root|condition_judgment,1,H2_EXP_LOG_RAW_001,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT005,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,x의 n제곱근 중 실수의 개수로 정의된 함수의 연산,거듭제곱근 범주의 'x의 n제곱근 중 실수의 개수로 정의된 함수의 연산' 유형을 진단한다.,H2_EL_C001|H2_EL_C002|H2_EL_C003,standard,power_root|nth_root|condition_judgment|domain_condition|algebraic_manipulation,1,H2_EXP_LOG_RAW_001,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT006,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,두 집합의 원소를 이용하여 만들어진 새로운 집합의 원소의 개수,거듭제곱근 범주의 '두 집합의 원소를 이용하여 만들어진 새로운 집합의 원소의 개수' 유형을 진단한다.,H2_EL_C001|H2_EL_C002|H2_EL_C003,standard,power_root|nth_root|condition_judgment,1,H2_EXP_LOG_RAW_001,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT007,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,n√a의 값 구하기,거듭제곱근의 계산 범주의 'n√a의 값 구하기' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,basic,power_root|nth_root|algebraic_manipulation,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT008,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,n제곱근에 대한 설명으로 옳은 것 찾기,거듭제곱근의 계산 범주의 'n제곱근에 대한 설명으로 옳은 것 찾기' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,standard,power_root|nth_root|algebraic_manipulation,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT009,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,수의 n제곱근의 값 구하기,거듭제곱근의 계산 범주의 '수의 n제곱근의 값 구하기' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,basic,power_root|nth_root|algebraic_manipulation,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT010,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,수의 제곱근의 n제곱근의 값 구하기,거듭제곱근의 계산 범주의 '수의 제곱근의 n제곱근의 값 구하기' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,basic,power_root|nth_root|algebraic_manipulation,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT011,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,수의 거듭제곱근의 거듭제곱,거듭제곱근의 계산 범주의 '수의 거듭제곱근의 거듭제곱' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,standard,power_root|nth_root|algebraic_manipulation,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT012,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,거듭제곱근의 곱셈과 나눗셈,거듭제곱근의 계산 범주의 '거듭제곱근의 곱셈과 나눗셈' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,standard,power_root|nth_root|algebraic_manipulation,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT013,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,거듭제곱근의 덧셈과 뺄셈,거듭제곱근의 계산 범주의 '거듭제곱근의 덧셈과 뺄셈' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,standard,power_root|nth_root|algebraic_manipulation,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT014,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,거듭제곱근의 혼합계산,거듭제곱근의 계산 범주의 '거듭제곱근의 혼합계산' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,standard,power_root|nth_root|algebraic_manipulation,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT015,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,분수꼴로 표현된 거듭제곱근의 곱셈,거듭제곱근의 계산 범주의 '분수꼴로 표현된 거듭제곱근의 곱셈' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,standard,power_root|nth_root|algebraic_manipulation,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT016,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,거듭제곱근 계산의 도형 활용,거듭제곱근의 계산 범주의 '거듭제곱근 계산의 도형 활용' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,advanced,power_root|nth_root|algebraic_manipulation|application_modeling,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
