item_id,source_id,source_title,source_subject,source_file,source_section_code,source_unit,source_question_no,source_page,engine_subject,engine_unit_id,engine_unit_name,engine_subunit_id,engine_subunit_name,matched_problem_type_id,concept_ids,type_name,variant_id,variant_tags,skill_tags,error_tags,prerequisite_concepts,difficulty,mapping_status,duplicate_of,near_duplicate_group,diagnosis_weight,copyright_note,review_note
idea_su1_i_1_001,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,001,1,대수,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_EXPONENT,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC,ALG_EXPLOG_FOUNDATION_EXPONENT,거듭제곱근의 뜻과 개수 판정,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC_NTH_ROOT_DEFINITION,nth_root_definition|root_count|parity_condition,nth_root_definition|root_count|parity_condition,짝수근/홀수근 구분 부족|실수인 거듭제곱근 개수 오판,중3 제곱근|중2 지수법칙,core,matched,,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC::nth_root_definition,0.85,problem_text_not_stored; metadata_only,
idea_su1_i_1_002,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,002,1,대수,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_EXPONENT,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC,ALG_EXPLOG_FOUNDATION_EXPONENT,거듭제곱근의 뜻과 개수 판정,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC_NTH_ROOT_DEFINITION,nth_root_definition|root_count|parity_condition,nth_root_definition|root_count|parity_condition,짝수근/홀수근 구분 부족|실수인 거듭제곱근 개수 오판,중3 제곱근|중2 지수법칙,core,matched,,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC::nth_root_definition,0.85,problem_text_not_stored; metadata_only,
idea_su1_i_1_003,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,003,2,대수,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_EXPONENT,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC,ALG_EXPLOG_FOUNDATION_EXPONENT,거듭제곱근의 뜻과 개수 판정,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC_NTH_ROOT_DEFINITION,nth_root_definition|root_count|parity_condition,nth_root_definition|root_count|parity_condition,짝수근/홀수근 구분 부족|실수인 거듭제곱근 개수 오판,중3 제곱근|중2 지수법칙,core,matched,,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC::nth_root_definition,0.85,problem_text_not_stored; metadata_only,
idea_su1_i_1_004,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,004,2,대수,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_EXPONENT,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC,ALG_EXPLOG_FOUNDATION_EXPONENT,거듭제곱근의 뜻과 개수 판정,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC_NTH_ROOT_DEFINITION,nth_root_definition|root_count|parity_condition,nth_root_definition|root_count|parity_condition,짝수근/홀수근 구분 부족|실수인 거듭제곱근 개수 오판,중3 제곱근|중2 지수법칙,core,matched,,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC::nth_root_definition,0.85,problem_text_not_stored; metadata_only,
idea_su1_i_1_005,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,005,3,대수,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_EXPONENT,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER,ALG_EXPLOG_FOUNDATION_EXPONENT,n제곱근 조건과 매개변수 판정,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER_NTH_ROOT_CONDITION,nth_root_condition|integer_parameter|case_split,nth_root_condition|integer_parameter|case_split,n의 짝홀성 조건 누락|문자 조건 분기 실패,중3 제곱근|정수 조건 분류,applied,matched,,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER::nth_root_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_i_1_006,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,006,3,대수,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_EXPONENT,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER,ALG_EXPLOG_FOUNDATION_EXPONENT,n제곱근 조건과 매개변수 판정,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER_NTH_ROOT_CONDITION,nth_root_condition|integer_parameter|case_split,nth_root_condition|integer_parameter|case_split,n의 짝홀성 조건 누락|문자 조건 분기 실패,중3 제곱근|정수 조건 분류,applied,matched,,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER::nth_root_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_i_1_007,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,007,4,대수,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_EXPONENT,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER,ALG_EXPLOG_FOUNDATION_EXPONENT,n제곱근 조건과 매개변수 판정,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER_NTH_ROOT_CONDITION,nth_root_condition|integer_parameter|case_split,nth_root_condition|integer_parameter|case_split,n의 짝홀성 조건 누락|문자 조건 분기 실패,중3 제곱근|정수 조건 분류,applied,matched,,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER::nth_root_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_i_1_008,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,008,4,대수,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_EXPONENT,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER,ALG_EXPLOG_FOUNDATION_EXPONENT,n제곱근 조건과 매개변수 판정,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER_NTH_ROOT_CONDITION,nth_root_condition|integer_parameter|case_split,nth_root_condition|integer_parameter|case_split,n의 짝홀성 조건 누락|문자 조건 분기 실패,중3 제곱근|정수 조건 분류,applied,matched,,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER::nth_root_condition,0.95,problem_text_not_stored; metadata_only,
idea_su1_i_1_009,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,009,5,대수,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_EXPONENT,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT,ALG_EXPLOG_FOUNDATION_EXPONENT,지수식·거듭제곱근 조건을 이용한 값 결정,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT_EXPONENT_EQUATION,exponent_equation|root_product_sum|condition_check,exponent_equation|root_product_sum|condition_check,근의 조건 검산 누락|방정식 해와 실수근 조건 혼동,중2 방정식|중3 제곱근,advanced,review_required,,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT::exponent_equation,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
idea_su1_i_1_010,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,010,5,대수,ALG_EXPLOG_FOUNDATION,지수와 로그 기초,ALG_EXPLOG_FOUNDATION_EXPONENT,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT,ALG_EXPLOG_FOUNDATION_EXPONENT,지수식·거듭제곱근 조건을 이용한 값 결정,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT_EXPONENT_EQUATION,exponent_equation|root_product_sum|condition_check,exponent_equation|root_product_sum|condition_check,근의 조건 검산 누락|방정식 해와 실수근 조건 혼동,중2 방정식|중3 제곱근,advanced,review_required,,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT::exponent_equation,1.05,problem_text_not_stored; metadata_only,advanced/composite rows require teacher spot-check
