question_no,answer_key,problem_page,quick_answer_page,verification_status
1,8,1,43,verified_from_quick_answer
2,②,1,43,verified_from_quick_answer
3,①,1,43,verified_from_quick_answer
4,18,1,43,verified_from_quick_answer
5,②,2,43,verified_from_quick_answer
6,⑤,2,43,verified_from_quick_answer
7,8,2,43,verified_from_quick_answer
8,③,2,43,verified_from_quick_answer
9,④,3,43,verified_from_quick_answer
10,156,3,43,verified_from_quick_answer
11,④,3,43,verified_from_quick_answer
12,3,3,43,verified_from_quick_answer
13,18,4,43,verified_from_quick_answer
14,⑤,4,43,verified_from_quick_answer
15,④,4,43,verified_from_quick_answer
16,②,4,43,verified_from_quick_answer
17,240,5,43,verified_from_quick_answer
18,④,5,43,verified_from_quick_answer
19,26,5,43,verified_from_quick_answer
20,④,5,43,verified_from_quick_answer
21,38,6,43,verified_from_quick_answer
22,34,6,43,verified_from_quick_answer
23,④,6,43,verified_from_quick_answer
24,12,6,43,verified_from_quick_answer
25,9,7,43,verified_from_quick_answer
26,②,7,43,verified_from_quick_answer
27,61,7,43,verified_from_quick_answer
28,②,7,43,verified_from_quick_answer
29,378,8,43,verified_from_quick_answer
30,③,8,43,verified_from_quick_answer
31,8,8,43,verified_from_quick_answer
32,④,8,43,verified_from_quick_answer
33,450,9,43,verified_from_quick_answer
34,255,9,43,verified_from_quick_answer
35,48,9,43,verified_from_quick_answer
36,1,9,43,verified_from_quick_answer
37,②,10,43,verified_from_quick_answer
38,①,10,43,verified_from_quick_answer
39,①,10,43,verified_from_quick_answer
40,①,10,43,verified_from_quick_answer
41,⑤,11,43,verified_from_quick_answer
42,①,11,43,verified_from_quick_answer
43,56,11,43,verified_from_quick_answer
44,③,11,43,verified_from_quick_answer
45,④,12,43,verified_from_quick_answer
46,③,12,43,verified_from_quick_answer
47,③,12,43,verified_from_quick_answer
48,1,12,43,verified_from_quick_answer
49,④,13,43,verified_from_quick_answer
50,-5,13,43,verified_from_quick_answer
51,32,13,43,verified_from_quick_answer
52,729,13,43,verified_from_quick_answer
53,60,14,43,verified_from_quick_answer
54,③,14,43,verified_from_quick_answer
55,③,14,43,verified_from_quick_answer
56,96,14,43,verified_from_quick_answer
57,⑤,15,43,verified_from_quick_answer
58,10,15,43,verified_from_quick_answer
59,225,15,43,verified_from_quick_answer
60,③,15,43,verified_from_quick_answer
61,③,16,43,verified_from_quick_answer
62,6,16,43,verified_from_quick_answer
63,③,16,43,verified_from_quick_answer
64,②,17,43,verified_from_quick_answer
65,③,17,43,verified_from_quick_answer
66,⑤,17,43,verified_from_quick_answer
67,191/8,17,43,verified_from_quick_answer
68,15,18,43,verified_from_quick_answer
69,56만원,18,43,verified_from_quick_answer
70,⑤,18,43,verified_from_quick_answer
71,347700원,18,43,verified_from_quick_answer
72,8,19,43,verified_from_quick_answer
73,256,19,43,verified_from_quick_answer
74,10,19,43,verified_from_quick_answer
75,8184,19,43,verified_from_quick_answer
76,16,20,43,verified_from_quick_answer
77,③,20,43,verified_from_quick_answer
78,74,20,43,verified_from_quick_answer
79,6,20,43,verified_from_quick_answer
80,10,21,43,verified_from_quick_answer
81,⑤,21,43,verified_from_quick_answer
82,70,21,43,verified_from_quick_answer
83,①,21,43,verified_from_quick_answer
84,321,22,43,verified_from_quick_answer
85,49,22,43,verified_from_quick_answer
86,13,22,43,verified_from_quick_answer
87,③,22,43,verified_from_quick_answer
88,860,23,43,verified_from_quick_answer
89,②,23,43,verified_from_quick_answer
90,③,23,43,verified_from_quick_answer
91,4,23,43,verified_from_quick_answer
92,2600,24,43,verified_from_quick_answer
93,①,24,43,verified_from_quick_answer
94,45,24,43,verified_from_quick_answer
95,115/2,24,43,verified_from_quick_answer
96,367,25,43,verified_from_quick_answer
97,④,25,43,verified_from_quick_answer
98,③,25,43,verified_from_quick_answer
99,③,26,43,verified_from_quick_answer
100,98,26,43,verified_from_quick_answer
101,④,26,43,verified_from_quick_answer
102,20/11,26,43,verified_from_quick_answer
103,15,27,43,verified_from_quick_answer
104,85,27,43,verified_from_quick_answer
105,230,27,43,verified_from_quick_answer
106,②,27,43,verified_from_quick_answer
107,④,28,43,verified_from_quick_answer
108,57,28,43,verified_from_quick_answer
109,81,28,43,verified_from_quick_answer
110,725,29,43,verified_from_quick_answer
111,②,29,43,verified_from_quick_answer
112,④,29,43,verified_from_quick_answer
113,25,30,43,verified_from_quick_answer
114,1/15,30,43,verified_from_quick_answer
115,243,30,43,verified_from_quick_answer
116,2401,30,43,verified_from_quick_answer
117,③,31,43,verified_from_quick_answer
118,112,31,43,verified_from_quick_answer
119,①,31,43,verified_from_quick_answer
120,9,31,43,verified_from_quick_answer
121,④,32,43,verified_from_quick_answer
122,3,32,43,verified_from_quick_answer
123,21,32,43,verified_from_quick_answer
124,36,32,43,verified_from_quick_answer
125,33,33,43,verified_from_quick_answer
126,⑤,33,43,verified_from_quick_answer
127,67,33,43,verified_from_quick_answer
128,①,33,43,verified_from_quick_answer
129,⑤,34,43,verified_from_quick_answer
130,325,34,43,verified_from_quick_answer
131,8,34,43,verified_from_quick_answer
132,6,34,43,verified_from_quick_answer
133,②,35,43,verified_from_quick_answer
134,⑤,35,43,verified_from_quick_answer
135,③,35,43,verified_from_quick_answer
136,①,36,43,verified_from_quick_answer
137,⑤,36,43,verified_from_quick_answer
138,344,37,43,verified_from_quick_answer
139,4960,37,44,verified_from_quick_answer
140,62,38,44,verified_from_quick_answer
141,4,38,44,verified_from_quick_answer
142,6,38,44,verified_from_quick_answer
143,④,39,44,verified_from_quick_answer
144,③,39,44,verified_from_quick_answer
145,②,40,44,verified_from_quick_answer
146,①,40,44,verified_from_quick_answer
147,2,41,44,verified_from_quick_answer
148,①,41,44,verified_from_quick_answer
149,④,42,44,verified_from_quick_answer
150,④,42,44,verified_from_quick_answer
