problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H2_CALC2_SEQ_PT001,고2,미적분2,H2_CALCULUS2_SEQUENCE_LIMIT,수열의 극한,수열의 수렴과 발산 - 수열의 항이 나열된 경우 - 기본 판별,"수열의 극한 범주의 '수열의 수렴과 발산 - 수열의 항이 나열된 경우' 유형을 기본 판별 수준으로 진단한다. 수열의 극한, 급수, 등비급수의 성질과 응용 조건을 단계별로 확인한다.","[""H2_CALC2_SEQ_C001""]",basic,"[""sequence_convergence"", ""basic_limit"", ""sequence_general_term""]",[1],H2_CALC2_SEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC2_SEQ_PT002,고2,미적분2,H2_CALCULUS2_SEQUENCE_LIMIT,수열의 극한,수열의 수렴과 발산 - 수열의 항이 나열된 경우 - 계산·조건 적용,"수열의 극한 범주의 '수열의 수렴과 발산 - 수열의 항이 나열된 경우' 유형을 계산·조건 적용 수준으로 진단한다. 수열의 극한, 급수, 등비급수의 성질과 응용 조건을 단계별로 확인한다.","[""H2_CALC2_SEQ_C001""]",core,"[""sequence_convergence"", ""basic_limit"", ""sequence_general_term""]",[1],H2_CALC2_SEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC2_SEQ_PT003,고2,미적분2,H2_CALCULUS2_SEQUENCE_LIMIT,수열의 극한,수열의 수렴과 발산 - 수열의 항이 나열된 경우 - 응용·검산,"수열의 극한 범주의 '수열의 수렴과 발산 - 수열의 항이 나열된 경우' 유형을 응용·검산 수준으로 진단한다. 수열의 극한, 급수, 등비급수의 성질과 응용 조건을 단계별로 확인한다.","[""H2_CALC2_SEQ_C001""]",advanced,"[""sequence_convergence"", ""basic_limit"", ""sequence_general_term""]",[1],H2_CALC2_SEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC2_SEQ_PT004,고2,미적분2,H2_CALCULUS2_SEQUENCE_LIMIT,수열의 극한,수열의 수렴과 발산 - 수열의 일반항이 주어진 경우 - 기본 판별,"수열의 극한 범주의 '수열의 수렴과 발산 - 수열의 일반항이 주어진 경우' 유형을 기본 판별 수준으로 진단한다. 수열의 극한, 급수, 등비급수의 성질과 응용 조건을 단계별로 확인한다.","[""H2_CALC2_SEQ_C002""]",basic,"[""sequence_convergence"", ""basic_limit"", ""sequence_general_term""]",[1],H2_CALC2_SEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC2_SEQ_PT005,고2,미적분2,H2_CALCULUS2_SEQUENCE_LIMIT,수열의 극한,수열의 수렴과 발산 - 수열의 일반항이 주어진 경우 - 계산·조건 적용,"수열의 극한 범주의 '수열의 수렴과 발산 - 수열의 일반항이 주어진 경우' 유형을 계산·조건 적용 수준으로 진단한다. 수열의 극한, 급수, 등비급수의 성질과 응용 조건을 단계별로 확인한다.","[""H2_CALC2_SEQ_C002""]",core,"[""sequence_convergence"", ""basic_limit"", ""sequence_general_term""]",[1],H2_CALC2_SEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC2_SEQ_PT006,고2,미적분2,H2_CALCULUS2_SEQUENCE_LIMIT,수열의 극한,수열의 수렴과 발산 - 수열의 일반항이 주어진 경우 - 응용·검산,"수열의 극한 범주의 '수열의 수렴과 발산 - 수열의 일반항이 주어진 경우' 유형을 응용·검산 수준으로 진단한다. 수열의 극한, 급수, 등비급수의 성질과 응용 조건을 단계별로 확인한다.","[""H2_CALC2_SEQ_C002""]",advanced,"[""sequence_convergence"", ""basic_limit"", ""sequence_general_term""]",[1],H2_CALC2_SEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC2_SEQ_PT007,고2,미적분2,H2_CALCULUS2_SEQUENCE_LIMIT,수열의 극한,수열의 극한에 대한 성질 - 수열이 1개인 경우의 극한 성질 - 기본 판별,"수열의 극한 범주의 '수열의 극한에 대한 성질 - 수열이 1개인 경우의 극한 성질' 유형을 기본 판별 수준으로 진단한다. 수열의 극한, 급수, 등비급수의 성질과 응용 조건을 단계별로 확인한다.","[""H2_CALC2_SEQ_C003""]",basic,"[""limit_properties"", ""algebraic_limit"", ""sequence_general_term""]",[1],H2_CALC2_SEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC2_SEQ_PT008,고2,미적분2,H2_CALCULUS2_SEQUENCE_LIMIT,수열의 극한,수열의 극한에 대한 성질 - 수열이 1개인 경우의 극한 성질 - 계산·조건 적용,"수열의 극한 범주의 '수열의 극한에 대한 성질 - 수열이 1개인 경우의 극한 성질' 유형을 계산·조건 적용 수준으로 진단한다. 수열의 극한, 급수, 등비급수의 성질과 응용 조건을 단계별로 확인한다.","[""H2_CALC2_SEQ_C003""]",core,"[""limit_properties"", ""algebraic_limit"", ""sequence_general_term""]",[1],H2_CALC2_SEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC2_SEQ_PT009,고2,미적분2,H2_CALCULUS2_SEQUENCE_LIMIT,수열의 극한,수열의 극한에 대한 성질 - 수열이 1개인 경우의 극한 성질 - 응용·검산,"수열의 극한 범주의 '수열의 극한에 대한 성질 - 수열이 1개인 경우의 극한 성질' 유형을 응용·검산 수준으로 진단한다. 수열의 극한, 급수, 등비급수의 성질과 응용 조건을 단계별로 확인한다.","[""H2_CALC2_SEQ_C003""]",advanced,"[""limit_properties"", ""algebraic_limit"", ""sequence_general_term""]",[1],H2_CALC2_SEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC2_SEQ_PT010,고2,미적분2,H2_CALCULUS2_SEQUENCE_LIMIT,수열의 극한,수열의 극한에 대한 성질 - 수열이 2개 이상인 경우의 극한 성질 - 기본 판별,"수열의 극한 범주의 '수열의 극한에 대한 성질 - 수열이 2개 이상인 경우의 극한 성질' 유형을 기본 판별 수준으로 진단한다. 수열의 극한, 급수, 등비급수의 성질과 응용 조건을 단계별로 확인한다.","[""H2_CALC2_SEQ_C004""]",basic,"[""limit_properties"", ""algebraic_limit"", ""sequence_general_term""]",[1],H2_CALC2_SEQ_RAW_004,curated_problem_type_from_raw_taxonomy
