raw_section_id,source_order,source_image,major_category,section_name,normalized_concept_id,estimated_detail_type_count_in_major,error_tags,status
H1_CM1_MAT_RAW_001,1,1.png,행렬의 뜻,행렬의 꼴,H1_CM1_MAT_C001,18,matrix_shape|row_column|entry_position,normalized_from_image_tree
H1_CM1_MAT_RAW_002,2,1.png,행렬의 뜻,행렬의 행과 열,H1_CM1_MAT_C002,18,matrix_shape|row_column|entry_position,normalized_from_image_tree
H1_CM1_MAT_RAW_003,3,1.png,행렬의 뜻,행렬의 성분,H1_CM1_MAT_C003,18,matrix_shape|row_column|entry_position,normalized_from_image_tree
H1_CM1_MAT_RAW_004,4,1.png,"행렬의 (i,j)성분","행렬의 (i,j)성분",H1_CM1_MAT_C004,48,entry_position|subscript_index|formula_entry,normalized_from_image_tree
H1_CM1_MAT_RAW_005,5,1.png,"행렬의 (i,j)성분",행렬의 성분 a_ij가 식으로 주어진 경우,H1_CM1_MAT_C005,48,entry_position|subscript_index|formula_entry,normalized_from_image_tree
H1_CM1_MAT_RAW_006,6,2.png,행렬 구하기,"수, 식의 활용",H1_CM1_MAT_C006,27,matrix_modeling|condition_translation|application_context,normalized_from_image_tree
H1_CM1_MAT_RAW_007,7,2.png,행렬 구하기,"이차방정식, 이차함수의 활용",H1_CM1_MAT_C007,27,matrix_modeling|condition_translation|application_context,normalized_from_image_tree
H1_CM1_MAT_RAW_008,8,2.png,행렬 구하기,도형의 활용,H1_CM1_MAT_C008,27,matrix_modeling|condition_translation|application_context,normalized_from_image_tree
H1_CM1_MAT_RAW_009,9,2.png,행렬 구하기,실생활의 활용,H1_CM1_MAT_C009,27,matrix_modeling|condition_translation|application_context,normalized_from_image_tree
H1_CM1_MAT_RAW_010,10,2.png,서로 같은 행렬,행렬이 직접 주어지는 경우,H1_CM1_MAT_C010,32,matrix_equality|entrywise_comparison|condition_translation,normalized_from_image_tree
H1_CM1_MAT_RAW_011,11,2.png,서로 같은 행렬,행렬이 성분으로 주어지는 경우,H1_CM1_MAT_C011,32,matrix_equality|entrywise_comparison|condition_translation,normalized_from_image_tree
H1_CM1_MAT_RAW_012,12,3.png,"행렬의 덧셈, 뺄셈, 실수배(1)","행렬의 덧셈, 뺄셈, 실수배(1) 한 행렬의 계산",H1_CM1_MAT_C012,55,linear_operation|same_size_check|scalar_multiple,normalized_from_image_tree
H1_CM1_MAT_RAW_013,13,3.png,"행렬의 덧셈, 뺄셈, 실수배(1)","행렬의 덧셈, 뺄셈, 실수배(2) 두 행렬의 계산",H1_CM1_MAT_C013,55,linear_operation|same_size_check|scalar_multiple,normalized_from_image_tree
H1_CM1_MAT_RAW_014,14,3.png,"행렬의 덧셈, 뺄셈, 실수배(1)","행렬의 덧셈, 뺄셈, 실수배(3) 세 행렬의 계산",H1_CM1_MAT_C014,55,linear_operation|same_size_check|scalar_multiple,normalized_from_image_tree
H1_CM1_MAT_RAW_015,15,3.png,"행렬의 덧셈, 뺄셈, 실수배(1)",행렬 A 또는 B를 구하는 경우,H1_CM1_MAT_C015,55,linear_operation|same_size_check|scalar_multiple,normalized_from_image_tree
H1_CM1_MAT_RAW_016,16,3.png,"행렬의 덧셈, 뺄셈, 실수배(1)",등식을 만족하는 행렬 X를 구하는 경우,H1_CM1_MAT_C016,55,linear_operation|same_size_check|scalar_multiple,normalized_from_image_tree
H1_CM1_MAT_RAW_017,17,3.png,"행렬의 덧셈, 뺄셈, 실수배(1)",증명하기,H1_CM1_MAT_C017,55,linear_operation|same_size_check|scalar_multiple,normalized_from_image_tree
H1_CM1_MAT_RAW_018,18,3.png,"행렬의 덧셈, 뺄셈, 실수배(2) 행렬에 대한 두 등식이 주어진 경우","행렬 A, B에 대한 두 등식이 주어진 경우",H1_CM1_MAT_C018,22,matrix_equation|simultaneous_condition|unknown_matrix,normalized_from_image_tree
H1_CM1_MAT_RAW_019,19,3.png,"행렬의 덧셈, 뺄셈, 실수배(2) 행렬에 대한 두 등식이 주어진 경우","행렬 A, B, X, Y에 대한 두 등식이 주어진 경우",H1_CM1_MAT_C019,22,matrix_equation|simultaneous_condition|unknown_matrix,normalized_from_image_tree
H1_CM1_MAT_RAW_020,20,3.png,"행렬의 덧셈, 뺄셈, 실수배(3) 행렬이 서로 같을 조건",두 행렬이 서로 같은 경우,H1_CM1_MAT_C020,19,entrywise_comparison|linear_combination|parameter_condition,normalized_from_image_tree
H1_CM1_MAT_RAW_021,21,3.png,"행렬의 덧셈, 뺄셈, 실수배(3) 행렬이 서로 같을 조건",xA+yB꼴로 나타내는 경우,H1_CM1_MAT_C021,19,entrywise_comparison|linear_combination|parameter_condition,normalized_from_image_tree
H1_CM1_MAT_RAW_022,22,4.png,행렬의 곱셈,곱셈의 정의,H1_CM1_MAT_C022,78,matrix_multiplication|order_sensitive|dimension_check,normalized_from_image_tree
H1_CM1_MAT_RAW_023,23,4.png,행렬의 곱셈,두 행렬의 곱셈,H1_CM1_MAT_C023,78,matrix_multiplication|order_sensitive|dimension_check,normalized_from_image_tree
H1_CM1_MAT_RAW_024,24,4.png,행렬의 곱셈,세 행렬의 곱셈,H1_CM1_MAT_C024,78,matrix_multiplication|order_sensitive|dimension_check,normalized_from_image_tree
H1_CM1_MAT_RAW_025,25,4.png,행렬의 곱셈,곱셈을 포함한 혼합계산,H1_CM1_MAT_C025,78,matrix_multiplication|order_sensitive|dimension_check,normalized_from_image_tree
H1_CM1_MAT_RAW_026,26,4.png,행렬의 곱셈,등식을 만족하는 행렬 X를 구하는 경우,H1_CM1_MAT_C026,78,matrix_multiplication|order_sensitive|dimension_check,normalized_from_image_tree
H1_CM1_MAT_RAW_027,27,4.png,행렬의 곱셈,최댓값 또는 최솟값 구하는 경우,H1_CM1_MAT_C027,78,matrix_multiplication|order_sensitive|dimension_check,normalized_from_image_tree
H1_CM1_MAT_RAW_028,28,4.png,행렬의 곱셈,새롭게 정의된 연산,H1_CM1_MAT_C028,78,matrix_multiplication|order_sensitive|dimension_check,normalized_from_image_tree
H1_CM1_MAT_RAW_029,29,4.png,행렬의 곱셈,조건이 주어진 경우,H1_CM1_MAT_C029,78,matrix_multiplication|order_sensitive|dimension_check,normalized_from_image_tree
H1_CM1_MAT_RAW_030,30,4.png,행렬의 거듭제곱(1),A^2의 계산,H1_CM1_MAT_C030,42,matrix_power|repeated_multiplication|pattern_search,normalized_from_image_tree
H1_CM1_MAT_RAW_031,31,4.png,행렬의 거듭제곱(1),A^3의 계산,H1_CM1_MAT_C031,42,matrix_power|repeated_multiplication|pattern_search,normalized_from_image_tree
H1_CM1_MAT_RAW_032,32,4.png,행렬의 거듭제곱(1),"A^n(x,y)의 계산",H1_CM1_MAT_C032,42,matrix_power|repeated_multiplication|pattern_search,normalized_from_image_tree
H1_CM1_MAT_RAW_033,33,5.png,행렬의 거듭제곱(2) 규칙 찾기,A^n 구하기,H1_CM1_MAT_C033,42,matrix_power|pattern_search|series_sum,normalized_from_image_tree
H1_CM1_MAT_RAW_034,34,5.png,행렬의 거듭제곱(2) 규칙 찾기,A+A^2+A^3+⋯+A^n 구하기,H1_CM1_MAT_C034,42,matrix_power|pattern_search|series_sum,normalized_from_image_tree
H1_CM1_MAT_RAW_035,35,5.png,행렬의 곱셈의 실생활에의 활용,행렬의 계산결과의 의미,H1_CM1_MAT_C035,45,matrix_application|entry_meaning|model_interpretation,normalized_from_image_tree
H1_CM1_MAT_RAW_036,36,5.png,행렬의 곱셈의 실생활에의 활용,행렬의 곱셈 성분,H1_CM1_MAT_C036,45,matrix_application|entry_meaning|model_interpretation,normalized_from_image_tree
H1_CM1_MAT_RAW_037,37,5.png,행렬의 곱셈의 실생활에의 활용,행렬의 곱셈을 이용하여 해결하기,H1_CM1_MAT_C037,45,matrix_application|entry_meaning|model_interpretation,normalized_from_image_tree
H1_CM1_MAT_RAW_038,38,5.png,행렬의 곱셈에 대한 성질(1),AB≠BA,H1_CM1_MAT_C038,63,non_commutativity|distributive_law|proof_structure,normalized_from_image_tree
H1_CM1_MAT_RAW_039,39,5.png,행렬의 곱셈에 대한 성질(1),분배법칙,H1_CM1_MAT_C039,63,non_commutativity|distributive_law|proof_structure,normalized_from_image_tree
H1_CM1_MAT_RAW_040,40,5.png,행렬의 곱셈에 대한 성질(1),증명하기,H1_CM1_MAT_C040,63,non_commutativity|distributive_law|proof_structure,normalized_from_image_tree
H1_CM1_MAT_RAW_041,41,5.png,행렬의 곱셈에 대한 성질(2) AB=BA가 성립하는 경우,AB=BA가 성립하는 경우,H1_CM1_MAT_C041,27,commuting_matrix|polynomial_identity|entrywise_condition,normalized_from_image_tree
H1_CM1_MAT_RAW_042,42,5.png,행렬의 곱셈에 대한 성질(2) AB=BA가 성립하는 경우,곱셈공식이 성립하는 경우,H1_CM1_MAT_C042,27,commuting_matrix|polynomial_identity|entrywise_condition,normalized_from_image_tree
H1_CM1_MAT_RAW_043,43,5.png,행렬의 곱셈에 대한 성질(2) AB=BA가 성립하는 경우,AB=BA인 경우,H1_CM1_MAT_C043,27,commuting_matrix|polynomial_identity|entrywise_condition,normalized_from_image_tree
H1_CM1_MAT_RAW_044,44,6.png,행렬의 변형,"A(a,b) 구하기",H1_CM1_MAT_C044,16,matrix_transform|parameter_substitution|power_transform,normalized_from_image_tree
H1_CM1_MAT_RAW_045,45,6.png,행렬의 변형,"A^n(a,b) 구하기",H1_CM1_MAT_C045,16,matrix_transform|parameter_substitution|power_transform,normalized_from_image_tree
H1_CM1_MAT_RAW_046,46,6.png,단위행렬 E를 포함한 식(1),단위행렬 E,H1_CM1_MAT_C046,90,identity_matrix|matrix_equation|power_of_identity,normalized_from_image_tree
H1_CM1_MAT_RAW_047,47,6.png,단위행렬 E를 포함한 식(1),AE=EA=A,H1_CM1_MAT_C047,90,identity_matrix|matrix_equation|power_of_identity,normalized_from_image_tree
H1_CM1_MAT_RAW_048,48,6.png,단위행렬 E를 포함한 식(1),"E^n=E (단, n은 자연수)",H1_CM1_MAT_C048,90,identity_matrix|matrix_equation|power_of_identity,normalized_from_image_tree
H1_CM1_MAT_RAW_049,49,6.png,단위행렬 E를 포함한 식(1),E가 포함된 곱셈 공식,H1_CM1_MAT_C049,90,identity_matrix|matrix_equation|power_of_identity,normalized_from_image_tree
H1_CM1_MAT_RAW_050,50,6.png,단위행렬 E를 포함한 식(1),"A(x,y) 구하기",H1_CM1_MAT_C050,90,identity_matrix|matrix_equation|power_of_identity,normalized_from_image_tree
H1_CM1_MAT_RAW_051,51,6.png,단위행렬 E를 포함한 식(1),증명하기,H1_CM1_MAT_C051,90,identity_matrix|matrix_equation|power_of_identity,normalized_from_image_tree
