item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,new_trend,mapping_confidence,cross_set_group
M3_STAT_150_S03_Q001,001,1,42,평균의 뜻과 성질(1),M3_STAT_PT002,평균의 뜻과 성질(1) - 계산·해석,90점,51,advanced,symbolic_or_text,False,False,0.95,M3_STAT_PT002::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q002,002,1,42,평균의 뜻과 성질(1),M3_STAT_PT002,평균의 뜻과 성질(1) - 계산·해석,95점,50,advanced,symbolic_or_text,False,False,0.95,M3_STAT_PT002::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q003,003,1,42,평균의 뜻과 성질(1),M3_STAT_PT002,평균의 뜻과 성질(1) - 계산·해석,89점,52,advanced,symbolic_or_text,False,False,0.95,M3_STAT_PT002::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q004,004,1,42,평균의 뜻과 성질(1),M3_STAT_PT002,평균의 뜻과 성질(1) - 계산·해석,14분,82,core,table_or_structured_data,True,False,0.95,M3_STAT_PT002::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q005,005,2,42,평균의 뜻과 성질(1),M3_STAT_PT002,평균의 뜻과 성질(1) - 계산·해석,5.4,75,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT002::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q006,006,2,42,평균의 뜻과 성질(1),M3_STAT_PT002,평균의 뜻과 성질(1) - 계산·해석,78분,80,core,table_or_structured_data,True,False,0.95,M3_STAT_PT002::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q007,007,2,42,평균의 뜻과 성질(1),M3_STAT_PT002,평균의 뜻과 성질(1) - 계산·해석,3.2회,80,core,table_or_structured_data,True,False,0.95,M3_STAT_PT002::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q008,008,2,43,평균의 뜻과 성질(1),M3_STAT_PT002,평균의 뜻과 성질(1) - 계산·해석,choice:3,89,core,symbolic_or_text,False,False,0.95,M3_STAT_PT002::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q009,009,3,43,평균의 뜻과 성질(1),M3_STAT_PT002,평균의 뜻과 성질(1) - 계산·해석,85.67점,70,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT002::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q010,010,3,43,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우,M3_STAT_PT005,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우 - 계산·해석,9,85,core,symbolic_or_text,False,False,0.95,M3_STAT_PT005::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q011,011,3,43,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우,M3_STAT_PT005,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우 - 계산·해석,21점,84,core,symbolic_or_text,False,False,0.95,M3_STAT_PT005::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q012,012,3,43,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우,M3_STAT_PT005,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우 - 계산·해석,choice:4,88,core,symbolic_or_text,False,False,0.95,M3_STAT_PT005::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q013,013,4,43,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우,M3_STAT_PT005,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우 - 계산·해석,choice:5,92,core,symbolic_or_text,False,False,0.95,M3_STAT_PT005::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q014,014,4,43,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우,M3_STAT_PT005,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우 - 계산·해석,41.3kg,75,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT005::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q015,015,4,43,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우,M3_STAT_PT005,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우 - 계산·해석,choice:5,78,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT005::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q016,016,4,44,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우,M3_STAT_PT005,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우 - 계산·해석,92점,86,core,table_or_structured_data,True,False,0.95,M3_STAT_PT005::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q017,017,5,44,중앙값의 뜻과 성질,M3_STAT_PT008,중앙값의 뜻과 성질 - 계산·해석,3편,73,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT008::M3_STAT_CROSS_SET
