raw_section_id,source_order,source_image,major_category,section_name,normalized_concept_id,estimated_detail_type_count_in_major,error_tags,status
H2_CALC1_LC_RAW_001,1,1.png,함수의 극한,함수의 수렴과 발산 - x→a일 때 다항함수의 극한(부정형이 아닌 때),H2_CALC1_LC_C001,5,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_002,1,1.png,함수의 극한,함수의 수렴과 발산 - x→a일 때 유리함수의 극한(부정형이 아닌 때),H2_CALC1_LC_C002,5,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_003,1,1.png,함수의 극한,함수의 수렴과 발산 - x→a일 때 무리함수의 극한(부정형이 아닌 때),H2_CALC1_LC_C003,5,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_004,1,1.png,함수의 극한,함수의 수렴과 발산 - x→a일 때 그래프가 주어진 함수의 극한,H2_CALC1_LC_C004,5,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_005,1,1.png,함수의 극한,"함수의 수렴과 발산 - x→∞, x→-∞일 때 다항함수의 극한(부정형이 아닐 때)",H2_CALC1_LC_C005,5,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_006,1,1.png,함수의 극한,"함수의 수렴과 발산 - x→∞, x→-∞일 때 유리함수의 극한(부정형이 아닐 때)",H2_CALC1_LC_C006,5,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_007,1,1.png,함수의 극한,"함수의 수렴과 발산 - x→∞, x→-∞일 때 무리함수의 극한(부정형이 아닐 때)",H2_CALC1_LC_C007,5,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_008,1,1.png,함수의 극한,"함수의 수렴과 발산 - x→∞, x→-∞일 때 그래프가 주어진 함수의 극한",H2_CALC1_LC_C008,5,"[""limit_basic"", ""convergence_divergence"", ""infinity_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_009,2,2.png,함수의 극한,함수의 극한값의 존재 - 다항함수의 극한값의 존재성,H2_CALC1_LC_C009,7,"[""limit_existence"", ""left_right_limit"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_010,2,2.png,함수의 극한,함수의 극한값의 존재 - 유리함수의 극한값의 존재성,H2_CALC1_LC_C010,7,"[""limit_existence"", ""left_right_limit"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_011,2,2.png,함수의 극한,함수의 극한값의 존재 - 여러 가지 함수의 극한값의 존재성,H2_CALC1_LC_C011,7,"[""limit_existence"", ""left_right_limit"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_012,2,2.png,함수의 극한,함수의 극한값의 존재 - 그래프가 주어졌을 때 극한값의 존재성,H2_CALC1_LC_C012,7,"[""limit_existence"", ""left_right_limit"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_013,2,2.png,함수의 극한,"함수의 극한값 구하기 - 다항함수의 좌극한, 우극한(부정형이 아닐 때)",H2_CALC1_LC_C013,3,"[""left_right_limit"", ""limit_value"", ""one_sided_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_014,2,2.png,함수의 극한,"함수의 극한값 구하기 - 유리함수의 좌극한, 우극한(부정형이 아닐 때)",H2_CALC1_LC_C014,3,"[""left_right_limit"", ""limit_value"", ""one_sided_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_015,2,2.png,함수의 극한,"함수의 극한값 구하기 - 무리함수의 좌극한, 우극한(부정형이 아닐 때)",H2_CALC1_LC_C015,3,"[""left_right_limit"", ""limit_value"", ""one_sided_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_016,2,2.png,함수의 극한,"함수의 극한값 구하기 - 여러 가지 함수의 좌극한, 우극한",H2_CALC1_LC_C016,3,"[""left_right_limit"", ""limit_value"", ""one_sided_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_017,2,2.png,함수의 극한,함수의 극한값 구하기 - 그래프가 모두 주어진 경우,H2_CALC1_LC_C017,3,"[""left_right_limit"", ""limit_value"", ""one_sided_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_018,2,2.png,함수의 극한,함수의 극한값 구하기 - 그래프의 일부만 주어지거나 그래프에 미지수가 포함된 경우,H2_CALC1_LC_C018,3,"[""left_right_limit"", ""limit_value"", ""one_sided_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_019,3,3.png,함수의 극한,절댓값 기호를 포함한 함수의 극한 - 다항함수에 절댓값 기호가 포함된 경우,H2_CALC1_LC_C019,8,"[""absolute_value"", ""one_sided_limit"", ""limit_value""]",normalized_from_image_tree
H2_CALC1_LC_RAW_020,3,3.png,함수의 극한,절댓값 기호를 포함한 함수의 극한 - 유리함수에 절댓값 기호가 포함된 경우,H2_CALC1_LC_C020,8,"[""absolute_value"", ""one_sided_limit"", ""limit_value""]",normalized_from_image_tree
H2_CALC1_LC_RAW_021,3,3.png,함수의 극한,가우스 기호를 포함한 함수의 극한 - 다항함수에 가우스 기호가 포함된 경우,H2_CALC1_LC_C021,4,"[""floor_function"", ""one_sided_limit"", ""limit_value""]",normalized_from_image_tree
H2_CALC1_LC_RAW_022,3,3.png,함수의 극한,가우스 기호를 포함한 함수의 극한 - 유리함수에 가우스 기호가 포함된 경우,H2_CALC1_LC_C022,4,"[""floor_function"", ""one_sided_limit"", ""limit_value""]",normalized_from_image_tree
H2_CALC1_LC_RAW_023,3,3.png,함수의 극한,가우스 기호를 포함한 함수의 극한 - y=f(x)의 그래프가 주어졌을 때 극한값 구하기,H2_CALC1_LC_C023,4,"[""floor_function"", ""one_sided_limit"", ""limit_value""]",normalized_from_image_tree
H2_CALC1_LC_RAW_024,3,3.png,함수의 극한,합성함수의 극한 - 함수의 식이 주어진 경우,H2_CALC1_LC_C024,9,"[""composite_function"", ""limit_substitution"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_025,3,3.png,함수의 극한,합성함수의 극한 - 함수의 그래프가 주어진 경우,H2_CALC1_LC_C025,9,"[""composite_function"", ""limit_substitution"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_026,4,4.png,함수의 극한,함수의 극한에 대한 성질 - f(x)에 대한 다항식의 극한이 주어진 경우,H2_CALC1_LC_C026,7,"[""limit_laws"", ""algebraic_limit"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_027,4,4.png,함수의 극한,함수의 극한에 대한 성질 - f(x)에 대한 분수식의 극한이 주어진 경우,H2_CALC1_LC_C027,7,"[""limit_laws"", ""algebraic_limit"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_028,4,4.png,함수의 극한,함수의 극한에 대한 성질 - f(x-a)/(x-a) 꼴의 극한값을 구하거나 이용하는 경우,H2_CALC1_LC_C028,7,"[""limit_laws"", ""algebraic_limit"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_029,4,4.png,함수의 극한,함수의 극한에 대한 성질 - 주어진 극한 중 발산이 포함된 경우,H2_CALC1_LC_C029,7,"[""limit_laws"", ""algebraic_limit"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_030,4,4.png,함수의 극한,함수의 극한에 대한 성질 - 함수의 그래프가 주어진 경우,H2_CALC1_LC_C030,7,"[""limit_laws"", ""algebraic_limit"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_031,4,4.png,함수의 극한,함수의 극한에 대한 성질 - 함수의 극한의 성질에 관한 합답형 문제,H2_CALC1_LC_C031,7,"[""limit_laws"", ""algebraic_limit"", ""graph_limit""]",normalized_from_image_tree
H2_CALC1_LC_RAW_032,4,4.png,함수의 극한,0/0꼴의 극한(1) 유리식 - 함수의 식이 주어졌을 때(1) 2차 이하인 분수식,H2_CALC1_LC_C032,9,"[""indeterminate_0_0"", ""rational_limit"", ""factorization""]",normalized_from_image_tree
