raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_image_range,preservation_status
M1_CG_RAW_001,[1],좌표평면과 그래프,순서쌍과 좌표평면,수직선 위의 점의 좌표,수직선 위의 점을 좌표로 나타내고 주어진 조건을 만족하는 점을 찾기,"[""점을 수직선 위에 나타내기"", ""수직선 위의 점을 기호로 나타내기"", ""간격 조건으로 좌표 구하기""]",001.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_CG_RAW_002,[1],좌표평면과 그래프,순서쌍과 좌표평면,순서쌍,서로 같은 순서쌍과 조건을 만족하는 순서쌍 판단,"[""서로 같은 두 순서쌍"", ""조건을 만족하는 순서쌍""]",001.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_CG_RAW_003,[1],좌표평면과 그래프,순서쌍과 좌표평면,좌표평면 위의 점의 좌표,좌표평면에 점을 나타내고 좌표를 읽거나 조건을 만족하는 점 찾기,"[""좌표평면 위에 점 나타내기"", ""점의 좌표 읽기"", ""x좌표·y좌표 기호 표현"", ""도형의 꼭짓점 좌표""]",001.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_CG_RAW_004,[2],좌표평면과 그래프,순서쌍과 좌표평면,x축 또는 y축 위의 점의 좌표,좌표축 위의 점을 판별하고 좌표 조건 구하기,"[""축 위의 점 판단"", ""좌표축 위 점의 좌표"", ""x축·y축과 점의 조건""]",002.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_CG_RAW_005,[2],좌표평면과 그래프,순서쌍과 좌표평면,좌표평면 위의 도형의 넓이,꼭짓점 좌표나 조건이 주어진 도형의 넓이 구하기,"[""꼭짓점 좌표가 주어진 도형 넓이"", ""조건이 주어진 도형 넓이"", ""좌표 또는 미지수로 도형 넓이 구하기""]",002.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_CG_RAW_006,[3],좌표평면과 그래프,사분면,사분면,점의 위치 사분면 판별과 빈칸·조건 채우기,"[""점이 위치한 사분면"", ""사분면 빈칸 채우기"", ""사분면이 주어진 경우 미지수 구하기"", ""표와 설명으로 사분면 구하기""]",003.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_CG_RAW_007,[3],좌표평면과 그래프,사분면,사분면의 결정,위치한 사분면 또는 두 수의 부호를 이용하여 사분면 결정하기,"[""문자 1개 조건"", ""문자 2개 이상 조건"", ""두 수의 부호·언선의 부호·절댓값 관계""]",003.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_CG_RAW_008,[4],좌표평면과 그래프,사분면,대칭인 점의 좌표,x축·y축·원점에 대한 대칭점의 좌표와 도형 해석,"[""x축 대칭"", ""y축 대칭"", ""원점 대칭"", ""x축·y축·원점 대칭"", ""대칭인 점으로 이루어진 도형""]",004.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_CG_RAW_009,[4],좌표평면과 그래프,그래프,그래프,"x,y 사이의 관계를 표와 그래프로 표현하고 상황에 맞는 그래프 찾기","[""x,y 사이의 관계 표·그래프 표현"", ""상황에 맞는 그래프 찾기""]",004.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_CG_RAW_010,"[4, 5]",좌표평면과 그래프,그래프,그래프의 해석,수치가 주어지지 않은 그래프와 수치가 주어진 그래프 해석,"[""두 변수 x,y 관계 해석"", ""알맞은 상황 찾기"", ""y값·x값 구하기"", ""특정 구간 변화량"", ""빈칸 채우기"", ""그래프 설명"", ""미지수 연산""]",004.png-005.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_CG_RAW_011,[5],좌표평면과 그래프,그래프,물통의 모양과 그래프,물통의 모양과 그래프 대응 및 비교,"[""물통의 모양과 그래프""]",005.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_CG_RAW_012,[5],좌표평면과 그래프,그래프,여러 개의 그래프 비교하기,두 그래프·세 그래프·여러 그래프의 의미 비교와 설명,"[""두 그래프"", ""세 그래프"", ""여러 개의 그래프에 대한 설명""]",005.png,source_images_preserved; curated_summary_not_full_leaf_ocr
