problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H1_CM1_POLY_PT001,고1,H1_COMMON_MATH1_POLYNOMIAL,다항식,다항식의 정리방법 - 기본 판별,"다항식의 연산 범주의 '다항식의 정리방법' 유형을 진단한다. 학생이 식의 형태를 분류하고, 필요한 공식·나눗셈 구조·조건식을 선택해 검산할 수 있는지 확인한다.",H1_CM1_POLY_C001,core,like_terms|sign_error,1,H1_CM1_POLY_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_POLY_PT002,고1,H1_COMMON_MATH1_POLYNOMIAL,다항식,다항식의 정리방법 - 조건 적용,"다항식의 연산 범주의 '다항식의 정리방법' 유형을 진단한다. 학생이 식의 형태를 분류하고, 필요한 공식·나눗셈 구조·조건식을 선택해 검산할 수 있는지 확인한다.",H1_CM1_POLY_C001,standard,like_terms|sign_error,1,H1_CM1_POLY_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_POLY_PT003,고1,H1_COMMON_MATH1_POLYNOMIAL,다항식,다항식의 정리방법 - 활용 추론,"다항식의 연산 범주의 '다항식의 정리방법' 유형을 진단한다. 학생이 식의 형태를 분류하고, 필요한 공식·나눗셈 구조·조건식을 선택해 검산할 수 있는지 확인한다.",H1_CM1_POLY_C001,advanced,like_terms|sign_error,1,H1_CM1_POLY_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_POLY_PT004,고1,H1_COMMON_MATH1_POLYNOMIAL,다항식,다항식의 덧셈과 뺄셈 - 기본 판별,"다항식의 연산 범주의 '다항식의 덧셈과 뺄셈' 유형을 진단한다. 학생이 식의 형태를 분류하고, 필요한 공식·나눗셈 구조·조건식을 선택해 검산할 수 있는지 확인한다.",H1_CM1_POLY_C002|H1_CM1_POLY_C048,core,like_terms|sign_error,1,H1_CM1_POLY_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_POLY_PT005,고1,H1_COMMON_MATH1_POLYNOMIAL,다항식,다항식의 덧셈과 뺄셈 - 조건 적용,"다항식의 연산 범주의 '다항식의 덧셈과 뺄셈' 유형을 진단한다. 학생이 식의 형태를 분류하고, 필요한 공식·나눗셈 구조·조건식을 선택해 검산할 수 있는지 확인한다.",H1_CM1_POLY_C002|H1_CM1_POLY_C048,standard,like_terms|sign_error,1,H1_CM1_POLY_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_POLY_PT006,고1,H1_COMMON_MATH1_POLYNOMIAL,다항식,다항식의 덧셈과 뺄셈 - 활용 추론,"다항식의 연산 범주의 '다항식의 덧셈과 뺄셈' 유형을 진단한다. 학생이 식의 형태를 분류하고, 필요한 공식·나눗셈 구조·조건식을 선택해 검산할 수 있는지 확인한다.",H1_CM1_POLY_C002|H1_CM1_POLY_C048,advanced,like_terms|sign_error,1,H1_CM1_POLY_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_POLY_PT007,고1,H1_COMMON_MATH1_POLYNOMIAL,다항식,다항식의 전개식에서 계수 구하기 - 기본 판별,"다항식의 연산 범주의 '다항식의 전개식에서 계수 구하기' 유형을 진단한다. 학생이 식의 형태를 분류하고, 필요한 공식·나눗셈 구조·조건식을 선택해 검산할 수 있는지 확인한다.",H1_CM1_POLY_C003|H1_CM1_POLY_C004|H1_CM1_POLY_C047,core,expansion|multiplication_formula|coefficient_condition|unknown_coefficient,2,H1_CM1_POLY_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_POLY_PT008,고1,H1_COMMON_MATH1_POLYNOMIAL,다항식,다항식의 전개식에서 계수 구하기 - 조건 적용,"다항식의 연산 범주의 '다항식의 전개식에서 계수 구하기' 유형을 진단한다. 학생이 식의 형태를 분류하고, 필요한 공식·나눗셈 구조·조건식을 선택해 검산할 수 있는지 확인한다.",H1_CM1_POLY_C003|H1_CM1_POLY_C004|H1_CM1_POLY_C047,standard,expansion|multiplication_formula|coefficient_condition|unknown_coefficient,2,H1_CM1_POLY_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_POLY_PT009,고1,H1_COMMON_MATH1_POLYNOMIAL,다항식,다항식의 전개식에서 계수 구하기 - 활용 추론,"다항식의 연산 범주의 '다항식의 전개식에서 계수 구하기' 유형을 진단한다. 학생이 식의 형태를 분류하고, 필요한 공식·나눗셈 구조·조건식을 선택해 검산할 수 있는지 확인한다.",H1_CM1_POLY_C003|H1_CM1_POLY_C004|H1_CM1_POLY_C047,advanced,expansion|multiplication_formula|coefficient_condition|unknown_coefficient,2,H1_CM1_POLY_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_POLY_PT010,고1,H1_COMMON_MATH1_POLYNOMIAL,다항식,곱셈 공식을 이용한 다항식의 전개 - 기본 판별,"다항식의 연산 범주의 '곱셈 공식을 이용한 다항식의 전개' 유형을 진단한다. 학생이 식의 형태를 분류하고, 필요한 공식·나눗셈 구조·조건식을 선택해 검산할 수 있는지 확인한다.",H1_CM1_POLY_C004|H1_CM1_POLY_C005|H1_CM1_POLY_C047|H1_CM1_POLY_C048,core,expansion|multiplication_formula,3,H1_CM1_POLY_RAW_004,curated_problem_type_from_raw_taxonomy
