raw_section_id,source_order,source_image,major_category,section_name,normalized_concept_id,estimated_detail_type_count_in_major,error_tags,status
H2_CALC1_DIFF_RAW_001,1,1.png,미분계수와 도함수,평균변화율 - 일차함수의 평균변화율 구하기,H2_CALC1_DIFF_C001,1,"[""average_rate"", ""secant_slope"", ""substitution""]",normalized_from_image_tree
H2_CALC1_DIFF_RAW_002,1,1.png,미분계수와 도함수,평균변화율 - 이차함수의 평균변화율 구하기,H2_CALC1_DIFF_C002,1,"[""average_rate"", ""secant_slope"", ""substitution""]",normalized_from_image_tree
H2_CALC1_DIFF_RAW_003,1,1.png,미분계수와 도함수,평균변화율 - 삼차 이상인 함수의 평균변화율 구하기,H2_CALC1_DIFF_C003,1,"[""average_rate"", ""secant_slope"", ""substitution""]",normalized_from_image_tree
H2_CALC1_DIFF_RAW_004,1,1.png,미분계수와 도함수,평균변화율 - 임의의 함수의 평균변화율 구하기,H2_CALC1_DIFF_C004,1,"[""average_rate"", ""secant_slope"", ""substitution""]",normalized_from_image_tree
H2_CALC1_DIFF_RAW_005,1,1.png,미분계수와 도함수,평균변화율의 기하적 의미 - 기울기를 이용하여 평균변화율 구하기,H2_CALC1_DIFF_C005,3,"[""average_rate"", ""secant_slope"", ""graph_interpretation""]",normalized_from_image_tree
H2_CALC1_DIFF_RAW_006,1,1.png,미분계수와 도함수,평균변화율의 기하적 의미 - 평균변화율의 대소 비교하기,H2_CALC1_DIFF_C006,2,"[""average_rate"", ""secant_slope"", ""graph_interpretation""]",normalized_from_image_tree
H2_CALC1_DIFF_RAW_007,2,2.png,미분계수와 도함수,순간변화율과 미분계수 - 미분계수의 평균변화율적 의미 해석하기,H2_CALC1_DIFF_C007,2,"[""derivative_definition"", ""instantaneous_rate"", ""limit_form""]",normalized_from_image_tree
H2_CALC1_DIFF_RAW_008,2,2.png,미분계수와 도함수,순간변화율과 미분계수 - 상수 이동과 함수 이동 관계에서의 미분계수,H2_CALC1_DIFF_C008,1,"[""derivative_definition"", ""instantaneous_rate"", ""limit_form""]",normalized_from_image_tree
H2_CALC1_DIFF_RAW_009,2,2.png,미분계수와 도함수,순간변화율과 미분계수 - 일변화율을 이용한 미분계수 구하기,H2_CALC1_DIFF_C009,1,"[""derivative_definition"", ""instantaneous_rate"", ""limit_form""]",normalized_from_image_tree
H2_CALC1_DIFF_RAW_010,2,2.png,미분계수와 도함수,순간변화율과 미분계수 - 미분계수 구하기: 두 점 사이의 극한,H2_CALC1_DIFF_C010,1,"[""derivative_definition"", ""instantaneous_rate"", ""limit_form""]",normalized_from_image_tree
H2_CALC1_DIFF_RAW_011,2,2.png,미분계수와 도함수,순간변화율과 미분계수 - 미분계수 구하기: 식의 변형을 요구하는 경우,H2_CALC1_DIFF_C011,1,"[""derivative_definition"", ""instantaneous_rate"", ""limit_form""]",normalized_from_image_tree
H2_CALC1_DIFF_RAW_012,2,2.png,미분계수와 도함수,순간변화율과 미분계수 - 미분계수 구하기: 삼차 이상 함수가 주어진 경우,H2_CALC1_DIFF_C012,1,"[""derivative_definition"", ""instantaneous_rate"", ""limit_form""]",normalized_from_image_tree
