problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H1_CM1_MAT_PT001,고1,공통수학1,H1_COMMON_MATH1_MATRIX,행렬,행렬의 꼴 - 기본 판별,"행렬의 뜻 범주의 '행렬의 꼴' 유형을 진단한다. 학생이 행렬의 크기, 성분 위치, 연산 가능 조건, 곱셈 순서와 조건 변환을 올바르게 적용하는지 확인한다.",H1_CM1_MAT_C001,core,matrix_shape|row_column|entry_position,1,H1_CM1_MAT_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_MAT_PT002,고1,공통수학1,H1_COMMON_MATH1_MATRIX,행렬,행렬의 꼴 - 조건 적용,"행렬의 뜻 범주의 '행렬의 꼴' 유형을 진단한다. 학생이 행렬의 크기, 성분 위치, 연산 가능 조건, 곱셈 순서와 조건 변환을 올바르게 적용하는지 확인한다.",H1_CM1_MAT_C001,standard,matrix_shape|row_column|entry_position,1,H1_CM1_MAT_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_MAT_PT003,고1,공통수학1,H1_COMMON_MATH1_MATRIX,행렬,행렬의 꼴 - 종합 활용,"행렬의 뜻 범주의 '행렬의 꼴' 유형을 진단한다. 학생이 행렬의 크기, 성분 위치, 연산 가능 조건, 곱셈 순서와 조건 변환을 올바르게 적용하는지 확인한다.",H1_CM1_MAT_C001,high,matrix_shape|row_column|entry_position,1,H1_CM1_MAT_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_MAT_PT004,고1,공통수학1,H1_COMMON_MATH1_MATRIX,행렬,행렬의 행과 열 - 기본 판별,"행렬의 뜻 범주의 '행렬의 행과 열' 유형을 진단한다. 학생이 행렬의 크기, 성분 위치, 연산 가능 조건, 곱셈 순서와 조건 변환을 올바르게 적용하는지 확인한다.",H1_CM1_MAT_C002,core,matrix_shape|row_column|entry_position,2,H1_CM1_MAT_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_MAT_PT005,고1,공통수학1,H1_COMMON_MATH1_MATRIX,행렬,행렬의 행과 열 - 조건 적용,"행렬의 뜻 범주의 '행렬의 행과 열' 유형을 진단한다. 학생이 행렬의 크기, 성분 위치, 연산 가능 조건, 곱셈 순서와 조건 변환을 올바르게 적용하는지 확인한다.",H1_CM1_MAT_C002,standard,matrix_shape|row_column|entry_position,2,H1_CM1_MAT_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_MAT_PT006,고1,공통수학1,H1_COMMON_MATH1_MATRIX,행렬,행렬의 행과 열 - 종합 활용,"행렬의 뜻 범주의 '행렬의 행과 열' 유형을 진단한다. 학생이 행렬의 크기, 성분 위치, 연산 가능 조건, 곱셈 순서와 조건 변환을 올바르게 적용하는지 확인한다.",H1_CM1_MAT_C002,high,matrix_shape|row_column|entry_position,2,H1_CM1_MAT_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_MAT_PT007,고1,공통수학1,H1_COMMON_MATH1_MATRIX,행렬,행렬의 성분 - 기본 판별,"행렬의 뜻 범주의 '행렬의 성분' 유형을 진단한다. 학생이 행렬의 크기, 성분 위치, 연산 가능 조건, 곱셈 순서와 조건 변환을 올바르게 적용하는지 확인한다.",H1_CM1_MAT_C003,core,matrix_shape|row_column|entry_position,3,H1_CM1_MAT_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_MAT_PT008,고1,공통수학1,H1_COMMON_MATH1_MATRIX,행렬,행렬의 성분 - 조건 적용,"행렬의 뜻 범주의 '행렬의 성분' 유형을 진단한다. 학생이 행렬의 크기, 성분 위치, 연산 가능 조건, 곱셈 순서와 조건 변환을 올바르게 적용하는지 확인한다.",H1_CM1_MAT_C003,standard,matrix_shape|row_column|entry_position,3,H1_CM1_MAT_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_MAT_PT009,고1,공통수학1,H1_COMMON_MATH1_MATRIX,행렬,행렬의 성분 - 종합 활용,"행렬의 뜻 범주의 '행렬의 성분' 유형을 진단한다. 학생이 행렬의 크기, 성분 위치, 연산 가능 조건, 곱셈 순서와 조건 변환을 올바르게 적용하는지 확인한다.",H1_CM1_MAT_C003,high,matrix_shape|row_column|entry_position,3,H1_CM1_MAT_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_MAT_PT010,고1,공통수학1,H1_COMMON_MATH1_MATRIX,행렬,"행렬의 (i,j)성분 - 기본 판별","행렬의 (i,j)성분 범주의 '행렬의 (i,j)성분' 유형을 진단한다. 학생이 행렬의 크기, 성분 위치, 연산 가능 조건, 곱셈 순서와 조건 변환을 올바르게 적용하는지 확인한다.",H1_CM1_MAT_C004,core,entry_position|subscript_index|formula_entry,4,H1_CM1_MAT_RAW_004,curated_problem_type_from_raw_taxonomy
