item_id,source_file,source_section_code,source_unit,source_question_no,source_page,engine_unit_name,engine_subunit_name,matched_problem_type_id,type_name,variant_id,difficulty,mapping_status,skill_tags,error_tags,review_note
idea_su1_i_1_001,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,001,1,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC,거듭제곱근의 뜻과 개수 판정,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC_NTH_ROOT_DEFINITION,core,matched,nth_root_definition|root_count|parity_condition,짝수근/홀수근 구분 부족|실수인 거듭제곱근 개수 오판,
idea_su1_i_1_002,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,002,1,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC,거듭제곱근의 뜻과 개수 판정,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC_NTH_ROOT_DEFINITION,core,matched,nth_root_definition|root_count|parity_condition,짝수근/홀수근 구분 부족|실수인 거듭제곱근 개수 오판,
idea_su1_i_1_003,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,003,2,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC,거듭제곱근의 뜻과 개수 판정,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC_NTH_ROOT_DEFINITION,core,matched,nth_root_definition|root_count|parity_condition,짝수근/홀수근 구분 부족|실수인 거듭제곱근 개수 오판,
idea_su1_i_1_004,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,004,2,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC,거듭제곱근의 뜻과 개수 판정,ALG_EXPLOG_FND_PT_NTH_ROOT_BASIC_NTH_ROOT_DEFINITION,core,matched,nth_root_definition|root_count|parity_condition,짝수근/홀수근 구분 부족|실수인 거듭제곱근 개수 오판,
idea_su1_i_1_005,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,005,3,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER,n제곱근 조건과 매개변수 판정,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER_NTH_ROOT_CONDITION,applied,matched,nth_root_condition|integer_parameter|case_split,n의 짝홀성 조건 누락|문자 조건 분기 실패,
idea_su1_i_1_006,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,006,3,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER,n제곱근 조건과 매개변수 판정,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER_NTH_ROOT_CONDITION,applied,matched,nth_root_condition|integer_parameter|case_split,n의 짝홀성 조건 누락|문자 조건 분기 실패,
idea_su1_i_1_007,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,007,4,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER,n제곱근 조건과 매개변수 판정,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER_NTH_ROOT_CONDITION,applied,matched,nth_root_condition|integer_parameter|case_split,n의 짝홀성 조건 누락|문자 조건 분기 실패,
idea_su1_i_1_008,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,008,4,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER,n제곱근 조건과 매개변수 판정,ALG_EXPLOG_FND_PT_ROOT_CONDITION_PARAMETER_NTH_ROOT_CONDITION,applied,matched,nth_root_condition|integer_parameter|case_split,n의 짝홀성 조건 누락|문자 조건 분기 실패,
idea_su1_i_1_009,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,009,5,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT,지수식·거듭제곱근 조건을 이용한 값 결정,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT_EXPONENT_EQUATION,advanced,review_required,exponent_equation|root_product_sum|condition_check,근의 조건 검산 누락|방정식 해와 실수근 조건 혼동,advanced/composite rows require teacher spot-check
idea_su1_i_1_010,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,010,5,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT,지수식·거듭제곱근 조건을 이용한 값 결정,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT_EXPONENT_EQUATION,advanced,review_required,exponent_equation|root_product_sum|condition_check,근의 조건 검산 누락|방정식 해와 실수근 조건 혼동,advanced/composite rows require teacher spot-check
