item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,mapping_confidence,cross_set_group
M3_QFUNC_150_S10_Q001,001,1,42,이차함수 y=ax²의 그래프,M3_QFUNC_PT023,|a|와 그래프의 폭 - 그래프 해석,choice:1,90,basic,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT023::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q002,002,1,42,이차함수 y=ax²의 그래프,M3_QFUNC_PT023,|a|와 그래프의 폭 - 그래프 해석,choice:1,70,basic,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT023::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q003,003,1,42,이차함수 y=ax²의 그래프,M3_QFUNC_PT023,|a|와 그래프의 폭 - 그래프 해석,ㄷ,78,basic,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT023::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q004,004,1,42,이차함수 y=ax²의 그래프,M3_QFUNC_PT023,|a|와 그래프의 폭 - 그래프 해석,"choices:3,5",79,basic,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT023::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q005,005,2,42,이차함수 y=ax²의 그래프,M3_QFUNC_PT023,|a|와 그래프의 폭 - 그래프 해석,choice:4,82,basic,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT023::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q006,006,2,42,이차함수 y=ax²의 그래프,M3_QFUNC_PT023,|a|와 그래프의 폭 - 그래프 해석,"choices:2,4",78,basic,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT023::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q007,007,2,42,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,choice:2,90,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q008,008,2,43,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,choice:5,87,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q009,009,3,43,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,choice:4,87,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q010,010,3,43,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,value:5,79,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q011,011,3,43,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,value:13,68,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q012,012,3,43,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,"choices:2,4",77,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q013,013,4,43,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,"choices:2,5",78,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q014,014,4,44,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,"choices:1,5",77,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q015,015,4,44,이차함수 y=ax²의 그래프의 성질,M3_QFUNC_PT016,y=ax²의 그래프 기본형 - 조건 종합,"choices:2,3,5",58,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT016::M3_QFUNC_CROSS_SET
