problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-009,9,평균의 뜻과 성질(1),M3_STAT_PT002,existing_patch150_canonical_contract_matched
010-016,7,평균의 뜻과 성질(2); 자료의 값의 개수가 증가하거나 감소하는 경우,M3_STAT_PT005,existing_patch150_canonical_contract_matched
017-021,5,중앙값의 뜻과 성질,M3_STAT_PT008,existing_patch150_canonical_contract_matched
022-022,1,최빈값의 뜻과 성질,M3_STAT_PT011,existing_patch150_canonical_contract_matched
023-029,7,여러 가지 자료에서의 대푯값,M3_STAT_PT014,existing_patch150_canonical_contract_matched
030-036,7,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우,M3_STAT_PT017,existing_patch150_canonical_contract_matched
037-043,7,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우,M3_STAT_PT020,existing_patch150_canonical_contract_matched
044-050,7,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우,M3_STAT_PT023,existing_patch150_canonical_contract_matched
051-051,1,적절한 대푯값 찾기,M3_STAT_PT026,existing_patch150_canonical_contract_matched
052-058,7,편차의 뜻과 성질,M3_STAT_PT029,existing_patch150_canonical_contract_matched
059-067,9,편차를 이용하여 변량 구하기,M3_STAT_PT032,existing_patch150_canonical_contract_matched
068-077,10,분산과 표준편차(1),M3_STAT_PT035,existing_patch150_canonical_contract_matched
078-084,7,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우,M3_STAT_PT038,existing_patch150_canonical_contract_matched
085-086,2,대푯값과 산포도의 이해,M3_STAT_PT041,existing_patch150_canonical_contract_matched
087-093,7,평균과 분산을 이용하여 식의 값 구하기,M3_STAT_PT044,existing_patch150_canonical_contract_matched
094-100,7,변화된 변량의 평균과 표준편차,M3_STAT_PT047,existing_patch150_canonical_contract_matched
101-108,8,두 집단 전체의 평균,M3_STAT_PT050,existing_patch150_canonical_contract_matched
109-115,7,두 집단 전체의 분산과 표준편차,M3_STAT_PT053,existing_patch150_canonical_contract_matched
116-124,9,표준편차의 직관적 비교,M3_STAT_PT056,existing_patch150_canonical_contract_matched
125-127,3,자료의 분석,M3_STAT_PT059,existing_patch150_canonical_contract_matched
128-136,9,산점도,M3_STAT_PT062,existing_patch150_canonical_contract_matched
137-143,7,산점도의 응용,M3_STAT_PT065,existing_patch150_canonical_contract_matched
144-150,7,산점도와 상관관계의 이해,M3_STAT_PT074,existing_patch150_canonical_contract_matched
