problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
M2_PROB_PT001,중2,M2_PROBABILITY,확률,한 가지 사건의 경우의 수 - 기본 판별,"경우의 수 범주의 '한 가지 사건의 경우의 수' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C001|M2_PROB_C002,core,counting|sample_space|case_count,1,M2_PROB_RAW_001,curated_problem_type_from_raw_taxonomy
M2_PROB_PT002,중2,M2_PROBABILITY,확률,한 가지 사건의 경우의 수 - 조건 적용,"경우의 수 범주의 '한 가지 사건의 경우의 수' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C001|M2_PROB_C002,standard,counting|sample_space|case_count,1,M2_PROB_RAW_001,curated_problem_type_from_raw_taxonomy
M2_PROB_PT003,중2,M2_PROBABILITY,확률,한 가지 사건의 경우의 수 - 활용 추론,"경우의 수 범주의 '한 가지 사건의 경우의 수' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C001|M2_PROB_C002,advanced,counting|sample_space|case_count,1,M2_PROB_RAW_001,curated_problem_type_from_raw_taxonomy
M2_PROB_PT004,중2,M2_PROBABILITY,확률,여러 가지 경우의 수(1) 순서쌍을 이용하여 푸는 경우 - 기본 판별,"경우의 수 범주의 '여러 가지 경우의 수(1) 순서쌍을 이용하여 푸는 경우' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C003|M2_PROB_C005,core,counting|sample_space|case_count,1,M2_PROB_RAW_002,curated_problem_type_from_raw_taxonomy
M2_PROB_PT005,중2,M2_PROBABILITY,확률,여러 가지 경우의 수(1) 순서쌍을 이용하여 푸는 경우 - 조건 적용,"경우의 수 범주의 '여러 가지 경우의 수(1) 순서쌍을 이용하여 푸는 경우' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C003|M2_PROB_C005,standard,counting|sample_space|case_count,1,M2_PROB_RAW_002,curated_problem_type_from_raw_taxonomy
M2_PROB_PT006,중2,M2_PROBABILITY,확률,여러 가지 경우의 수(1) 순서쌍을 이용하여 푸는 경우 - 활용 추론,"경우의 수 범주의 '여러 가지 경우의 수(1) 순서쌍을 이용하여 푸는 경우' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C003|M2_PROB_C005,advanced,counting|sample_space|case_count,1,M2_PROB_RAW_002,curated_problem_type_from_raw_taxonomy
M2_PROB_PT007,중2,M2_PROBABILITY,확률,여러 가지 경우의 수(2) 나뭇가지 모양 그림을 이용하여 푸는 경우 - 기본 판별,"경우의 수 범주의 '여러 가지 경우의 수(2) 나뭇가지 모양 그림을 이용하여 푸는 경우' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C003|M2_PROB_C005,core,counting|sample_space|case_count,2,M2_PROB_RAW_003,curated_problem_type_from_raw_taxonomy
M2_PROB_PT008,중2,M2_PROBABILITY,확률,여러 가지 경우의 수(2) 나뭇가지 모양 그림을 이용하여 푸는 경우 - 조건 적용,"경우의 수 범주의 '여러 가지 경우의 수(2) 나뭇가지 모양 그림을 이용하여 푸는 경우' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C003|M2_PROB_C005,standard,counting|sample_space|case_count,2,M2_PROB_RAW_003,curated_problem_type_from_raw_taxonomy
M2_PROB_PT009,중2,M2_PROBABILITY,확률,여러 가지 경우의 수(2) 나뭇가지 모양 그림을 이용하여 푸는 경우 - 활용 추론,"경우의 수 범주의 '여러 가지 경우의 수(2) 나뭇가지 모양 그림을 이용하여 푸는 경우' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C003|M2_PROB_C005,advanced,counting|sample_space|case_count,2,M2_PROB_RAW_003,curated_problem_type_from_raw_taxonomy
M2_PROB_PT010,중2,M2_PROBABILITY,확률,돈을 지불하는 경우의 수 - 기본 판별,"경우의 수 범주의 '돈을 지불하는 경우의 수' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C006|M2_PROB_C021,core,counting|sample_space|case_count,2,M2_PROB_RAW_004,curated_problem_type_from_raw_taxonomy
M2_PROB_PT011,중2,M2_PROBABILITY,확률,돈을 지불하는 경우의 수 - 조건 적용,"경우의 수 범주의 '돈을 지불하는 경우의 수' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C006|M2_PROB_C021,standard,counting|sample_space|case_count,2,M2_PROB_RAW_004,curated_problem_type_from_raw_taxonomy
M2_PROB_PT012,중2,M2_PROBABILITY,확률,돈을 지불하는 경우의 수 - 활용 추론,"경우의 수 범주의 '돈을 지불하는 경우의 수' 유형을 진단한다. 학생이 전체 경우, 사건 조건, 중복·누락 점검, 확률식 연결을 할 수 있는지 확인한다.",M2_PROB_C006|M2_PROB_C021,advanced,counting|sample_space|case_count,2,M2_PROB_RAW_004,curated_problem_type_from_raw_taxonomy
