raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,concept_ids,source_image_range,preservation_status
H2_EXP_LOG_RAW_001,1,지수함수와 로그함수,지수와 로그,거듭제곱과 거듭제곱근,거듭제곱근,n제곱근 구하기|n제곱근의 개수 구하기|n제곱근의 성질|n제곱근 중 실수인 것 구하기|x의 n제곱근 중 실수의 개수로 정의된 함수의 연산|두 집합의 원소를 이용하여 만들어진 새로운 집합의 원소의 개수,H2_EL_C001|H2_EL_C002|H2_EL_C003,01.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_002,3|4,지수함수와 로그함수,지수와 로그,거듭제곱과 거듭제곱근,거듭제곱근의 계산,n√a의 값 구하기|n제곱근에 대한 설명으로 옳은 것 찾기|수의 n제곱근의 값 구하기|수의 제곱근의 n제곱근의 값 구하기|수의 거듭제곱근의 거듭제곱|거듭제곱근의 곱셈과 나눗셈|거듭제곱근의 덧셈과 뺄셈|거듭제곱근의 혼합계산|분수꼴로 표현된 거듭제곱근의 곱셈|거듭제곱근 계산의 도형 활용|거듭제곱근 계산과정의 오류 찾기|무리수의 거듭제곱근과 곱셈을 통한 수식 간단화,H2_EL_C003|H2_EL_C004,"03.png,04.png",source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_003,5,지수함수와 로그함수,지수와 로그,거듭제곱과 거듭제곱근,문자를 포함한 거듭제곱근의 계산,"제곱근의 성질|제곱근의 성질 증명|한 문자 a에 대하여 정의된 거듭제곱근의 계산|두 문자 a,b에 대하여 정의된 거듭제곱근의 계산",H2_EL_C005,05.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_004,5,지수함수와 로그함수,지수와 로그,거듭제곱과 거듭제곱근,거듭제곱근의 대소 비교,거듭제곱근으로 표현된 수의 대소 관계|거듭제곱근의 반수로 표현된 수의 대소 관계|분수꼴의 거듭제곱근으로 표현된 수의 대소 관계|거듭제곱근의 연산으로 표현된 수의 대소 관계,H2_EL_C006,05.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_005,6|7,지수함수와 로그함수,지수와 로그,지수의 확장과 지수법칙,지수가 정수인 식의 계산,지수가 0인 경우|지수가 음의 정수인 경우|지수가 0 또는 음의 정수인 경우|지수가 0 또는 음의 정수인 경우의 연산|한 문자에 대한 지수가 정수인 경우|두 문자에 대한 지수가 정수인 경우|지수가 정수인 식의 계산|지수가 정수인 다항식의 계산|분모에 지수가 정수인 수를 규칙적으로 갖는 경우|지수가 정수인 두 수의 곱셈|지수가 정수인 수의 대소 관계,H2_EL_C007,"06.png,07.png",source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_006,8|10|11,지수함수와 로그함수,지수와 로그,지수의 확장과 지수법칙,지수가 실수인 식의 계산,지수가 유리수인 수의 대소 비교|지수가 실수인 거듭제곱|지수가 유리수인 수의 계산|두 문자에 대한 지수가 유리수인 수의 계산|수가 주어진 지수가 유리수인 다항식의 계산|주어진 식을 만족시키는 두 미지수의 값 구하기|지수가 실수인 다항식의 계산|지수가 실수인 세 수의 대소 비교|새롭게 정의된 연산|등식이 성립하는 밑의 값 구하기,H2_EL_C008|H2_EL_C013,"08.png,10.png,11.png",source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_007,12|13,지수함수와 로그함수,지수와 로그,지수의 확장과 지수법칙,거듭제곱근을 지수로 나타내기(1),근호로 나타내어진 수를 유리수 지수로 나타내기|유리수 지수로 나타낸 수의 계산|근호를 사용하여 나타내어진 수의 계산|근호를 사용하여 나타내어진 수의 대소 비교|근호를 반복하여 사용하여 나타내어진 수|지수법칙의 도형 활용|거듭제곱근을 이용한 지수 계산과 조건 파악,H2_EL_C008|H2_EL_C009,"12.png,13.png",source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_008,14,지수함수와 로그함수,지수와 로그,지수의 확장과 지수법칙,거듭제곱근을 지수로 나타내기(2),밑이 문자인 경우 근호로 나타내어진 수를 유리수 지수로 나타내기|한 문자에 대한 지수가 유리수인 수의 계산|한 문자에 대한 근호를 사용하여 나타내어진 수의 계산|두 문자에 대한 근호를 사용하여 나타내어진 수의 계산|미지수의 값 구하기|좌표를 이용한 활용,H2_EL_C008|H2_EL_C009,14.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_009,15,지수함수와 로그함수,지수와 로그,지수의 확장과 지수법칙,거듭제곱을 주어진 문자로 나타내기,한 문자에 대한 경우|두 문자에 대한 경우|주어진 문자에 대한 식을 다른 문자에 대한 식으로 나타내기|주어진 값이 문자에 대한 관계식으로 주어지는 경우,H2_EL_C010,15.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_010,15,지수함수와 로그함수,지수와 로그,지수의 확장과 지수법칙,a^r이 자연수가 될 조건,"밑이 분수꼴이고 지수가 유리수인 수가 자연수가 되도록 하는 정수|근호를 사용하여 나타내어진 수가 정수가 되도록 하는 자연수|실수로 이루어진 집합의 원소 중 자연수인 원소|두 자연수 a,b에 대하여 두 문자를 포함하고 근호를 사용하여 나타내어진 수가 자연수가 되도록 하는 경우|주어진 수가 유리수 또는 자연수가 되도록 하는 미지수|주어진 수가 조건을 만족하도록 하는 자연수 a,b",H2_EL_C011,15.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
