task_id,subject,subject_raw,level,source,covered,evidence_class,evidence_class_legacy,evidence_scope,subject_concepts,matched_terms,concept_name,concept_display_name,title_overlap,comma_display,fallback_derived,fallback_sources
assessment_task_be547751b6,공통수학1,공통수학1,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""행렬"",""경우의 수""]","[""경우의 수"",""부등식"",""행렬""]","경우의 수, 순열, 조합",경우의 수,false,false,false,[]
assessment_task_0022c813a0,공통수학1,공통수학1,I_or_other,subject_fallback,false,fallback,fallback,none,"[""공통수학1""]",[],,,false,false,false,[]
assessment_task_5b54eafc9a,공통수학1,공통수학1,I_or_other,subject_fallback,false,fallback,fallback,none,"[""공통수학1""]",[],,,false,false,false,[]
assessment_task_282b25eb92,통합사회1,통합사회1,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""윤리적 관점""]","[""윤리적 관점""]",,윤리적 관점,false,false,false,[]
assessment_task_1a49e16ecb,통합사회1,통합사회1,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""윤리적 관점"",""통합적 관점과 행복""]","[""윤리적 관점"",""통합적 관점"",""해결 방안""]",통합적 관점과 행복,통합적 관점과 행복,false,false,false,[]
assessment_task_8e864defde,통합과학1,통합과학1,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""원소"",""물질 구성과 분류""]","[""결합"",""오류"",""우주"",""원소""]",물질 구성과 분류,물질 구성과 분류,false,false,false,[]
assessment_task_159540d822,통합과학1,통합과학1,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""지구 시스템""]","[""지구시스템"",""오류"",""지구"",""지구 시스템""]",지구시스템,지구시스템,false,false,false,[]
assessment_task_816d13f6c9,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,true,record_only,record_only,record,"[""해석"",""자료 수집·분석·결론 도출""]","[""해석""]",자료 수집·분석·결론 도출,자료 수집·분석·결론 도출,false,false,false,[]
assessment_task_354c946978,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,true,record_only,record_only,record,"[""해석"",""자료 수집·분석·결론 도출""]","[""해석""]",자료 수집·분석·결론 도출,자료 수집·분석·결론 도출,false,false,false,[]
assessment_task_b55fa63813,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,true,record_only,record_only,record,"[""해석"",""자료 수집·분석·결론 도출""]","[""해석""]",자료 수집·분석·결론 도출,자료 수집·분석·결론 도출,false,false,false,[]
assessment_task_d299112da1,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""화학 반응""]","[""화학 반응""]",,화학 반응,false,false,false,[]
assessment_task_254b338b97,정보,정보,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""빅 데이터"",""시각화""]","[""빅 데이터"",""시각화""]",,빅 데이터,false,false,false,[]
assessment_task_ca804522f6,정보,정보,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""문제 해결"",""정렬"",""알고리즘"",""자료와 정보의 분석""]","[""문제 해결"",""알고리즘"",""효율성"",""정렬"",""탐색""]",자료와 정보의 분석,자료와 정보의 분석,false,false,false,[]
assessment_task_216f9c3919,정보,정보,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""반복문"",""조건문"",""프로그래밍과 자동화""]","[""디지털"",""반복문"",""조건문"",""반복""]",프로그래밍과 자동화,프로그래밍과 자동화,false,false,false,[]
assessment_task_910c025ec8,대수,대수,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""함수""]","[""로그함수"",""지수함수"",""로그"",""지수"",""함수""]",로그함수의 뜻과 그래프,로그함수의 뜻과 그래프,false,false,false,[]
assessment_task_94c38fe6a4,대수,대수,I_or_other,subject_fallback,false,fallback,fallback,none,"[""대수""]",[],,,false,false,false,[]
assessment_task_6d2d9823bd,확률과 통계,확률과 통계,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""경우의 수"",""순열과 조합""]","[""경우의 수"",""확률""]",순열과 조합,순열과 조합,false,false,false,[]
assessment_task_f314540bdd,확률과 통계,확률과 통계,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""사건"",""확률변수"",""확률의 뜻과 기본 성질""]","[""확률변수"",""독립"",""사건"",""확률"",""사건의 독립성""]",확률의 뜻과 기본 성질,확률의 뜻과 기본 성질,false,false,false,[]
assessment_task_3fec8025cd,물리,물리학,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""뉴턴 운동 법칙"",""등가속도 운동"",""힘과 운동""]","[""뉴턴 운동 법칙"",""등가속도 운동"",""가속도"",""속도""]",힘과 운동,힘과 운동,false,false,false,[]
assessment_task_cd554c7c6b,물리,물리학,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""뉴턴 운동 법칙"",""등가속도 운동"",""에너지 보존"",""힘과 운동""]","[""역학적 에너지 보존"",""뉴턴 운동 법칙"",""등가속도 운동"",""역학적 에너지"",""가속도"",""속도"",""에너지 보존""]",힘과 운동,힘과 운동,false,false,false,[]
assessment_task_6d8b43615e,화학,화학,I_or_other,legacy_dictionary,true,clean,clean,both,"[""화학 평형""]","[""화학 평형""]",,,false,false,false,[]
assessment_task_702fc33378,화학,화학,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""계수비"",""몰"",""물질의 양과 화학 반응식""]","[""화학 반응식"",""계수비"",""반응식"",""금속"",""몰""]",물질의 양과 화학 반응식,물질의 양과 화학 반응식,false,false,false,[]
assessment_task_41fc2e060e,생명과학,생명과학,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""유전적 다양성"",""감수 분열"",""생식과 생명의 연속성""]","[""유전적 다양성"",""감수 분열"",""생식 세포"",""DNA"",""다양성"",""염색체"",""유전자"",""복제""]",생식과 생명의 연속성,생식과 생명의 연속성,false,false,false,[]
assessment_task_1d52b093eb,생명과학,생명과학,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""막전위"",""뉴런"",""신경 자극 전도와 전달""]","[""막전위"",""뉴런"",""세포"",""전달""]",신경 자극 전도와 전달,신경 자극 전도와 전달,false,false,false,[]
assessment_task_462ab23b70,지구과학,지구과학,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""표면 온도"",""H-R도"",""별의 특성과 진화""]","[""표면 온도"",""H-R도"",""광도""]",별의 특성과 진화,별의 특성과 진화,false,false,false,[]
assessment_task_1ec80a2bcd,지구과학,지구과학,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""지층과 지질시대""]","[""생성 순서"",""지층""]",지층과 지질시대,지층과 지질시대,false,false,false,[]
assessment_task_6b5c95ef33,융합과학 탐구,융합과학 탐구,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""데이터"",""신뢰성""]","[""데이터"",""신뢰성"",""생활"",""시간""]",,데이터,false,false,true,"[""통합과학2"",""통합과학1""]"
assessment_task_78ca92f0e8,융합과학 탐구,융합과학 탐구,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""데이터"",""연속성""]","[""데이터"",""연속성"",""시간""]",,데이터,false,false,true,"[""통합과학2"",""생명과학"",""통합과학1""]"
assessment_task_29baa1f458,융합과학 탐구,융합과학 탐구,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""필요성"",""윤리""]","[""필요성"",""윤리""]",,필요성,false,false,true,"[""통합과학2""]"
assessment_task_7f82e97a99,융합과학 탐구,융합과학 탐구,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""데이터"",""시간""]","[""데이터"",""시간"",""전달"",""표준""]",,데이터,false,false,true,"[""통합과학2"",""통합과학1"",""생명과학""]"
