problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H1_CM1_COUNT_PT001,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,방법의 수(물건의 수)가 직접 주어졌을 때 합의 법칙 - 기본 판별,"합의 법칙 범주의 '방법의 수(물건의 수)가 직접 주어졌을 때 합의 법칙' 유형을 진단한다. 학생이 순서의 유무, 중복 가능성, 포함·제외 조건을 구분하고 알맞은 경우의 수 공식을 선택하는지 확인한다.",H1_CM1_COUNT_C001,core,addition_rule|case_classification|multiplication_rule|stage_counting,1,H1_CM1_COUNT_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_COUNT_PT002,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,방법의 수(물건의 수)가 직접 주어졌을 때 합의 법칙 - 조건 적용,"합의 법칙 범주의 '방법의 수(물건의 수)가 직접 주어졌을 때 합의 법칙' 유형을 진단한다. 학생이 순서의 유무, 중복 가능성, 포함·제외 조건을 구분하고 알맞은 경우의 수 공식을 선택하는지 확인한다.",H1_CM1_COUNT_C001,standard,addition_rule|case_classification|multiplication_rule|stage_counting,1,H1_CM1_COUNT_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_COUNT_PT003,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,방법의 수(물건의 수)가 직접 주어졌을 때 합의 법칙 - 복합 활용,"합의 법칙 범주의 '방법의 수(물건의 수)가 직접 주어졌을 때 합의 법칙' 유형을 진단한다. 학생이 순서의 유무, 중복 가능성, 포함·제외 조건을 구분하고 알맞은 경우의 수 공식을 선택하는지 확인한다.",H1_CM1_COUNT_C001,challenge,addition_rule|case_classification|multiplication_rule|stage_counting,1,H1_CM1_COUNT_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_COUNT_PT004,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,주사위를 던질 때 합의 법칙 - 기본 판별,"합의 법칙 범주의 '주사위를 던질 때 합의 법칙' 유형을 진단한다. 학생이 순서의 유무, 중복 가능성, 포함·제외 조건을 구분하고 알맞은 경우의 수 공식을 선택하는지 확인한다.",H1_CM1_COUNT_C002,core,addition_rule|case_classification|multiplication_rule|stage_counting,2,H1_CM1_COUNT_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_COUNT_PT005,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,주사위를 던질 때 합의 법칙 - 조건 적용,"합의 법칙 범주의 '주사위를 던질 때 합의 법칙' 유형을 진단한다. 학생이 순서의 유무, 중복 가능성, 포함·제외 조건을 구분하고 알맞은 경우의 수 공식을 선택하는지 확인한다.",H1_CM1_COUNT_C002,standard,addition_rule|case_classification|multiplication_rule|stage_counting,2,H1_CM1_COUNT_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_COUNT_PT006,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,주사위를 던질 때 합의 법칙 - 복합 활용,"합의 법칙 범주의 '주사위를 던질 때 합의 법칙' 유형을 진단한다. 학생이 순서의 유무, 중복 가능성, 포함·제외 조건을 구분하고 알맞은 경우의 수 공식을 선택하는지 확인한다.",H1_CM1_COUNT_C002,challenge,addition_rule|case_classification|multiplication_rule|stage_counting,2,H1_CM1_COUNT_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_COUNT_PT007,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,숫자가 적힌 카드나 공을 꺼낼 때 합의 법칙 - 기본 판별,"합의 법칙 범주의 '숫자가 적힌 카드나 공을 꺼낼 때 합의 법칙' 유형을 진단한다. 학생이 순서의 유무, 중복 가능성, 포함·제외 조건을 구분하고 알맞은 경우의 수 공식을 선택하는지 확인한다.",H1_CM1_COUNT_C003,core,addition_rule|case_classification|multiplication_rule|stage_counting,3,H1_CM1_COUNT_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_COUNT_PT008,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,숫자가 적힌 카드나 공을 꺼낼 때 합의 법칙 - 조건 적용,"합의 법칙 범주의 '숫자가 적힌 카드나 공을 꺼낼 때 합의 법칙' 유형을 진단한다. 학생이 순서의 유무, 중복 가능성, 포함·제외 조건을 구분하고 알맞은 경우의 수 공식을 선택하는지 확인한다.",H1_CM1_COUNT_C003,standard,addition_rule|case_classification|multiplication_rule|stage_counting,3,H1_CM1_COUNT_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_COUNT_PT009,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,숫자가 적힌 카드나 공을 꺼낼 때 합의 법칙 - 복합 활용,"합의 법칙 범주의 '숫자가 적힌 카드나 공을 꺼낼 때 합의 법칙' 유형을 진단한다. 학생이 순서의 유무, 중복 가능성, 포함·제외 조건을 구분하고 알맞은 경우의 수 공식을 선택하는지 확인한다.",H1_CM1_COUNT_C003,challenge,addition_rule|case_classification|multiplication_rule|stage_counting,3,H1_CM1_COUNT_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_COUNT_PT010,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,조건을 만족하는 자연수의 개수 - 기본 판별,"합의 법칙 범주의 '조건을 만족하는 자연수의 개수' 유형을 진단한다. 학생이 순서의 유무, 중복 가능성, 포함·제외 조건을 구분하고 알맞은 경우의 수 공식을 선택하는지 확인한다.",H1_CM1_COUNT_C004,core,addition_rule|case_classification|multiplication_rule|stage_counting|digit_number_count,4,H1_CM1_COUNT_RAW_004,curated_problem_type_from_raw_taxonomy
