item_id,source_id,source_title,source_subject,source_file,source_section_code,source_unit,source_question_no,source_page,engine_subject,engine_unit_id,engine_unit_name,engine_subunit_id,engine_subunit_name,matched_problem_type_id,concept_ids,type_name,variant_id,variant_tags,skill_tags,error_tags,prerequisite_concepts,difficulty,mapping_status,duplicate_of,near_duplicate_group,diagnosis_weight,copyright_note,review_note
idea_su1_i_3_001,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,001,13,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,ALG_EXPLOG_FUNCTION_GRAPH,지수함수·로그함수 그래프 기본 성질,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC_GRAPH_INTERSECTION,graph_intersection|monotonicity|base_condition,graph_intersection|monotonicity|base_condition,밑의 범위에 따른 증가/감소 혼동|그래프 교점 조건 해석 오류,함수 그래프|로그의 뜻,core,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC::graph_intersection,0.85,problem_text_not_stored; metadata_only,
idea_su1_i_3_002,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,002,13,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,ALG_EXPLOG_FUNCTION_GRAPH,지수함수·로그함수 그래프 기본 성질,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC_GRAPH_INTERSECTION,graph_intersection|monotonicity|base_condition,graph_intersection|monotonicity|base_condition,밑의 범위에 따른 증가/감소 혼동|그래프 교점 조건 해석 오류,함수 그래프|로그의 뜻,core,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC::graph_intersection,0.85,problem_text_not_stored; metadata_only,
idea_su1_i_3_003,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,003,14,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,ALG_EXPLOG_FUNCTION_GRAPH,지수함수·로그함수 그래프 기본 성질,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC_GRAPH_INTERSECTION,graph_intersection|monotonicity|base_condition,graph_intersection|monotonicity|base_condition,밑의 범위에 따른 증가/감소 혼동|그래프 교점 조건 해석 오류,함수 그래프|로그의 뜻,core,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC::graph_intersection,0.85,problem_text_not_stored; metadata_only,
idea_su1_i_3_004,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,004,14,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,ALG_EXPLOG_FUNCTION_GRAPH,지수함수·로그함수 그래프 기본 성질,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC_GRAPH_INTERSECTION,graph_intersection|monotonicity|base_condition,graph_intersection|monotonicity|base_condition,밑의 범위에 따른 증가/감소 혼동|그래프 교점 조건 해석 오류,함수 그래프|로그의 뜻,core,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC::graph_intersection,0.85,problem_text_not_stored; metadata_only,
idea_su1_i_3_005,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,005,15,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,ALG_EXPLOG_FUNCTION_GRAPH,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,graph_transformation|intersection_condition|parameter_relation,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,좌표평면|함수의 그래프,applied,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION::graph_transformation,0.95,problem_text_not_stored; metadata_only,
idea_su1_i_3_006,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,006,15,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,ALG_EXPLOG_FUNCTION_GRAPH,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,graph_transformation|intersection_condition|parameter_relation,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,좌표평면|함수의 그래프,applied,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION::graph_transformation,0.95,problem_text_not_stored; metadata_only,
idea_su1_i_3_007,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,007,16,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,ALG_EXPLOG_FUNCTION_GRAPH,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,graph_transformation|intersection_condition|parameter_relation,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,좌표평면|함수의 그래프,applied,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION::graph_transformation,0.95,problem_text_not_stored; metadata_only,
idea_su1_i_3_008,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,008,16,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,ALG_EXPLOG_FUNCTION_GRAPH,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,graph_transformation|intersection_condition|parameter_relation,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,좌표평면|함수의 그래프,applied,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION::graph_transformation,0.95,problem_text_not_stored; metadata_only,
idea_su1_i_3_009,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,009,17,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,ALG_EXPLOG_FUNCTION_GRAPH,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,graph_transformation|intersection_condition|parameter_relation,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,좌표평면|함수의 그래프,applied,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION::graph_transformation,0.95,problem_text_not_stored; metadata_only,
idea_su1_i_3_010,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,010,17,대수,ALG_EXPLOG_FUNCTION,지수함수와 로그함수,ALG_EXPLOG_FUNCTION_GRAPH,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,ALG_EXPLOG_FUNCTION_GRAPH,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,graph_transformation|intersection_condition|parameter_relation,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,좌표평면|함수의 그래프,applied,matched,,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION::graph_transformation,0.95,problem_text_not_stored; metadata_only,
