problem_type_id,type_name,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,description
M2_LF_PT001,함수의 뜻 판별,M2_FUNC_C001,basic,function_definition;mapping_relation;domain_range,16,M2_LF_RAW_001,함수의 뜻 범주의 '함수와 대응 관계' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT002,함수와 대응 관계 - 정의역·공역·치역 구분,M2_FUNC_C001,standard,function_definition;mapping_relation;domain_range,16,M2_LF_RAW_001,함수의 뜻 범주의 '함수와 대응 관계' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT003,함수와 대응 관계 - 함수인 대응 관계 찾기,M2_FUNC_C001,standard,function_definition;mapping_relation;domain_range,16,M2_LF_RAW_001,함수의 뜻 범주의 '함수와 대응 관계' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT004,함수와 대응 관계 - 함수와 대응 관계,M2_FUNC_C001,advanced,function_definition;mapping_relation;domain_range,16,M2_LF_RAW_001,함수의 뜻 범주의 '함수와 대응 관계' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT005,대응표에서 함수 여부 판단,M2_FUNC_C001;M2_FUNC_C002,standard,mapping_table;function_judgment;duplicate_output_confusion,16,M2_LF_RAW_002,함수의 뜻 범주의 '대응표와 함수 판별' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT006,대응표와 함수 판별 - 한 x값에 두 y값이 대응되는 오류 판별,M2_FUNC_C001;M2_FUNC_C002,standard,mapping_table;function_judgment;duplicate_output_confusion,16,M2_LF_RAW_002,함수의 뜻 범주의 '대응표와 함수 판별' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT007,대응표와 함수 판별 - 대응 관계의 설명 참거짓,M2_FUNC_C001;M2_FUNC_C002,advanced,mapping_table;function_judgment;duplicate_output_confusion,16,M2_LF_RAW_002,함수의 뜻 범주의 '대응표와 함수 판별' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT008,대응표와 함수 판별 - 대응표와 함수 판별,M2_FUNC_C001;M2_FUNC_C002,basic,mapping_table;function_judgment;duplicate_output_confusion,16,M2_LF_RAW_002,함수의 뜻 범주의 '대응표와 함수 판별' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT009,"문장 조건을 x,y 관계식으로 나타내기",M2_FUNC_C002;M2_FUNC_C003,standard,relation_expression;word_to_formula;variable_setting,17,M2_LF_RAW_003,관계식 범주의 '상황에서 관계식 세우기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT010,상황에서 관계식 세우기 - 비례/증가 조건을 식으로 번역,M2_FUNC_C002;M2_FUNC_C003,advanced,relation_expression;word_to_formula;variable_setting,17,M2_LF_RAW_003,관계식 범주의 '상황에서 관계식 세우기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT011,상황에서 관계식 세우기 - 조건에 맞는 관계식 선택,M2_FUNC_C002;M2_FUNC_C003,basic,relation_expression;word_to_formula;variable_setting,17,M2_LF_RAW_003,관계식 범주의 '상황에서 관계식 세우기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT012,상황에서 관계식 세우기 - 상황에서 관계식 세우기,M2_FUNC_C002;M2_FUNC_C003,basic,relation_expression;word_to_formula;variable_setting,17,M2_LF_RAW_003,관계식 범주의 '상황에서 관계식 세우기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT013,f(a) 계산,M2_FUNC_C003,advanced,function_value;substitution;sign_error,17,M2_LF_RAW_004,함숫값 범주의 '함숫값 계산' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT014,함숫값 계산 - 대입 순서 확인,M2_FUNC_C003,basic,function_value;substitution;sign_error,17,M2_LF_RAW_004,함숫값 범주의 '함숫값 계산' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT015,함숫값 계산 - 음수 대입과 괄호 처리,M2_FUNC_C003,basic,function_value;substitution;sign_error,17,M2_LF_RAW_004,함숫값 범주의 '함숫값 계산' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT016,함숫값 계산 - 함숫값 계산,M2_FUNC_C003,standard,function_value;substitution;sign_error,17,M2_LF_RAW_004,함숫값 범주의 '함숫값 계산' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT017,f(a)=b 조건에서 미지수 구하기,M2_FUNC_C004,basic,unknown_from_function_value;equation_setup;substitution,18,M2_LF_RAW_005,함숫값 범주의 '함숫값을 이용한 미지수' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT018,함숫값을 이용한 미지수 - 상수항 구하기,M2_FUNC_C004,basic,unknown_from_function_value;equation_setup;substitution,18,M2_LF_RAW_005,함숫값 범주의 '함숫값을 이용한 미지수' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT019,함숫값을 이용한 미지수 - 계수 구하기,M2_FUNC_C004,standard,unknown_from_function_value;equation_setup;substitution,18,M2_LF_RAW_005,함숫값 범주의 '함숫값을 이용한 미지수' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT020,함숫값을 이용한 미지수 - 함숫값을 이용한 미지수,M2_FUNC_C004,standard,unknown_from_function_value;equation_setup;substitution,18,M2_LF_RAW_005,함숫값 범주의 '함숫값을 이용한 미지수' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT021,y=ax+b 꼴 판별,M2_FUNC_C005;M2_FUNC_C006,basic,linear_function_definition;a_not_zero;degree_check,18;19,M2_LF_RAW_006,일차함수의 뜻 범주의 '일차함수 판별' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT022,일차함수 판별 - 일차항 계수 조건 a≠0 확인,M2_FUNC_C005;M2_FUNC_C006,standard,linear_function_definition;a_not_zero;degree_check,18;19,M2_LF_RAW_006,일차함수의 뜻 범주의 '일차함수 판별' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT023,일차함수 판별 - 일차함수가 아닌 식 찾기,M2_FUNC_C005;M2_FUNC_C006,standard,linear_function_definition;a_not_zero;degree_check,18;19,M2_LF_RAW_006,일차함수의 뜻 범주의 '일차함수 판별' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT024,일차함수 판별 - 일차함수 판별,M2_FUNC_C005;M2_FUNC_C006,advanced,linear_function_definition;a_not_zero;degree_check,18;19,M2_LF_RAW_006,일차함수의 뜻 범주의 '일차함수 판별' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT025,일차함수 함숫값 계산,M2_FUNC_C006;M2_FUNC_C007,standard,function_value;point_on_graph;coordinate_substitution,19,M2_LF_RAW_007,함숫값 범주의 '일차함수의 함숫값과 점' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT026,일차함수의 함숫값과 점 - 그래프 위의 점 판별,M2_FUNC_C006;M2_FUNC_C007,standard,function_value;point_on_graph;coordinate_substitution,19,M2_LF_RAW_007,함숫값 범주의 '일차함수의 함숫값과 점' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT027,일차함수의 함숫값과 점 - 좌표 대입 검산,M2_FUNC_C006;M2_FUNC_C007,advanced,function_value;point_on_graph;coordinate_substitution,19,M2_LF_RAW_007,함숫값 범주의 '일차함수의 함숫값과 점' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT028,일차함수의 함숫값과 점 - 일차함수의 함숫값과 점,M2_FUNC_C006;M2_FUNC_C007,basic,function_value;point_on_graph;coordinate_substitution,19,M2_LF_RAW_007,함숫값 범주의 '일차함수의 함숫값과 점' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT029,y=ax+b의 위아래 평행이동,M2_FUNC_C008,standard,vertical_translation;y_intercept_change;graph_shift,20,M2_LF_RAW_008,그래프 범주의 '평행이동' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT030,평행이동 - y절편 변화 해석,M2_FUNC_C008,advanced,vertical_translation;y_intercept_change;graph_shift,20,M2_LF_RAW_008,그래프 범주의 '평행이동' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT031,평행이동 - 그래프 이동 후 식 구하기,M2_FUNC_C008,basic,vertical_translation;y_intercept_change;graph_shift,20,M2_LF_RAW_008,그래프 범주의 '평행이동' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT032,평행이동 - 평행이동,M2_FUNC_C008,basic,vertical_translation;y_intercept_change;graph_shift,20,M2_LF_RAW_008,그래프 범주의 '평행이동' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT033,x절편 구하기,M2_FUNC_C009,advanced,x_intercept;y_intercept;coordinate_interpretation,20;21,M2_LF_RAW_009,절편 범주의 'x절편과 y절편 읽기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT034,x절편과 y절편 읽기 - y절편 구하기,M2_FUNC_C009,basic,x_intercept;y_intercept;coordinate_interpretation,20;21,M2_LF_RAW_009,절편 범주의 'x절편과 y절편 읽기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT035,x절편과 y절편 읽기 - 절편을 좌표로 표현,M2_FUNC_C009,basic,x_intercept;y_intercept;coordinate_interpretation,20;21,M2_LF_RAW_009,절편 범주의 'x절편과 y절편 읽기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT036,x절편과 y절편 읽기 - x절편과 y절편 읽기,M2_FUNC_C009,standard,x_intercept;y_intercept;coordinate_interpretation,20;21,M2_LF_RAW_009,절편 범주의 'x절편과 y절편 읽기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT037,x의 증가량과 y의 증가량,M2_FUNC_C010,basic,rate_of_change;slope;delta_x_delta_y,21,M2_LF_RAW_010,기울기 범주의 '변화량과 기울기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT038,변화량과 기울기 - 기울기 계산,M2_FUNC_C010,basic,rate_of_change;slope;delta_x_delta_y,21,M2_LF_RAW_010,기울기 범주의 '변화량과 기울기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT039,변화량과 기울기 - 변화율 해석,M2_FUNC_C010,standard,rate_of_change;slope;delta_x_delta_y,21,M2_LF_RAW_010,기울기 범주의 '변화량과 기울기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT040,변화량과 기울기 - 변화량과 기울기,M2_FUNC_C010,standard,rate_of_change;slope;delta_x_delta_y,21,M2_LF_RAW_010,기울기 범주의 '변화량과 기울기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
