raw_section_id,source_orders,domain,subdomain,task_group,concept_ids,representative_leaf_examples,source_image_range
M3_POLY_RAW_001,1,다항식의 곱셈,다항식×다항식,다항식과 다항식의 곱셈,M3_POLY_C001,다항식과 다항식의 곱셈 | 분배법칙 적용 누락 | 항의 개수가 늘어날 때 일부 곱을 빠뜨림,1.png
M3_POLY_RAW_002,2,다항식의 곱셈,계수 조건,전개식의 계수 구하기,M3_POLY_C002,전개식의 계수 구하기 | 특정 항을 찾지 못함 | 문자 조건을 계수 비교로 바꾸지 못함,2.png
M3_POLY_RAW_003,2,곱셈 공식,합의 제곱,합의 제곱 공식,M3_POLY_C003,합의 제곱 공식 | 가운데 항 2ab 누락 | 제곱식 전개를 단순 분배와 혼동,2.png
M3_POLY_RAW_004,2,곱셈 공식,차의 제곱,차의 제곱 공식,M3_POLY_C004,차의 제곱 공식 | -2ab 부호 오류 | 차의 제곱을 a^2-b^2로 오해,2.png
M3_POLY_RAW_005,3,곱셈 공식,합과 차의 곱,합과 차의 곱 공식,M3_POLY_C005,합과 차의 곱 공식 | 제곱의 차를 합의 제곱과 혼동 | 문자 2개 이상에서 항을 잘못 대응,3.png
M3_POLY_RAW_006,3,곱셈 공식,연속한 합과 차,연속한 합과 차의 곱,M3_POLY_C006,연속한 합과 차의 곱 | 공통 부분을 보지 못함 | 변형 순서 없이 직접 전개하다 오류,3.png
M3_POLY_RAW_007,3,곱셈 공식,일차항 계수 1,일차항 계수가 1인 두 일차식의 곱,M3_POLY_C007,일차항 계수가 1인 두 일차식의 곱 | 일차항 계수를 a+b가 아닌 ab로 처리 | 상수항 계산 오류,3.png
M3_POLY_RAW_008,4,곱셈 공식,일차항 계수 일반,일차항 계수가 1이 아닌 두 일차식의 곱,M3_POLY_C008,일차항 계수가 1이 아닌 두 일차식의 곱 | 첫항·끝항만 곱함 | 교차곱 ad+bc를 누락,4.png
M3_POLY_RAW_009,"4,16",곱셈 공식,세제곱 공식,세제곱 공식의 전개,M3_POLY_C009,세제곱 공식의 전개 | 계수 3 누락 | 세제곱 공식의 부호 배열 오류,"4.png, 16.png"
M3_POLY_RAW_010,4,곱셈 공식,공식 종합,곱셈 공식 종합 적용,M3_POLY_C010,곱셈 공식 종합 적용 | 공식 선택 오류 | 합차곱과 제곱식을 혼동,4.png
M3_POLY_RAW_011,"4,5,6",곱셈 공식,도형 활용,도형을 이용한 곱셈 공식,M3_POLY_C011,도형을 이용한 곱셈 공식 | 도형의 길이를 식으로 표현하지 못함 | 넓이/부피와 전개식 연결 오류,"4.png, 5.png, 6.png"
