item_id,source_id,book_id,source_subject,source_unit_id,source_unit_name,source_subunit_order,source_subunit_name,source_question_no,problem_pdf_file,problem_pdf_page,solution_pdf_file,solution_ref_status,target_curriculum_subject,target_domain_id,target_domain_name,engine_unit_id,engine_unit_name,matched_problem_type_id,matched_problem_type_name,concept_ids,engine_type_default_difficulty,item_difficulty,mapping_status,review_status,variant_id,variant_tags,near_duplicate_group,duplicate_of,diversity_weight,diagnosis_weight,skill_tags,error_tags,prerequisite_tags,storage_policy,created_at
SIDAE_SU1_MORE_ALG_Q001,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,1,지수의 기본 연산,001,2027 시대인재 기출MORE 지수와 로그.pdf,2,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_EXP_LOG,지수와 로그,H2_EL_PT041,두 문자에 대한 지수가 유리수인 수의 계산,H2_EL_C008|H2_EL_C013,standard,core,matched_by_source_subunit,teacher_review_recommended,H2_EL_PT041___BASIC_CONCEPT_FORM,exponent|basic_concept_form,H2_EL_PT041_01_basic_concept_form,,1.0,0.8,exponent|condition_check|answer_validation,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q002,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,1,지수의 기본 연산,002,2027 시대인재 기출MORE 지수와 로그.pdf,2,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_EXP_LOG,지수와 로그,H2_EL_PT041,두 문자에 대한 지수가 유리수인 수의 계산,H2_EL_C008|H2_EL_C013,standard,core,matched_by_source_subunit,teacher_review_recommended,H2_EL_PT041___BASIC_CONCEPT_FORM,exponent|basic_concept_form,H2_EL_PT041_01_basic_concept_form,,1.0,0.8,exponent|condition_check|answer_validation,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q003,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,1,지수의 기본 연산,003,2027 시대인재 기출MORE 지수와 로그.pdf,2,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_EXP_LOG,지수와 로그,H2_EL_PT041,두 문자에 대한 지수가 유리수인 수의 계산,H2_EL_C008|H2_EL_C013,standard,core,matched_by_source_subunit,teacher_review_recommended,H2_EL_PT041___BASIC_CONCEPT_FORM,exponent|basic_concept_form,H2_EL_PT041_01_basic_concept_form,,1.0,0.8,exponent|condition_check|answer_validation,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q004,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,1,지수의 기본 연산,004,2027 시대인재 기출MORE 지수와 로그.pdf,2,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_EXP_LOG,지수와 로그,H2_EL_PT041,두 문자에 대한 지수가 유리수인 수의 계산,H2_EL_C008|H2_EL_C013,standard,core,matched_by_source_subunit,teacher_review_recommended,H2_EL_PT041___BASIC_CONCEPT_FORM,exponent|basic_concept_form,H2_EL_PT041_01_basic_concept_form,,0.7,0.8,exponent|condition_check|answer_validation,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q005,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,1,지수의 기본 연산,005,2027 시대인재 기출MORE 지수와 로그.pdf,3,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_EXP_LOG,지수와 로그,H2_EL_PT041,두 문자에 대한 지수가 유리수인 수의 계산,H2_EL_C008|H2_EL_C013,standard,application,matched_by_source_subunit,teacher_review_recommended,H2_EL_PT041___CONDITION_APPLICATION_FORM,exponent|condition_application_form,H2_EL_PT041_01_condition_application_form,,1.0,0.9,exponent|condition_check|answer_validation,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q006,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,1,지수의 기본 연산,006,2027 시대인재 기출MORE 지수와 로그.pdf,3,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_EXP_LOG,지수와 로그,H2_EL_PT041,두 문자에 대한 지수가 유리수인 수의 계산,H2_EL_C008|H2_EL_C013,standard,application,matched_by_source_subunit,teacher_review_recommended,H2_EL_PT041___CONDITION_APPLICATION_FORM,exponent|condition_application_form,H2_EL_PT041_01_condition_application_form,,1.0,0.9,exponent|condition_check|answer_validation,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q007,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,1,지수의 기본 연산,007,2027 시대인재 기출MORE 지수와 로그.pdf,3,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_EXP_LOG,지수와 로그,H2_EL_PT041,두 문자에 대한 지수가 유리수인 수의 계산,H2_EL_C008|H2_EL_C013,standard,application,matched_by_source_subunit,teacher_review_recommended,H2_EL_PT041___CONDITION_APPLICATION_FORM,exponent|condition_application_form,H2_EL_PT041_01_condition_application_form,,1.0,0.9,exponent|condition_check|answer_validation,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q008,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,1,지수의 기본 연산,008,2027 시대인재 기출MORE 지수와 로그.pdf,3,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_EXP_LOG,지수와 로그,H2_EL_PT041,두 문자에 대한 지수가 유리수인 수의 계산,H2_EL_C008|H2_EL_C013,standard,application,matched_by_source_subunit,teacher_review_recommended,H2_EL_PT041___CONDITION_APPLICATION_FORM,exponent|condition_application_form,H2_EL_PT041_01_condition_application_form,,0.7,0.9,exponent|condition_check|answer_validation,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q009,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,1,지수의 기본 연산,009,2027 시대인재 기출MORE 지수와 로그.pdf,4,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_EXP_LOG,지수와 로그,H2_EL_PT041,두 문자에 대한 지수가 유리수인 수의 계산,H2_EL_C008|H2_EL_C013,standard,application,matched_by_source_subunit,teacher_review_recommended,H2_EL_PT041___CONDITION_APPLICATION_FORM,exponent|condition_application_form,H2_EL_PT041_01_condition_application_form,,0.7,0.9,exponent|condition_check|answer_validation,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q010,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,1,지수의 기본 연산,010,2027 시대인재 기출MORE 지수와 로그.pdf,4,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_EXP_LOG,지수와 로그,H2_EL_PT041,두 문자에 대한 지수가 유리수인 수의 계산,H2_EL_C008|H2_EL_C013,standard,challenge,matched_by_source_subunit,teacher_review_recommended,H2_EL_PT041___MIXED_REVIEW_FORM,exponent|mixed_review_form,H2_EL_PT041_01_mixed_review_form,,1.0,1.0,exponent|condition_check|answer_validation,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
