raw_section_id,source_orders,domain,subdomain,task_group,representative_leaf_examples,source_declared_detail_count,concept_ids
M2_LI_RAW_001,1,부등식,부등식의 뜻,부등식의 판단,부등식의 판단 | 부등식과 등식 구분 | 부등호 의미 읽기,3,M2_LI_C001
M2_LI_RAW_002,1,부등식,부등식으로 나타내기,문자의 연산 표현,문자의 연산 표현 | 수량 비교를 부등식으로 나타내기 | 기준량보다 크고 작은 관계,26,M2_LI_C002
M2_LI_RAW_003,1,부등식,부등식으로 나타내기,그림이 주어진 경우,그림 조건의 부등식 표현 | 수직선 조건의 부등식 표현 | 도형 조건의 부등식 표현,8,M2_LI_C003
M2_LI_RAW_004,1,부등식,부등식으로 나타내기,실생활·도형,실생활 상황의 부등식 표현 | 도형 조건의 부등식 표현 | 문장 조건 번역,7,"M2_LI_C002,M2_LI_C003"
M2_LI_RAW_005,1,부등식,부등식의 참거짓,부등식의 참·거짓 판단,값 대입 후 참거짓 판단 | 해인지 아닌지 판단 | 조건에 맞는 값 찾기,9,M2_LI_C004
M2_LI_RAW_006,"2,3",부등식,부등식의 해,조건을 만족시키는 해 구하기,x의 값이 주어진 경우 | x의 값의 조건이 주어진 경우 | x 이외 문자가 포함된 경우,17,M2_LI_C005
M2_LI_RAW_007,"2,3",부등식,부등식의 해,주어진 수를 해로 가지는 부등식 구하기,주어진 수를 해로 가지는 부등식 | 부등식의 해 판단 | 방정식 이용,9,"M2_LI_C005,M2_LI_C004"
M2_LI_RAW_008,"2,3",부등식,부등식의 기본 성질,대소 관계와 부등호 방향,두 미지수의 대소 관계 | 다항식 대소 관계 | 부등호 방향이 다른 부등식 찾기,47,"M2_LI_C006,M2_LI_C007,M2_LI_C008"
M2_LI_RAW_009,"2,3",부등식,부등식의 기본 성질,부등식 성질 응용,두 미지수의 부호 조건 | 세 미지수 조건 | 끝말에 이용된 부등식 성질 찾기,20,"M2_LI_C006,M2_LI_C007,M2_LI_C008"
M2_LI_RAW_010,4,부등식,식의 값 범위,한 문자 식의 값 범위,x의 범위가 주어진 때 다항식의 값의 범위 | 다항식 값의 범위가 주어진 때 x의 범위 | 다항식의 값의 범위로 다른 식의 값 범위 구하기,28,M2_LI_C009
M2_LI_RAW_011,4,부등식,식의 값 범위,두 문자 식의 값 범위,다항식 값의 범위 구하기 | 식에 포함된 미지수의 범위 구하기,14,M2_LI_C010
