problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H2_ALG_EXLOG_FUNC_PT001,고2,대수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,지수함수의 뜻 - 기본 개념 판별 - 기본 판별,"지수함수의 뜻과 그래프 범주의 '지수함수의 뜻 - 기본 개념 판별' 유형을 진단한다. 정의, 밑 조건, 진수 조건, 그래프의 기본 의미를 구분하는 진단을 통해 학생이 밑의 범위, 정의역, 진수 조건, 그래프 이동, 지수·로그 방정식과 부등식을 정확히 처리하는지 확인한다.",H2_ALG_EXLOG_FUNC_C001,core,exponential_function_definition|base_condition|function_definition,2,H2_ALG_EXLOG_FUNC_RAW_001,curated_problem_type_from_raw_taxonomy
H2_ALG_EXLOG_FUNC_PT002,고2,대수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,지수함수의 뜻 - 기본 개념 판별 - 조건 적용,"지수함수의 뜻과 그래프 범주의 '지수함수의 뜻 - 기본 개념 판별' 유형을 진단한다. 함숫값, 최대·최소, 방정식·부등식 조건을 식으로 적용하는 진단을 통해 학생이 밑의 범위, 정의역, 진수 조건, 그래프 이동, 지수·로그 방정식과 부등식을 정확히 처리하는지 확인한다.",H2_ALG_EXLOG_FUNC_C001,application,exponential_function_definition|base_condition|function_definition,2,H2_ALG_EXLOG_FUNC_RAW_001,curated_problem_type_from_raw_taxonomy
H2_ALG_EXLOG_FUNC_PT003,고2,대수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,지수함수의 뜻 - 기본 개념 판별 - 혼합 검산,"지수함수의 뜻과 그래프 범주의 '지수함수의 뜻 - 기본 개념 판별' 유형을 진단한다. 그래프, 식 변형, 보기형, 실생활 해석을 끝까지 검산하는 진단을 통해 학생이 밑의 범위, 정의역, 진수 조건, 그래프 이동, 지수·로그 방정식과 부등식을 정확히 처리하는지 확인한다.",H2_ALG_EXLOG_FUNC_C001,challenge,exponential_function_definition|base_condition|function_definition,2,H2_ALG_EXLOG_FUNC_RAW_001,curated_problem_type_from_raw_taxonomy
H2_ALG_EXLOG_FUNC_PT004,고2,대수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,지수함수의 뜻 - 식 계산 및 변형 - 기본 판별,"지수함수의 뜻과 그래프 범주의 '지수함수의 뜻 - 식 계산 및 변형' 유형을 진단한다. 정의, 밑 조건, 진수 조건, 그래프의 기본 의미를 구분하는 진단을 통해 학생이 밑의 범위, 정의역, 진수 조건, 그래프 이동, 지수·로그 방정식과 부등식을 정확히 처리하는지 확인한다.",H2_ALG_EXLOG_FUNC_C002,core,exponential_function_definition|base_condition|function_definition,2,H2_ALG_EXLOG_FUNC_RAW_002,curated_problem_type_from_raw_taxonomy
H2_ALG_EXLOG_FUNC_PT005,고2,대수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,지수함수의 뜻 - 식 계산 및 변형 - 조건 적용,"지수함수의 뜻과 그래프 범주의 '지수함수의 뜻 - 식 계산 및 변형' 유형을 진단한다. 함숫값, 최대·최소, 방정식·부등식 조건을 식으로 적용하는 진단을 통해 학생이 밑의 범위, 정의역, 진수 조건, 그래프 이동, 지수·로그 방정식과 부등식을 정확히 처리하는지 확인한다.",H2_ALG_EXLOG_FUNC_C002,application,exponential_function_definition|base_condition|function_definition,2,H2_ALG_EXLOG_FUNC_RAW_002,curated_problem_type_from_raw_taxonomy
H2_ALG_EXLOG_FUNC_PT006,고2,대수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,지수함수의 뜻 - 식 계산 및 변형 - 혼합 검산,"지수함수의 뜻과 그래프 범주의 '지수함수의 뜻 - 식 계산 및 변형' 유형을 진단한다. 그래프, 식 변형, 보기형, 실생활 해석을 끝까지 검산하는 진단을 통해 학생이 밑의 범위, 정의역, 진수 조건, 그래프 이동, 지수·로그 방정식과 부등식을 정확히 처리하는지 확인한다.",H2_ALG_EXLOG_FUNC_C002,challenge,exponential_function_definition|base_condition|function_definition,2,H2_ALG_EXLOG_FUNC_RAW_002,curated_problem_type_from_raw_taxonomy
H2_ALG_EXLOG_FUNC_PT007,고2,대수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,지수함수의 뜻 - 조건·그래프 적용 - 기본 판별,"지수함수의 뜻과 그래프 범주의 '지수함수의 뜻 - 조건·그래프 적용' 유형을 진단한다. 정의, 밑 조건, 진수 조건, 그래프의 기본 의미를 구분하는 진단을 통해 학생이 밑의 범위, 정의역, 진수 조건, 그래프 이동, 지수·로그 방정식과 부등식을 정확히 처리하는지 확인한다.",H2_ALG_EXLOG_FUNC_C003,core,exponential_function_definition|base_condition|function_definition,2,H2_ALG_EXLOG_FUNC_RAW_003,curated_problem_type_from_raw_taxonomy
H2_ALG_EXLOG_FUNC_PT008,고2,대수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,지수함수의 뜻 - 조건·그래프 적용 - 조건 적용,"지수함수의 뜻과 그래프 범주의 '지수함수의 뜻 - 조건·그래프 적용' 유형을 진단한다. 함숫값, 최대·최소, 방정식·부등식 조건을 식으로 적용하는 진단을 통해 학생이 밑의 범위, 정의역, 진수 조건, 그래프 이동, 지수·로그 방정식과 부등식을 정확히 처리하는지 확인한다.",H2_ALG_EXLOG_FUNC_C003,application,exponential_function_definition|base_condition|function_definition,2,H2_ALG_EXLOG_FUNC_RAW_003,curated_problem_type_from_raw_taxonomy
H2_ALG_EXLOG_FUNC_PT009,고2,대수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,지수함수의 뜻 - 조건·그래프 적용 - 혼합 검산,"지수함수의 뜻과 그래프 범주의 '지수함수의 뜻 - 조건·그래프 적용' 유형을 진단한다. 그래프, 식 변형, 보기형, 실생활 해석을 끝까지 검산하는 진단을 통해 학생이 밑의 범위, 정의역, 진수 조건, 그래프 이동, 지수·로그 방정식과 부등식을 정확히 처리하는지 확인한다.",H2_ALG_EXLOG_FUNC_C003,challenge,exponential_function_definition|base_condition|function_definition,2,H2_ALG_EXLOG_FUNC_RAW_003,curated_problem_type_from_raw_taxonomy
H2_ALG_EXLOG_FUNC_PT010,고2,대수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,지수함수의 뜻 - 보기형·최종 검산 - 기본 판별,"지수함수의 뜻과 그래프 범주의 '지수함수의 뜻 - 보기형·최종 검산' 유형을 진단한다. 정의, 밑 조건, 진수 조건, 그래프의 기본 의미를 구분하는 진단을 통해 학생이 밑의 범위, 정의역, 진수 조건, 그래프 이동, 지수·로그 방정식과 부등식을 정확히 처리하는지 확인한다.",H2_ALG_EXLOG_FUNC_C004,core,exponential_function_definition|base_condition|function_definition,2,H2_ALG_EXLOG_FUNC_RAW_004,curated_problem_type_from_raw_taxonomy
