problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,status
M1_CG_PT001,중1,M1_COORD_GRAPH,좌표평면과 그래프,수직선 위에 점 나타내기,수직선 위에 점 나타내기,"[""M1_CG_C001""]",basic,"[""number_line"", ""coordinate_reading""]",[1],curated_problem_type_from_raw_taxonomy
M1_CG_PT002,중1,M1_COORD_GRAPH,좌표평면과 그래프,수직선 위의 점을 기호로 나타내기,수직선 위의 점을 기호로 나타내기,"[""M1_CG_C001""]",basic,"[""number_line"", ""coordinate_notation""]",[1],curated_problem_type_from_raw_taxonomy
M1_CG_PT003,중1,M1_COORD_GRAPH,좌표평면과 그래프,간격이 있는 수직선에서 좌표 구하기,간격이 있는 수직선에서 좌표 구하기,"[""M1_CG_C001""]",core,"[""number_line"", ""interval_reading"", ""negative_coordinate""]",[1],curated_problem_type_from_raw_taxonomy
M1_CG_PT004,중1,M1_COORD_GRAPH,좌표평면과 그래프,서로 같은 두 순서쌍 판단,서로 같은 두 순서쌍 판단,"[""M1_CG_C002""]",basic,"[""ordered_pair"", ""x_y_order""]",[1],curated_problem_type_from_raw_taxonomy
M1_CG_PT005,중1,M1_COORD_GRAPH,좌표평면과 그래프,조건을 만족하는 순서쌍 찾기,조건을 만족하는 순서쌍 찾기,"[""M1_CG_C002""]",core,"[""ordered_pair"", ""condition_reasoning""]",[1],curated_problem_type_from_raw_taxonomy
M1_CG_PT006,중1,M1_COORD_GRAPH,좌표평면과 그래프,좌표평면 위에 점 나타내기,좌표평면 위에 점 나타내기,"[""M1_CG_C003""]",basic,"[""coordinate_plane"", ""plotting_points"", ""x_y_order""]",[1],curated_problem_type_from_raw_taxonomy
M1_CG_PT007,중1,M1_COORD_GRAPH,좌표평면과 그래프,좌표평면 위 점의 좌표 읽기,좌표평면 위 점의 좌표 읽기,"[""M1_CG_C003""]",basic,"[""coordinate_reading"", ""x_y_order""]",[1],curated_problem_type_from_raw_taxonomy
M1_CG_PT008,중1,M1_COORD_GRAPH,좌표평면과 그래프,x좌표와 y좌표의 기호 표현,x좌표와 y좌표의 기호 표현,"[""M1_CG_C003""]",basic,"[""coordinate_notation"", ""x_y_order""]",[1],curated_problem_type_from_raw_taxonomy
M1_CG_PT009,중1,M1_COORD_GRAPH,좌표평면과 그래프,좌표 조건으로 미지수 또는 점 찾기,좌표 조건으로 미지수 또는 점 찾기,"[""M1_CG_C003""]",core,"[""coordinate_condition"", ""unknown_coordinate""]",[1],curated_problem_type_from_raw_taxonomy
M1_CG_PT010,중1,M1_COORD_GRAPH,좌표평면과 그래프,좌표축 위의 점 판별,좌표축 위의 점 판별,"[""M1_CG_C004""]",basic,"[""axis_point"", ""zero_coordinate""]",[2],curated_problem_type_from_raw_taxonomy
