problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H1_CM2_GEQ_PT001,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,수직선 위의 좌표가 주어진 두 점 사이의 거리 - 기본 판별,"수직선 위의 두 점 사이의 거리 구하기 범주의 '수직선 위의 좌표가 주어진 두 점 사이의 거리' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C001,core,line_equation|slope_intercept|line_relation,1,H1_CM2_GEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT002,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,수직선 위의 좌표가 주어진 두 점 사이의 거리 - 조건 적용,"수직선 위의 두 점 사이의 거리 구하기 범주의 '수직선 위의 좌표가 주어진 두 점 사이의 거리' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C001,standard,line_equation|slope_intercept|line_relation,1,H1_CM2_GEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT003,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,수직선 위의 좌표가 주어진 두 점 사이의 거리 - 종합 활용,"수직선 위의 두 점 사이의 거리 구하기 범주의 '수직선 위의 좌표가 주어진 두 점 사이의 거리' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C001,high,line_equation|slope_intercept|line_relation,1,H1_CM2_GEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT004,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,두 점 사이의 거리를 이용하여 수직선 위의 점의 좌표 구하기 - 기본 판별,"수직선 위의 두 점 사이의 거리 구하기 범주의 '두 점 사이의 거리를 이용하여 수직선 위의 점의 좌표 구하기' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C002,core,line_equation|slope_intercept|line_relation,2,H1_CM2_GEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT005,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,두 점 사이의 거리를 이용하여 수직선 위의 점의 좌표 구하기 - 조건 적용,"수직선 위의 두 점 사이의 거리 구하기 범주의 '두 점 사이의 거리를 이용하여 수직선 위의 점의 좌표 구하기' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C002,standard,line_equation|slope_intercept|line_relation,2,H1_CM2_GEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT006,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,두 점 사이의 거리를 이용하여 수직선 위의 점의 좌표 구하기 - 종합 활용,"수직선 위의 두 점 사이의 거리 구하기 범주의 '두 점 사이의 거리를 이용하여 수직선 위의 점의 좌표 구하기' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C002,high,line_equation|slope_intercept|line_relation,2,H1_CM2_GEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT007,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,좌표가 주어졌을 때 두 점 사이의 거리 - 기본 판별,"좌표평면 위의 두 점 사이의 거리 구하기 범주의 '좌표가 주어졌을 때 두 점 사이의 거리' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C003,core,coordinate_distance|condition_translation|geometry_property,3,H1_CM2_GEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT008,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,좌표가 주어졌을 때 두 점 사이의 거리 - 조건 적용,"좌표평면 위의 두 점 사이의 거리 구하기 범주의 '좌표가 주어졌을 때 두 점 사이의 거리' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C003,standard,coordinate_distance|condition_translation|geometry_property,3,H1_CM2_GEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT009,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,좌표가 주어졌을 때 두 점 사이의 거리 - 종합 활용,"좌표평면 위의 두 점 사이의 거리 구하기 범주의 '좌표가 주어졌을 때 두 점 사이의 거리' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C003,high,coordinate_distance|condition_translation|geometry_property,3,H1_CM2_GEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT010,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,두 점 사이의 거리가 어떤 수 이하가 되도록 하는 실수 범위 - 기본 판별,"좌표평면 위의 두 점 사이의 거리 구하기 범주의 '두 점 사이의 거리가 어떤 수 이하가 되도록 하는 실수 범위' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C004,core,coordinate_distance|condition_translation|geometry_property,4,H1_CM2_GEQ_RAW_004,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT011,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,두 점 사이의 거리가 어떤 수 이하가 되도록 하는 실수 범위 - 조건 적용,"좌표평면 위의 두 점 사이의 거리 구하기 범주의 '두 점 사이의 거리가 어떤 수 이하가 되도록 하는 실수 범위' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C004,standard,coordinate_distance|condition_translation|geometry_property,4,H1_CM2_GEQ_RAW_004,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT012,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,두 점 사이의 거리가 어떤 수 이하가 되도록 하는 실수 범위 - 종합 활용,"좌표평면 위의 두 점 사이의 거리 구하기 범주의 '두 점 사이의 거리가 어떤 수 이하가 되도록 하는 실수 범위' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C004,high,coordinate_distance|condition_translation|geometry_property,4,H1_CM2_GEQ_RAW_004,curated_problem_type_from_raw_taxonomy
H1_CM2_GEQ_PT013,고1,공통수학2,H1_COMMON_MATH2_GEOMETRY_EQUATION,도형의 방정식,선분의 길이 - 기본 판별,"좌표평면 위의 두 점 사이의 거리 구하기 범주의 '선분의 길이' 유형을 진단한다. 좌표 조건, 방정식 변환, 거리·위치 관계, 도형 이동을 정확히 적용하는지 확인한다.",H1_CM2_GEQ_C005,core,coordinate_distance|condition_translation|geometry_property,5,H1_CM2_GEQ_RAW_005,curated_problem_type_from_raw_taxonomy
