problem_type_id,type_name,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id
M2_LI_PT001,부등식의 판단,M2_LI_C001,basic,linear_inequality,1,M2_LI_RAW_001
M2_LI_PT002,부등식과 등식 구분,M2_LI_C001,basic,linear_inequality,1,M2_LI_RAW_001
M2_LI_PT003,문자의 연산 표현,M2_LI_C002,basic,inequality_modeling,1,M2_LI_RAW_002
M2_LI_PT004,수량 비교를 부등식으로 나타내기,M2_LI_C002,basic,inequality_modeling,1,M2_LI_RAW_002
M2_LI_PT005,기준량보다 크고 작은 관계,M2_LI_C002,intermediate,inequality_modeling,1,M2_LI_RAW_002
M2_LI_PT006,그림 조건의 부등식 표현,M2_LI_C003,basic,inequality_modeling,1,M2_LI_RAW_003
M2_LI_PT007,수직선 조건의 부등식 표현,M2_LI_C003,basic,inequality_modeling,1,M2_LI_RAW_003
M2_LI_PT008,실생활 상황의 부등식 표현,"M2_LI_C002,M2_LI_C003",basic,"geometry_application,inequality_modeling",1,M2_LI_RAW_004
M2_LI_PT009,도형 조건의 부등식 표현,"M2_LI_C002,M2_LI_C003",basic,"geometry_application,inequality_modeling",1,M2_LI_RAW_004
M2_LI_PT010,값 대입 후 참거짓 판단,M2_LI_C004,basic,solution_check,1,M2_LI_RAW_005
M2_LI_PT011,해인지 아닌지 판단,M2_LI_C004,basic,solution_check,1,M2_LI_RAW_005
M2_LI_PT012,x의 값이 주어진 경우,M2_LI_C005,basic,solution_check,"2,3",M2_LI_RAW_006
M2_LI_PT013,x의 값의 조건이 주어진 경우,M2_LI_C005,basic,solution_check,"2,3",M2_LI_RAW_006
M2_LI_PT014,x 이외 문자가 포함된 경우,M2_LI_C005,intermediate,solution_check,"2,3",M2_LI_RAW_006
M2_LI_PT015,주어진 수를 해로 가지는 부등식,"M2_LI_C005,M2_LI_C004",basic,solution_check,"2,3",M2_LI_RAW_007
M2_LI_PT016,부등식의 해 판단,"M2_LI_C005,M2_LI_C004",basic,solution_check,"2,3",M2_LI_RAW_007
M2_LI_PT017,두 미지수의 대소 관계,"M2_LI_C006,M2_LI_C007,M2_LI_C008",basic,inequality_direction,"2,3",M2_LI_RAW_008
M2_LI_PT018,다항식 대소 관계,"M2_LI_C006,M2_LI_C007,M2_LI_C008",basic,inequality_direction,"2,3",M2_LI_RAW_008
