book_id,catalog_no,title,author,publisher,source_collection,source_pdf_file,pdf_intro_page,pdf_discussion_page,pdf_reference_page,data_status,summary_short,starter_questions,linked_subjects,linked_majors,fit_keywords,fit_modes,notes
book_1984,1,1984,조지 오웰,민음사,독서중심 주제탐구 활동 올인원 1,독서중심 주제탐구 활동 1.pdf,10,11,12,expanded_from_pdf_catalog_and_intro,"감시와 통제, 언어 조작, 진실 왜곡을 통해 전체주의 사회가 개인의 자유와 사고를 어떻게 제한하는지 보여주는 디스토피아 소설.","['오늘날 개인정보 수집과 AI 기술 발전은 감시 사회로 이어질 수 있을까?', '국가 통제와 개인 자유 사이의 균형은 어떤 기준으로 판단해야 할까?', '정보 과잉 시대에 진실을 비판적으로 판단하려면 무엇이 필요할까?']","['통합사회', '정보', '공통국어', '역사', '윤리']","['사회학과', '행정학과', '미디어커뮤니케이션학과', '문헌정보학과', '컴퓨터공학과']","['감시', '통제', '언어', '권력', '사회 시스템', '정보 처리']","['compare', 'case', 'career']",PDF 목차 기준 기본 입력. 일부 도서는 intro page 기준 1차 의미 확장 반영.
book_galmaegi,2,갈매기,안톤 체호프,더클래식,독서중심 주제탐구 활동 올인원 1,독서중심 주제탐구 활동 1.pdf,13,14,15,expanded_from_pdf_catalog_and_intro,"엇갈린 사랑, 예술적 열망, 좌절과 관계의 갈등을 통해 인간의 욕망과 행복의 의미를 성찰하게 하는 희곡.","['예술을 향한 순수한 열망은 왜 현실 앞에서 좌절되는가?', '엇갈린 사랑 속 인물들은 왜 진정한 행복을 찾지 못하는가?', '등장인물들의 선택 속에서 삶의 의미는 어떻게 달라지는가?']","['공통국어', '문학', '통합사회', '윤리']","['국어국문학과', '심리학과', '연극영화과', '문화콘텐츠학과']","['감정', '욕망', '관계', '예술', '좌절', '심리']","['compare', 'case', 'application']",PDF 목차 기준 기본 입력. 일부 도서는 intro page 기준 1차 의미 확장 반영.
book_003,3,객관성의 칼날,찰스 길리스피,새물결,독서중심 주제탐구 활동 올인원 1,독서중심 주제탐구 활동 1.pdf,16,17,18,expanded_from_pdf_catalog_and_intro,"갈릴레오에서 상대성이론까지 과학 지식이 어떻게 형성·변화하는지, 객관성이 어떤 역사적·문화적 맥락에서 구성되는지 다루는 과학사 교양서.","['과학의 객관성은 시대와 문화에 따라 다르게 정의될 수 있을까?', '수학적 모델은 과학의 진실성을 왜곡할 가능성이 있을까?', '객관성의 한계를 아는 것이 과학 발전에 어떤 도움을 줄까?']","['통합과학1', '과학탐구실험1', '공통수학1', '역사']","['물리학과', '화학과', '생명과학과', '수학교육과', '과학교육과']","['과학사', '객관성', '실험', '모델', '관찰', '지식 형성']","['compare', 'application', 'career']",PDF 목차 기준 기본 입력. 일부 도서는 intro page 기준 1차 의미 확장 반영.
book_004,4,겐지 이야기,무라사키 시키부,한길사,독서중심 주제탐구 활동 올인원 1,독서중심 주제탐구 활동 1.pdf,19,20,21,expanded_from_pdf_catalog_and_intro,"헤이안 귀족 사회를 배경으로 사랑, 권력, 미의식, 윤리의 문제를 통해 인간관계와 사회 질서를 비추는 고전 서사.","['겐지의 사랑 방식은 현대 윤리 기준에서 어떻게 평가될까?', '작품 속 여성 인물들은 어떤 역할과 시선을 보여주는가?', '욕망과 도덕 사이에서 인간은 어떤 선택을 하는 존재인가?']","['공통국어', '세계사', '윤리', '통합사회']","['일어일문학과', '사학과', '문화인류학과', '철학과', '국어국문학과']","['권력', '귀족사회', '미의식', '사랑', '윤리', '젠더']","['compare', 'case', 'application']",PDF 목차 기준 기본 입력. 일부 도서는 intro page 기준 1차 의미 확장 반영.
book_gyeongyeonghak,5,경영학 콘서트,장영재,비즈니스북스,독서중심 주제탐구 활동 올인원 1,독서중심 주제탐구 활동 1.pdf,22,23,24,expanded_from_pdf_catalog_and_intro,"마케팅, 가격, 데이터 기반 의사결정 등 현대 기업 운영의 핵심 원리를 일상 사례와 함께 설명하는 경영 교양서.","['마케팅 전략은 소비자의 선택에 어떤 영향을 미치는가?', '고객관계관리는 단기 수익과 장기 신뢰 중 무엇을 우선해야 할까?', '데이터 분석은 기업 의사결정에 어떤 장점을 주는가?']","['정보', '통합사회', '공통수학1']","['경영학과', '산업공학과', '통계학과', '데이터사이언스학과', '국제통상학과']","['데이터', '의사결정', '효율', '마케팅', '시스템', '최적화']","['case', 'application', 'career', 'compare']",PDF 목차 기준 기본 입력. 일부 도서는 intro page 기준 1차 의미 확장 반영.
book_006,6,고리오 영감,오노레 드 발자크,민음사,독서중심 주제탐구 활동 올인원 1,독서중심 주제탐구 활동 1.pdf,25,26,27,expanded_from_pdf_catalog_and_intro,"도시 사회의 욕망과 몰락, 가족 관계와 인간성의 붕괴를 통해 근대 사회의 구조와 개인의 선택을 비판적으로 보여주는 소설.","['사회적 성공을 위해 도덕적 타협은 정당화될 수 있을까?', '도시 사회에서 가족의 가치는 왜 흔들리는가?', '개인의 욕망과 사회 구조는 어떻게 서로를 강화하는가?']","['공통국어', '통합사회', '윤리']","['국어국문학과', '사회학과', '심리학과', '철학과']","['욕망', '도시사회', '가족', '계급', '성공', '도덕']","['compare', 'case', 'application']",PDF 목차 기준 기본 입력. 일부 도서는 intro page 기준 1차 의미 확장 반영.
book_007,7,고향,이기영,푸른사상,독서중심 주제탐구 활동 올인원 1,독서중심 주제탐구 활동 1.pdf,28,29,30,expanded_from_pdf_catalog_and_intro,"농민의 삶과 식민지 현실, 공동체와 생존의 문제를 통해 사회 구조와 인간다운 삶의 조건을 묻는 소설.","['공동체 윤리는 개인과 사회 속에서 어떤 의미를 가지는가?', '농민의 삶을 둘러싼 구조적 문제는 어떻게 형성되는가?', '생존 전략은 인간다움을 훼손하지 않고 가능할까?']","['공통국어', '통합사회', '역사']","['국어국문학과', '사회학과', '역사학과', '정치외교학과']","['농민', '공동체', '생존', '식민지', '사회 구조', '윤리']","['compare', 'case', 'application']",PDF 목차 기준 기본 입력. 일부 도서는 intro page 기준 1차 의미 확장 반영.
book_008,8,공정하다는 착각,마이클 샌델,와이즈베리,독서중심 주제탐구 활동 올인원 1,독서중심 주제탐구 활동 1.pdf,31,32,33,expanded_from_pdf_catalog_and_intro,"능력주의 사회의 공정성 신화를 비판하며, 개인 책임과 사회 구조의 관계를 다시 묻게 하는 사회철학 교양서.","['능력주의는 정말 공정한 기준이 될 수 있을까?', '저소득층 우선 정책은 공정성 관점에서 어떻게 해석할 수 있을까?', '개인의 성취는 어디까지 개인의 노력으로 설명할 수 있을까?']","['통합사회', '윤리', '정치와법']","['철학과', '정치외교학과', '사회학과', '행정학과', '경제학과']","['공정', '능력주의', '정의', '구조', '불평등', '정책']","['compare', 'application', 'career']",PDF 목차 기준 기본 입력. 일부 도서는 intro page 기준 1차 의미 확장 반영.
book_009,9,광장,최인훈,문학과지성사,독서중심 주제탐구 활동 올인원 1,독서중심 주제탐구 활동 1.pdf,34,35,36,expanded_from_pdf_catalog_and_intro,"이념과 자유, 개인의 선택과 사회 현실의 충돌을 통해 분단과 인간 존재의 문제를 탐색하는 한국 현대소설.","['국가나 사회의 이념은 개인의 삶에 어디까지 개입할 수 있을까?', '분단 현실에서 개인의 자유는 어떻게 제한되는가?', '개인의 선택은 이념보다 우선할 수 있을까?']","['공통국어', '통합사회', '역사', '윤리']","['국어국문학과', '정치외교학과', '사회학과', '철학과']","['이념', '자유', '분단', '선택', '국가', '개인']","['compare', 'case', 'application']",PDF 목차 기준 기본 입력. 일부 도서는 intro page 기준 1차 의미 확장 반영.
book_010,10,국가,플라톤,현대지성,독서중심 주제탐구 활동 올인원 1,독서중심 주제탐구 활동 1.pdf,37,38,39,expanded_from_pdf_catalog_and_intro,"정의로운 국가와 이상적 사회, 교육과 통치의 원리를 통해 정치 공동체의 기준을 묻는 철학 고전.","['오늘날의 정치 체제에서 플라톤의 이상국가 개념은 어떤 의미를 가질까?', '정의로운 사회는 개인의 자유보다 공동선을 우선해야 할까?', '국가의 통치는 어떤 기준을 따라야 정당화될 수 있을까?']","['통합사회', '윤리', '역사']","['철학과', '정치외교학과', '행정학과', '교육학과']","['정의', '국가', '이상사회', '통치', '교육', '공동선']","['compare', 'application', 'career']",PDF 목차 기준 기본 입력. 일부 도서는 intro page 기준 1차 의미 확장 반영.
