raw_section_id,source_orders,domain,subdomain,task_group,representative_leaf_examples,source_image_range
M2_LF_RAW_001,16,함수의 뜻,함수와 대응 관계,함수와 대응 관계,함수의 뜻 판별;정의역·공역·치역 구분;함수인 대응 관계 찾기,016.png
M2_LF_RAW_002,16,함수의 뜻,대응표와 함수 판별,대응표와 함수 판별,대응표에서 함수 여부 판단;한 x값에 두 y값이 대응되는 오류 판별;대응 관계의 설명 참거짓,016.png
M2_LF_RAW_003,17,관계식,상황에서 관계식 세우기,상황에서 관계식 세우기,"문장 조건을 x,y 관계식으로 나타내기;비례/증가 조건을 식으로 번역;조건에 맞는 관계식 선택",017.png
M2_LF_RAW_004,17,함숫값,함숫값 계산,함숫값 계산,f(a) 계산;대입 순서 확인;음수 대입과 괄호 처리,017.png
M2_LF_RAW_005,18,함숫값,함숫값을 이용한 미지수,함숫값을 이용한 미지수,f(a)=b 조건에서 미지수 구하기;상수항 구하기;계수 구하기,018.png
M2_LF_RAW_006,18;19,일차함수의 뜻,일차함수 판별,일차함수 판별,y=ax+b 꼴 판별;일차항 계수 조건 a≠0 확인;일차함수가 아닌 식 찾기,"018.png, 019.png"
M2_LF_RAW_007,19,함숫값,일차함수의 함숫값과 점,일차함수의 함숫값과 점,일차함수 함숫값 계산;그래프 위의 점 판별;좌표 대입 검산,019.png
M2_LF_RAW_008,20,그래프,평행이동,평행이동,y=ax+b의 위아래 평행이동;y절편 변화 해석;그래프 이동 후 식 구하기,020.png
M2_LF_RAW_009,20;21,절편,x절편과 y절편 읽기,x절편과 y절편 읽기,x절편 구하기;y절편 구하기;절편을 좌표로 표현,"020.png, 021.png"
M2_LF_RAW_010,21,기울기,변화량과 기울기,변화량과 기울기,x의 증가량과 y의 증가량;기울기 계산;변화율 해석,021.png
M2_LF_RAW_011,22,기울기,기울기에 따른 그래프 모양,기울기에 따른 그래프 모양,기울기 양수/음수 판단;기울기 크기와 그래프 기울어진 정도;감소·증가 그래프 구분,022.png
M2_LF_RAW_012,22;23,기울기,두 점을 지나는 직선의 기울기,두 점을 지나는 직선의 기울기,두 점의 좌표로 기울기 구하기;좌표 순서 오류 판별;수직/수평에 가까운 그래프 해석,"022.png, 023.png"
M2_LF_RAW_013,23,그래프 해석,기울기와 y절편 관계,기울기와 y절편 관계,식에서 기울기·y절편 읽기;그래프에서 식의 계수 판단;기울기와 절편 조건 연결,023.png
M2_LF_RAW_014,24,그래프 그리기,일차함수 그래프 그리기,일차함수 그래프 그리기,두 점 잡아 그래프 그리기;절편을 이용한 그래프;주어진 그래프와 식 매칭,024.png
