source_file,source_chapter,source_unit,source_step,source_theme_range,engine_unit_id,engine_unit_name,matched_problem_type_id,type_name,item_count,mapping_status,review_action
시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 1~4,STEP1,T01_04,ALG_EXP_LOG_FOUNDATION,대수 > 지수와 로그 기초,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,39,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 5~8,STEP1,T05_08,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수의 그래프와 성질,21,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP1 Theme 9~13,STEP1,T09_13,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_EQ_INEQ_APPLICATION,지수·로그 방정식/부등식과 활용,23,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 지수함수와 로그함수.pdf,Chapter 1 지수함수와 로그함수,STEP2 Theme 1~11,STEP2,T01_11,ALG_EXP_LOG_FUNCTION,대수 > 지수함수와 로그함수,ALG_EXPLOG_FUNC_PT_COMPLEX_APPLICATION,지수·로그함수 복합 활용,19,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 삼각함수.pdf,Chapter 2 삼각함수,STEP1 Theme 12~15,STEP1,T12_15,ALG_TRIGONOMETRIC_FUNCTION,대수 > 삼각함수,ALG_TRIG_PT_DEFINITION_GRAPH,삼각함수의 뜻과 그래프,25,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 삼각함수.pdf,Chapter 2 삼각함수,STEP1 Theme 16~19,STEP1,T16_19,ALG_TRIGONOMETRIC_FUNCTION,대수 > 삼각함수,ALG_TRIG_PT_EQ_INEQ,삼각방정식과 삼각부등식,34,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 삼각함수.pdf,Chapter 2 삼각함수,STEP1 Theme 20~22,STEP1,T20_22,ALG_TRIGONOMETRIC_FUNCTION,대수 > 삼각함수,ALG_TRIG_PT_SINE_COSINE_LAW,사인법칙과 코사인법칙,22,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 삼각함수.pdf,Chapter 2 삼각함수,STEP2 Theme 12~22,STEP2,T12_22,ALG_TRIGONOMETRIC_FUNCTION,대수 > 삼각함수,ALG_TRIG_PT_COMPLEX_APPLICATION,삼각함수 복합 활용,19,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,28,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 28~31,STEP1,T28_31,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_SUM,수열의 합,16,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 32~33,STEP1,T32_33,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_RECURRENCE,귀납적 정의와 점화식,19,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 34~35,STEP1,T34_35,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_INDUCTION,수학적 귀납법,12,range_matched_review_required,confirm / refine_problem_type / split_variant / block
시발점 대수 수열.pdf,Chapter 3 수열,STEP2 Theme 23~35,STEP2,T23_35,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_COMPLEX_APPLICATION,수열 복합 활용,21,range_matched_review_required,confirm / refine_problem_type / split_variant / block
