raw_section_id,source_order,source_image,major_category,section_name,normalized_concept_id,estimated_detail_type_count_in_major,error_tags,status
H1_CM2_SET_RAW_001,1,1.png,집합의 뜻과 표현,집합과 원소의 뜻 판별 - 기본 조건 판별,H1_CM2_SET_C001,7,set_notation|element_condition|domain_translation,normalized_from_image_tree
H1_CM2_SET_RAW_002,1,1.png,집합의 뜻과 표현,집합과 원소의 뜻 판별 - 계산 및 식 정리,H1_CM2_SET_C002,4,set_notation|element_condition|domain_translation,normalized_from_image_tree
H1_CM2_SET_RAW_003,1,1.png,집합의 뜻과 표현,집합과 원소의 뜻 판별 - 조건 변형 적용,H1_CM2_SET_C003,6,set_notation|element_condition|domain_translation,normalized_from_image_tree
H1_CM2_SET_RAW_004,1,1.png,집합의 뜻과 표현,집합과 원소의 뜻 판별 - 보기형·참거짓 검산,H1_CM2_SET_C004,8,set_notation|element_condition|domain_translation,normalized_from_image_tree
H1_CM2_SET_RAW_005,1,1.png,집합의 뜻과 표현,집합인 것과 집합이 아닌 것 구분 - 기본 조건 판별,H1_CM2_SET_C005,7,set_notation|element_condition|domain_translation,normalized_from_image_tree
H1_CM2_SET_RAW_006,1,1.png,집합의 뜻과 표현,집합인 것과 집합이 아닌 것 구분 - 계산 및 식 정리,H1_CM2_SET_C006,4,set_notation|element_condition|domain_translation,normalized_from_image_tree
H1_CM2_SET_RAW_007,1,1.png,집합의 뜻과 표현,집합인 것과 집합이 아닌 것 구분 - 조건 변형 적용,H1_CM2_SET_C007,6,set_notation|element_condition|domain_translation,normalized_from_image_tree
H1_CM2_SET_RAW_008,1,1.png,집합의 뜻과 표현,집합인 것과 집합이 아닌 것 구분 - 보기형·참거짓 검산,H1_CM2_SET_C008,8,set_notation|element_condition|domain_translation,normalized_from_image_tree
H1_CM2_SET_RAW_009,1,1.png,집합의 뜻과 표현,원소 기호와 포함 기호 구분 - 기본 조건 판별,H1_CM2_SET_C009,8,set_notation|element_condition|domain_translation,normalized_from_image_tree
H1_CM2_SET_RAW_010,1,1.png,집합의 뜻과 표현,원소 기호와 포함 기호 구분 - 계산 및 식 정리,H1_CM2_SET_C010,5,set_notation|element_condition|domain_translation,normalized_from_image_tree
H1_CM2_SET_RAW_011,2,2.png,집합의 뜻과 표현,원소 기호와 포함 기호 구분 - 조건 변형 적용,H1_CM2_SET_C011,7,set_notation|element_condition|domain_translation,normalized_from_image_tree
H1_CM2_SET_RAW_012,2,2.png,집합의 뜻과 표현,원소 기호와 포함 기호 구분 - 보기형·참거짓 검산,H1_CM2_SET_C012,4,set_notation|element_condition|domain_translation,normalized_from_image_tree
