management_no,volume,pdf_book_no,source_pdf,title,author,publisher,existing_book_id,existing_source_id,stage1_decision,keywords,related_subjects,related_majors,summary_or_notes,mini_use_note,source_zip
1,1,01,1-4.pdf,1984,조지 오웰,민음사,book_1984,booksrc_0001,duplicate_existing_active_card,,공통국어 | 역사 | 도덕 | 수학 | 과학 | 기술·가정 | 정보 | 통합사회 | 사회와 문화 | 현대사회와 윤리 | 정치와 법 | 윤리와 사상 | 사회문제 탐구,광고홍보학과 | 컴퓨터공학과 | 문헌정보학과 | 미디어커뮤니케이션학과 | 사회복지학과 | 사회학과 | 심리학과 | 언론정보학과 | 역사학과 | 철학과,"전체주의 사회와 감시 체제 속에서 개인의 자유, 진실, 언어, 사고가 어떻게 통제되는지를 보여주는 소설이다.",,book_pdf_1_4_stage1_result.zip
2,1,02,1-4.pdf,갈매기,안톤 체호프,더클래식,book_galmaegi,booksrc_0002,duplicate_existing_active_card,,공통국어 | 역사 | 도덕 | 통합사회 | 문학 | 사회와 문화 | 현대사회와 윤리 | 세계사 | 러시아어 | 연극 | 인문학과 윤리,국어국문학과 | 노어노문학과 | 러시아어문학과 | 문예창작학과 | 문화인류학과 | 문화콘텐츠학과 | 사회학과 | 심리학과 | 역사학과 | 연극영화학과 | 철학과,"현실과 이상, 예술가의 자아, 사랑과 인정 욕구가 충돌하는 인물들을 통해 인간의 욕망과 좌절을 보여주는 희곡이다.",,book_pdf_1_4_stage1_result.zip
3,1,03,1-4.pdf,객관성의 칼날,찰스 길리스피,새물결,book_003,booksrc_0003,duplicate_existing_active_card,,사회 | 역사 | 수학 | 과학 | 영어 | 진로와 직업 | 통합사회 | 통합과학 | 생활과 윤리 | 지구과학 | 화학 | 생명과학,과학교육과 | 물리학과 | 생명과학과 | 수학교육과 | 수학과 | 역사교육과 | 역사학과 | 영어교육학과,"과학 지식이 언제나 고정된 진리가 아니라 시대와 문화, 수학적 모델, 철학적 관점 속에서 형성되고 변화해 왔음을 보여주는 과학사 도서이다.",,book_pdf_1_4_stage1_result.zip
4,1,04,1-4.pdf,겐지 이야기,무라사키 시키부,한길사,book_004,booksrc_0004,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 음악 | 미술 | 생활 일본어 | 공통국어 | 문학 | 세계사 | 사회와 문화 | 일본어 | 동아시아 역사 기행 | 인문학과 윤리 | 사회문제 탐구,국어국문학과 | 문화인류학과 | 문헌정보학과 | 일어일문학과 | 철학과 | 사학과,"일본 헤이안 시대 귀족 사회를 배경으로 사랑, 권력, 미의식, 젠더 관계를 섬세하게 보여주는 고전 서사이다.",,book_pdf_1_4_stage1_result.zip
5,1,05,5-8.pdf,경영학 콘서트,장영재,비즈니스북스,book_gyeongyeonghak,booksrc_0005,기존 카드 보강 후보로 기록한다. 현재 단계에서 파일 교체는 하지 않는다.,,,,"마케팅, 가격, 보상 설계, 데이터 분석이 기업의 의사결정과 소비자의 선택에 어떤 영향을 주는지 설명하는 경영·데이터 융합 도서이다.",데이터 분석형 또는 사례 분석형 보고서의 경영 의사결정 근거 도서,book_pdf_5_8_stage1_result.zip
6,1,06,5-8.pdf,고리오 영감,오노레 드 발자크,민음사,book_006,booksrc_0006,기존 카드 보강 후보로 기록한다. 현재 단계에서 파일 교체는 하지 않는다.,,,,"프랑스 근대 사회를 배경으로 가족, 욕망, 신분 상승, 도덕성의 문제를 보여주는 문학 도서이다.",사회문제 분석형 또는 인물 심리 분석형 보고서의 사례 근거 도서,book_pdf_5_8_stage1_result.zip
7,1,07,5-8.pdf,고향,이기영,푸른사상,book_007,booksrc_0007,기존 카드 보강 후보로 기록한다. 현재 단계에서 파일 교체는 하지 않는다.,,,,"일제강점기 농민의 삶과 사회 구조를 통해 노동, 계급, 공동체, 저항의 문제를 탐구하게 하는 문학·사회 탐구 도서이다.",역사·사회 구조 분석형 보고서의 문학 사례 근거 도서,book_pdf_5_8_stage1_result.zip
8,1,08,5-8.pdf,공정하다는 착각,마이클 샌델,와이즈베리,book_008,booksrc_0008,기존 카드 보강 후보로 기록한다. 현재 단계에서 파일 교체는 하지 않는다.,,,,"능력주의와 공정성 개념을 비판적으로 검토하며 개인의 노력, 사회 구조, 불평등, 정의의 문제를 연결하는 사회·윤리 탐구 도서이다.",쟁점 분석형 또는 비교 분석형 보고서의 핵심 이론·관점 도서,book_pdf_5_8_stage1_result.zip
9,1,09,9-14.pdf,광장,최인훈,문학과지성사,book_009,booksrc_0009,duplicate_existing_active_card,,공통국어 | 도덕 | 역사 | 사회,국어국문학과 | 문예창작학과 | 정치외교학과 | 사회학과 | 심리학과 | 역사학과,"분단 현실과 이념 갈등 속에서 개인이 자유와 책임, 인간다운 삶의 의미를 어떻게 선택하는지 보여주는 소설이다.",,book_pdf_9_14_stage1_result.zip
10,1,10,9-14.pdf,국가,플라톤,현대지성,book_010,booksrc_0010,duplicate_existing_active_card,,사회 | 역사 | 도덕 | 기술·가정 | 진로와 직업,철학과 | 정치외교학과 | 행정학과 | 사회학과 | 교육학과 | 윤리교육과,"정의로운 국가와 이상적인 정치 체제를 통해 공동체, 교육, 계급, 통치자의 자격을 탐구하는 고전이다.",,book_pdf_9_14_stage1_result.zip
