problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
M3_QUAD_PT001,중3,M3_QUADRATIC_EQUATION,이차방정식,이차방정식,이차방정식 범주의 '이차방정식' 유형을 진단한다.,"[""M3_QUAD_C001""]",core,"[""quadratic_definition""]",[1],M3_QUAD_RAW_001,curated_problem_type_from_raw_taxonomy
M3_QUAD_PT002,중3,M3_QUADRATIC_EQUATION,이차방정식,이차방정식의 조건,이차방정식 범주의 '이차방정식의 조건' 유형을 진단한다.,"[""M3_QUAD_C001""]",advanced,"[""quadratic_definition""]",[1],M3_QUAD_RAW_001,curated_problem_type_from_raw_taxonomy
M3_QUAD_PT003,중3,M3_QUADRATIC_EQUATION,이차방정식,주어진 해를 갖는 이차방정식,이차방정식의 해 범주의 '주어진 해를 갖는 이차방정식' 유형을 진단한다.,"[""M3_QUAD_C003""]",core,"[""root_substitution""]",[1],M3_QUAD_RAW_002,curated_problem_type_from_raw_taxonomy
M3_QUAD_PT004,중3,M3_QUADRATIC_EQUATION,이차방정식,x값의 범위가 주어진 경우,이차방정식의 해 범주의 'x값의 범위가 주어진 경우' 유형을 진단한다.,"[""M3_QUAD_C003""]",advanced,"[""root_substitution""]",[1],M3_QUAD_RAW_002,curated_problem_type_from_raw_taxonomy
M3_QUAD_PT005,중3,M3_QUADRATIC_EQUATION,이차방정식,한 근이 주어진 경우의 미지수의 값 구하기,"이차방정식의 한 근이 주어졌을 때, 미지수의 값 구하기 범주의 '한 근이 주어진 경우의 미지수의 값 구하기' 유형을 진단한다.","[""M3_QUAD_C004""]",advanced,"[""root_substitution""]",[2],M3_QUAD_RAW_003,curated_problem_type_from_raw_taxonomy
M3_QUAD_PT006,중3,M3_QUADRATIC_EQUATION,이차방정식,한 근이 주어진 경우의 두 미지수의 값 구하기,"이차방정식의 한 근이 주어졌을 때, 미지수의 값 구하기 범주의 '한 근이 주어진 경우의 두 미지수의 값 구하기' 유형을 진단한다.","[""M3_QUAD_C004""]",advanced,"[""root_substitution""]",[2],M3_QUAD_RAW_003,curated_problem_type_from_raw_taxonomy
M3_QUAD_PT007,중3,M3_QUADRATIC_EQUATION,이차방정식,두 근이 주어진 경우의 미지수의 값 구하기,"이차방정식의 한 근이 주어졌을 때, 미지수의 값 구하기 범주의 '두 근이 주어진 경우의 미지수의 값 구하기' 유형을 진단한다.","[""M3_QUAD_C004""]",advanced,"[""root_substitution""]",[2],M3_QUAD_RAW_003,curated_problem_type_from_raw_taxonomy
M3_QUAD_PT008,중3,M3_QUADRATIC_EQUATION,이차방정식,한 근이 주어진 경우의 식의 값 구하기,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기 범주의 '한 근이 주어진 경우의 식의 값 구하기' 유형을 진단한다.","[""M3_QUAD_C004""]",core,"[""root_substitution""]",[2],M3_QUAD_RAW_004,curated_problem_type_from_raw_taxonomy
M3_QUAD_PT009,중3,M3_QUADRATIC_EQUATION,이차방정식,두 근이 주어진 경우의 식의 값 구하기,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기 범주의 '두 근이 주어진 경우의 식의 값 구하기' 유형을 진단한다.","[""M3_QUAD_C004""]",core,"[""root_substitution""]",[2],M3_QUAD_RAW_004,curated_problem_type_from_raw_taxonomy
M3_QUAD_PT010,중3,M3_QUADRATIC_EQUATION,이차방정식,AB=0인 경우,AB=0의 성질을 이용한 이차방정식의 풀이 범주의 'AB=0인 경우' 유형을 진단한다.,"[""M3_QUAD_C005""]",core,"[""zero_product_factorization""]",[2],M3_QUAD_RAW_005,curated_problem_type_from_raw_taxonomy
