problem_type_id,type_name,concept_ids,source_orders,default_difficulty,error_tags
M1_IR_PT001,보기 중 양수/음수 모두 고르기,M1_IR_C001,1,basic,sign_judgement|zero_confusion
M1_IR_PT002,양수·음수의 개수 구하기,M1_IR_C001,1,basic,sign_judgement|counting
M1_IR_PT003,상황을 양·음의 부호로 나타내기,M1_IR_C002,2,basic,context_to_sign
M1_IR_PT004,부호 표현의 옳고 그름 판단,M1_IR_C002|M1_IR_C003|M1_IR_C030,2|3,basic,sign_property|statement_judgement
M1_IR_PT005,자연수·정수 판별하기,M1_IR_C004,4,basic,number_classification
M1_IR_PT006,양의 정수·음의 정수 판별하기,M1_IR_C004,5,basic,integer_classification|zero_confusion
M1_IR_PT007,유리수 분류표 채우기,M1_IR_C005,6,core,rational_classification
M1_IR_PT008,양의 유리수·음의 유리수 판별하기,M1_IR_C005,6,basic,rational_classification|sign_judgement
M1_IR_PT009,정수가 아닌 유리수 판별하기,M1_IR_C005,7,core,integer_vs_rational
M1_IR_PT010,정수와 유리수의 성질 판단,M1_IR_C005|M1_IR_C030,8,core,statement_judgement|set_relation
M1_IR_PT011,수를 수직선 위에 나타내기,M1_IR_C006,9,basic,number_line_position
M1_IR_PT012,수직선 위의 점이 나타내는 수 읽기,M1_IR_C006,9|10,basic,number_line_reading
M1_IR_PT013,수직선에서 좌우 순서 찾기,M1_IR_C007,10,core,number_line_order
M1_IR_PT014,수직선을 이용하여 가까운 정수 찾기,M1_IR_C008,11,core,nearest_integer|interval_count
M1_IR_PT015,수직선에서 같은 거리에 있는 점 찾기,M1_IR_C009,11|12|13,core,distance_symmetry
M1_IR_PT016,정수의 절댓값 구하기,M1_IR_C010,14,basic,absolute_value
M1_IR_PT017,분수·소수의 절댓값 구하기,M1_IR_C010,15,basic,absolute_value|fraction_decimal
M1_IR_PT018,절댓값으로 수 찾기,M1_IR_C011,16|17,core,absolute_value_inverse
M1_IR_PT019,절댓값 조건으로 두 수 관계 판단,M1_IR_C011|M1_IR_C012,18|19|20|21|22|23|24|25|26,advanced,absolute_value_relation|case_split
M1_IR_PT020,정수와 유리수의 대소 비교,M1_IR_C013,27|28|29|30,core,comparison
M1_IR_PT021,절댓값을 포함한 대소 비교,M1_IR_C014,27|28|29|30|31,advanced,absolute_value_comparison
M1_IR_PT022,조건을 만족하는 수의 범위와 관계 찾기,M1_IR_C015,31|32|33|34|35|36|37|38,advanced,conditional_comparison|case_split
M1_IR_PT023,같은 부호 정수의 덧셈,M1_IR_C016,39,basic,addition_sign
M1_IR_PT024,다른 부호 정수의 덧셈,M1_IR_C016,39|40|41,core,addition_sign|absolute_value_compare
M1_IR_PT025,유리수의 덧셈 계산,M1_IR_C016,42|43|44|45,core,fraction_decimal|addition
M1_IR_PT026,덧셈의 교환법칙·결합법칙 판단,M1_IR_C017|M1_IR_C030,46|47,core,operation_law
M1_IR_PT027,정수의 뺄셈을 덧셈으로 바꾸기,M1_IR_C018,48|49,core,subtraction_to_addition
M1_IR_PT028,분수·소수의 뺄셈 계산,M1_IR_C018,50|51|52,core,subtraction|fraction_decimal
M1_IR_PT029,덧셈·뺄셈 혼합계산,M1_IR_C019,53|54|55|56|57,core,add_sub_mix|parentheses
M1_IR_PT030,~보다 큰/작은 수 문장식 계산,M1_IR_C020,58|59|60,core,word_problem|context_to_expression
M1_IR_PT031,온도·거리·시각·위치 변화 계산,M1_IR_C020|M1_IR_C029,61|62|63|64|65|66|67|68|69|70,advanced,application|context_to_expression
M1_IR_PT032,정수의 곱셈 부호 결정,M1_IR_C021,70|71|72|73|74|75,basic,multiplication_sign
M1_IR_PT033,여러 유리수의 곱셈 계산,M1_IR_C021,72|73|74|75,core,multiplication|fraction_decimal
M1_IR_PT034,정수의 거듭제곱 계산,M1_IR_C022,76|77,core,power_sign|parentheses
M1_IR_PT035,분수·소수의 거듭제곱 계산,M1_IR_C022,78|79|80,core,power|fraction_decimal
M1_IR_PT036,곱셈 계산 법칙과 분배법칙 판단,M1_IR_C023|M1_IR_C030,81|82|83,core,distributive_law|operation_law
M1_IR_PT037,분배법칙을 이용하여 계산하기,M1_IR_C023,81|82|83|84|85|86,core,distributive_law|parentheses
M1_IR_PT038,유리수의 나눗셈과 역수,M1_IR_C024,87|88|89|90|91|92,core,division|reciprocal
M1_IR_PT039,곱셈과 나눗셈 사이의 관계,M1_IR_C024,91|92|93|94,advanced,inverse_operation|division
M1_IR_PT040,문자로 주어진 수의 부호 판단,M1_IR_C025,95|96|97,advanced,symbolic_sign|case_split
M1_IR_PT041,곱셈·나눗셈 혼합계산,M1_IR_C026,98|99|100,core,mult_div_mix|operation_order
M1_IR_PT042,사칙연산 혼합계산 순서 판단,M1_IR_C027,101|102|103,core,operation_order
M1_IR_PT043,거듭제곱이 포함된 사칙 혼합계산,M1_IR_C027,104|105|106|107|108,advanced,operation_order|power
M1_IR_PT044,빈칸이 포함된 혼합계산,M1_IR_C027,101|102|103|104|105|106|107|108,advanced,missing_value|inverse_operation
M1_IR_PT045,새로운 연산 기호 계산,M1_IR_C028,109|110,advanced,defined_operation|rule_application
M1_IR_PT046,도형·규칙·주사위 응용 계산,M1_IR_C029,111|112|113|114,advanced,application|multi_step
M1_IR_PT047,계산 과정 또는 설명의 옳고 그름 판단,M1_IR_C030,1|3|4|8|10|27|46|58|76|81|91|95|100|114,core,statement_judgement|error_detection
