item_id,source_id,source_title,source_subject,source_file,source_section_code,source_unit,source_question_no,source_page,engine_subject,engine_unit_id,engine_unit_name,engine_subunit_id,engine_subunit_name,matched_problem_type_id,concept_ids,type_name,variant_id,variant_tags,skill_tags,error_tags,prerequisite_concepts,difficulty,mapping_status,duplicate_of,near_duplicate_group,diagnosis_weight,copyright_note,review_note
idea_su1_ii_2_001,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,001,2,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION,삼각함수의 뜻,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE,ALG_TRIG_DEFINITION,일반각과 삼각함수의 정의,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE_GENERAL_ANGLE,general_angle|radian|unit_circle,general_angle|radian|unit_circle,일반각 위치 해석 오류|호도법과 도형 조건 연결 부족,원과 부채꼴|좌표평면,core,matched,,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE::general_angle,0.85,problem_text_not_stored; metadata_only,
idea_su1_ii_2_002,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,002,2,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION,삼각함수의 뜻,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE,ALG_TRIG_DEFINITION,일반각과 삼각함수의 정의,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE_GENERAL_ANGLE,general_angle|radian|unit_circle,general_angle|radian|unit_circle,일반각 위치 해석 오류|호도법과 도형 조건 연결 부족,원과 부채꼴|좌표평면,core,matched,,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE::general_angle,0.85,problem_text_not_stored; metadata_only,
idea_su1_ii_2_003,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,003,3,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION,삼각함수의 뜻,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE,ALG_TRIG_DEFINITION,일반각과 삼각함수의 정의,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE_GENERAL_ANGLE,general_angle|radian|unit_circle,general_angle|radian|unit_circle,일반각 위치 해석 오류|호도법과 도형 조건 연결 부족,원과 부채꼴|좌표평면,core,matched,,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE::general_angle,0.85,problem_text_not_stored; metadata_only,
idea_su1_ii_2_004,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,004,3,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION,삼각함수의 뜻,ALG_TRIG_PT_TRIG_VALUE_IDENTITY,ALG_TRIG_DEFINITION,삼각함수 값과 기본 항등식,ALG_TRIG_PT_TRIG_VALUE_IDENTITY_SIN_COS_TAN_VALUE,sin_cos_tan_value|trig_identity|quadrant_sign,sin_cos_tan_value|trig_identity|quadrant_sign,사분면 부호 오류|기본 항등식 적용 오류,피타고라스 정리|좌표평면,applied,matched,,ALG_TRIG_PT_TRIG_VALUE_IDENTITY::sin_cos_tan_value,0.95,problem_text_not_stored; metadata_only,
idea_su1_ii_2_005,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,005,4,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION,삼각함수의 뜻,ALG_TRIG_PT_TRIG_VALUE_IDENTITY,ALG_TRIG_DEFINITION,삼각함수 값과 기본 항등식,ALG_TRIG_PT_TRIG_VALUE_IDENTITY_SIN_COS_TAN_VALUE,sin_cos_tan_value|trig_identity|quadrant_sign,sin_cos_tan_value|trig_identity|quadrant_sign,사분면 부호 오류|기본 항등식 적용 오류,피타고라스 정리|좌표평면,applied,matched,,ALG_TRIG_PT_TRIG_VALUE_IDENTITY::sin_cos_tan_value,0.95,problem_text_not_stored; metadata_only,
idea_su1_ii_2_006,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,006,4,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION,삼각함수의 뜻,ALG_TRIG_PT_TRIG_VALUE_IDENTITY,ALG_TRIG_DEFINITION,삼각함수 값과 기본 항등식,ALG_TRIG_PT_TRIG_VALUE_IDENTITY_SIN_COS_TAN_VALUE,sin_cos_tan_value|trig_identity|quadrant_sign,sin_cos_tan_value|trig_identity|quadrant_sign,사분면 부호 오류|기본 항등식 적용 오류,피타고라스 정리|좌표평면,applied,matched,,ALG_TRIG_PT_TRIG_VALUE_IDENTITY::sin_cos_tan_value,0.95,problem_text_not_stored; metadata_only,
idea_su1_ii_34_001,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 삼각함수.pdf,II-(3)(4),삼각함수의 그래프와 방정식/부등식,001,6,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_GRAPH_EQUATION,삼각함수의 그래프와 방정식·부등식,ALG_TRIG_PT_GRAPH_TRANSFORM,ALG_TRIG_GRAPH_EQUATION,삼각함수 그래프의 주기·진폭·평행이동,ALG_TRIG_PT_GRAPH_TRANSFORM_TRIG_GRAPH,trig_graph|period_amplitude|phase_shift,trig_graph|period_amplitude|phase_shift,주기 계산 오류|평행이동 방향 혼동,함수 그래프|삼각함수 정의,core,matched,,ALG_TRIG_PT_GRAPH_TRANSFORM::trig_graph,0.85,problem_text_not_stored; metadata_only,
idea_su1_ii_34_002,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 삼각함수.pdf,II-(3)(4),삼각함수의 그래프와 방정식/부등식,002,6,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_GRAPH_EQUATION,삼각함수의 그래프와 방정식·부등식,ALG_TRIG_PT_GRAPH_TRANSFORM,ALG_TRIG_GRAPH_EQUATION,삼각함수 그래프의 주기·진폭·평행이동,ALG_TRIG_PT_GRAPH_TRANSFORM_TRIG_GRAPH,trig_graph|period_amplitude|phase_shift,trig_graph|period_amplitude|phase_shift,주기 계산 오류|평행이동 방향 혼동,함수 그래프|삼각함수 정의,core,matched,,ALG_TRIG_PT_GRAPH_TRANSFORM::trig_graph,0.85,problem_text_not_stored; metadata_only,
idea_su1_ii_34_003,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 삼각함수.pdf,II-(3)(4),삼각함수의 그래프와 방정식/부등식,003,7,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_GRAPH_EQUATION,삼각함수의 그래프와 방정식·부등식,ALG_TRIG_PT_GRAPH_TRANSFORM,ALG_TRIG_GRAPH_EQUATION,삼각함수 그래프의 주기·진폭·평행이동,ALG_TRIG_PT_GRAPH_TRANSFORM_TRIG_GRAPH,trig_graph|period_amplitude|phase_shift,trig_graph|period_amplitude|phase_shift,주기 계산 오류|평행이동 방향 혼동,함수 그래프|삼각함수 정의,core,matched,,ALG_TRIG_PT_GRAPH_TRANSFORM::trig_graph,0.85,problem_text_not_stored; metadata_only,
idea_su1_ii_34_004,idea_su1,IDEA 수학Ⅰ,수학Ⅰ,아이디어 수학1 삼각함수.pdf,II-(3)(4),삼각함수의 그래프와 방정식/부등식,004,7,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_GRAPH_EQUATION,삼각함수의 그래프와 방정식·부등식,ALG_TRIG_PT_GRAPH_TRANSFORM,ALG_TRIG_GRAPH_EQUATION,삼각함수 그래프의 주기·진폭·평행이동,ALG_TRIG_PT_GRAPH_TRANSFORM_TRIG_GRAPH,trig_graph|period_amplitude|phase_shift,trig_graph|period_amplitude|phase_shift,주기 계산 오류|평행이동 방향 혼동,함수 그래프|삼각함수 정의,core,matched,,ALG_TRIG_PT_GRAPH_TRANSFORM::trig_graph,0.85,problem_text_not_stored; metadata_only,
