task_id,subject,subject_raw,level,source,evidence_class,evidence_scope,fallback_derived,fallback_sources,guide,matched_terms,subject_concepts,concept_name,concept_display_name,correct,reviewer_note
assessment_task_0691f94cb1,공통수학1,공통수학1,I_or_other,textbook_concept_dictionary,clean,both,False,,수학적 문해력으로 읽는 다항식 공통수학 수행평가 영역: 수학적 문해력으로 읽는 다항식. 단계 단계별 평가 활동 단계별 평가 방법 1단계 주어진 지문에서 다항식 개념 확인하기 활동지 서술 내용 관찰 및 평가 2단계 문장 선택하고 자신의 생각 표현하기 활동지 서술 내용 관찰 및 평가 3단계 주어진 지문에서 항등식과 방정식 개념 정리하기 활동지 서술 내용 관찰 및 평가 4단계 개념을 활용하여 주어진 문제를 다양한 방법으로 풀어보기 활동지 서술 내용 관찰 및 평가 @@PAGE 22@@ - 20 -,다항식 | 항등식,항등식 | 나머지정리와 인수분해,나머지정리와 인수분해,나머지정리와 인수분해,,
assessment_task_3a2aff6c85,공통수학1,공통수학1,I_or_other,textbook_plus_legacy,clean,both,False,,실생활 연계 수학 유용성 탐구 프로젝트 공통수학 수행평가 과제: 실생활 연계 수학 유용성 탐구 프로젝트. 평가내용: 다항식을 실생활과 연결하여 수학의 유용성을 알아보기 이차방정식과 이차함수의 관계 및 여러 가지 방정식과 부등식의 개념을 실생활에 적용해 보기 경우의 수를 이용하여 실생활 문제를 해결해 보기 실생활 상황을 행렬로 표현하여 행렬의 유용성을 알아보기,여러 가지 방정식과 부등식 | 이차방정식과 이차함수 | 이차방정식 | 경우의 수 | 이차함수 | 다항식 | 부등식 | 행렬,함수 | 행렬 | 경우의 수 | 여러 가지 방정식과 부등식,여러 가지 방정식과 부등식,여러 가지 방정식과 부등식,,
assessment_task_4e5b126a2f,공통수학1,공통수학1,I_or_other,textbook_plus_legacy,clean,both,False,,경우의 수와 행렬과 관련된 자료를 조사하여 실생활 패턴과 응용 분야 탐구하기 경우의 수와 행렬 관련된 자료를 조사하여 실생활 패턴과 응용 분야 탐구,경우의 수 | 행렬,행렬 | 경우의 수,"경우의 수, 순열, 조합",경우의 수,,
assessment_task_9d0cf0e49c,공통수학1,공통수학1,I_or_other,textbook_concept_dictionary,clean,both,False,,다항식과 방정식 단원의 원리와 문제 해결 과정 논술하기 ∙ 개념 및 원리를 설명하는 글 서술하기 ∙ 문제 해결 과정 서술하기,다항식,다항식의 연산,다항식의 연산,다항식의 연산,,
assessment_task_b2f2d06b77,공통수학1,공통수학1,I_or_other,textbook_concept_dictionary,clean,both,False,,모둠 프로젝트 : 방정식과 부등식 모둠 주제 탐구 활동 공통수학 수행평가 과제: 모둠 프로젝트 : 방정식과 부등식 모둠 주제 탐구 활동. 평가내용: 공통수학 1 의 교과 내용을 이해하고 있는가? 서술∙논술 구술∙발표 토의∙토론 조사∙관찰보고서 실험∙실습 실기∙시연,부등식,여러 가지 방정식과 부등식,여러 가지 방정식과 부등식,여러 가지 방정식과 부등식,,
assessment_task_be547751b6,공통수학1,공통수학1,I_or_other,textbook_plus_legacy,clean,both,False,,"방정식과 부등식 및 경우의 수와 행렬의 성질 탐구하기 방정식과 부등식, 경우의 수, 행렬과 관련된 개념, 성질을 이해하고 탐구하며 그 과정에 대해 논술한다.",경우의 수 | 부등식 | 행렬,행렬 | 경우의 수,"경우의 수, 순열, 조합",경우의 수,,
assessment_task_294144d0e6,공통수학2,공통수학2,I_or_other,textbook_concept_dictionary,clean,both,False,,"구하기 원의 방정식을 설명하고 실생활 탐구하기 제시된 원의 방정식을 설명하고 좌표평면 위에 그리기 주어진 조건에 따라 평행이동하기 (논술형, 기타유형)",원의 방정식 | 좌표평면 | 평행이동 | 이동 | 좌표 | 평행,좌표평면 | 평행 | 평면좌표와 직선의 방정식,평면좌표와 직선의 방정식,평면좌표와 직선의 방정식,,
assessment_task_e0c520ff13,공통수학2,공통수학2,I_or_other,textbook_concept_dictionary,clean,both,False,,"문제제기 기반 문항 개발 문제를 단순히 해결하는 것을 넘어 각 단원의 내용을 이해하여 유의미한 문제를 제기(POSING)하고 이를 바 탕으로 문항을 개발할 수 있다. [10공수2-01-01] 선분의 내분을 이해하고, 내분점의 좌표를 계산할 수 있다. [10공수2-01-02] 두 직선의 평행 조건과 수직 조건을 탐구하고 이해한다. [10공수2-01-03] 점과 직선 사이의 거리를 구하고, 관련된 문제를 해결할 수 있다. [10공수2-01-04] 원의 방정식을 구하고, 그래프를 그릴 수 있다.",점과 직선 사이의 거리 | 선분의 내분 | 원의 방정식 | 내분점 | 거리 | 내분 | 논리 | 수직,점과 직선 사이의 거리 | 선분의 내분 | 평면좌표와 직선의 방정식,평면좌표와 직선의 방정식,평면좌표와 직선의 방정식,,
assessment_task_1b6d9f19df,과학과제 연구,과학과제 연구,I_or_other,textbook_concept_dictionary,clean,both,True,과학탐구실험2 | 과학탐구실험1,연구 프로젝트 수행 및 결과 발표 데이터 수집 및 분석 ( / 연구 결과 해석 ( / 연구 보고서 작성 ( / 참고문헌 표기 ( / 연구 보고 발표 ( / 질문의 타당성 ( / 답변의 타당성 (,데이터 수집 | 참고 문헌 | 데이터 | 해석,데이터 수집 | 첨단 센서와 디지털 정보 탐구,첨단 센서와 디지털 정보 탐구,첨단 센서와 디지털 정보 탐구,,
assessment_task_20f7b6468a,과학과제 연구,과학과제 연구,I_or_other,textbook_concept_dictionary,clean,both,True,과학탐구실험2 | 과학탐구실험1,"주제별 연구 논문 비교 분석 세미나 유사 주제의 오리지널 연구 논문 2편 선정 / 각 논문의 연구 목적, 연구 방법, 주요 결과 분석 / 핵심 데이터 및 결과에 대한 정량적 해석 / 두 논문의 공통점, 연구 방법의 차이, 결과 및 해석의 차이 비교·종합 / 분석 내용을 바탕으로 발표 수행 / 발표 후 청중의 질문에 대해 논문 근거를 바탕으로 답변",데이터 | 해석,해석 | 자료 수집·분석·결론 도출,자료 수집·분석·결론 도출,자료 수집·분석·결론 도출,,
assessment_task_24dd627b26,과학과제 연구,과학과제 연구,I_or_other,textbook_concept_dictionary,clean,both,True,과학탐구실험1,"연구 결과 발표 과학과제 연구 수행평가 영역: 연구 결과 발표. GE 300@@ - 300 - 라. 연구 결과 발표 성취 기준 및 평가 기준 [12과연01-13] 연구 결과를 논리적으로 정리하여 구두 또는 포스터 등을 활용하여 발표할 수 있다. 평가 시기 6월 3주 반영비율 20% 영역만점 100점 평가 방법 ☑ 구술･발표 ☑ 토의･토론 ☑ 프로젝트 ☑ 포트폴리오 평가 요소 및 채점 기준 1. 방식 가. 팀원 모두 발표에 참여하며, 팀당 15분 이내로 발표함. 나. 발표 시간 : 15분 이내(±3분) 2. 채점 기준 분야 채점 기준 감점 PPT (50점) 요소 연구 목적, 관련 이론, 탐구 방법",탐구 방법 | 협력,탐구 방법 | 협력,,탐구 방법,,
assessment_task_36f65f794a,과학과제 연구,과학과제 연구,I_or_other,textbook_concept_dictionary,clean,both,True,과학탐구실험2 | 과학탐구실험1,"연구 수행 및 결과 보고서 과학과제 연구 수행평가 영역: 연구 수행 및 결과 보고서. ▪수업 시간 동안 진행하며 종료령과 함께 결과물을 수합한다. ▪2단계로 구분해 실시하며 개별로 평가한다. ▪연구 수행 과정에서 수집한 자료를 바탕으로 결과를 분석하고 과학적 근거에 기반하여 해석하 도록 지도한다. ▪연구 자료의 출처를 명확히 제시하도록 하며 연구 윤리를 준수하도록 지도한다. ▪다양한 자료를 수집하기 위해 AI 등 디지털 도구를 활용할 수 있으나, AI를 활용하여 보고서의 내용을 직접 작성하게 하거나, 연구 결과 및 결론을 대신 도출하게 하는 행위는 금지되며 적발 시 부정행위로 간주…",과학적 근거 | 문제 해결 | 연구 윤리 | 가설 | 결론 | 변인 | 해석,변인 | 가설 설정과 탐구 설계,가설 설정과 탐구 설계,가설 설정과 탐구 설계,,
assessment_task_60ee6fe978,과학과제 연구,과학과제 연구,I_or_other,textbook_concept_dictionary,clean,both,True,과학탐구실험2 | 과학탐구실험1,"연구 설계 및 계획서 과학과제 연구 수행평가 영역: 연구 설계 및 계획서. ▪수업 시간 동안 진행하며 종료령과 함께 결과물을 수합한다. ▪2단계로 구분해 실시하며 개별로 평가한다. ▪연구 주제는 과학적 탐구가 가능한 내용으로 설정하도록 하며 연구 방법의 수행 가능성을 고려 하도록 지도한다. ▪연구 자료의 출처를 명확히 제시하도록 하며 연구 윤리를 준수하도록 지도한다. ▪다양한 자료를 수집하기 위해 AI 등 디지털 도구를 활용할 수 있으나, AI를 활용하여 보고서의 내용을 직접 작성하게 하거나, 연구 결과 및 결론을 대신 도출하게 하는 행위는 금지되며 적발 시 부정행위로…",문제 해결 | 연구 윤리 | 결론 | 변인 | 해석,해석 | 자료 수집·분석·결론 도출,자료 수집·분석·결론 도출,자료 수집·분석·결론 도출,,
