subject,task_title,matched_terms,concept_name,generated_title,correct
공통수학1,"방정식과 부등식, 함수와 관련된 일상생활에서 자료를 조사하여 학문 간 경계를 넘는 응용 분야 탐구하기",여러 가지 방정식과 부등식 | 이차방정식과 이차함수 | 복소수와 이차방정식 | 이차방정식 | 이차함수 | 다항식 | 모델링 | 복소수,복소수와 이차방정식,"방정식과 부등식, 함수와 관련된 일상생활에서 자료를 조사하여 학문 간 경계를 넘는 응용 분야 탐구하기의 조건 재구성과 풀이 비교: 함수·모델링·복소수와 이차방정식을 중심으로",
공통수학1,이차함수와 부등식을 활용하여 실생활 문제 해결하기,이차부등식 | 이차함수 | 부등식 | 함수,여러 가지 방정식과 부등식,이차함수와 부등식을 활용하여 실생활 문제 해결하기의 자료·조건 변화를 이차부등식·함수·여러 가지 방정식과 부등식으로 해석하고 판단 기준을 분석,
공통수학1,문제 해결 및 심화 탐구,다항식 | 행렬,다항식의 연산,문제 해결 및 심화 탐구의 조건별 변화를 행렬·다항식의 연산으로 해석하고 결과의 신뢰도와 한계를 분석,
공통수학1,다항식 문제 제작 및 다양한 풀이 완성하기,나머지정리 | 인수분해 | 나머지 | 다항식 | 인수,나머지정리와 인수분해,다항식 문제 제작 및 다양한 풀이 완성하기의 조건별 변화를 나머지정리와 인수분해로 해석하고 결과의 신뢰도와 한계를 분석,
공통수학1,를 탐색하기 제시된 이차함수 식에 대하여 설명하고 그래프를 그리기,이차함수 | 최대 | 최소 | 함수,이차방정식과 이차함수,를 탐색하기 제시된 이차함수 식에 대하여 설명하고 그래프를 그리기의 조건 재구성과 풀이 비교: 최대·최소·함수을 중심으로,
공통수학1,방정식과 부등식 · 경우의 수 문제 만들기,경우의 수 | 부등식,"경우의 수, 순열, 조합","방정식과 부등식 · 경우의 수 문제 만들기의 자료·조건 변화를 경우의 수·경우의 수, 순열, 조합으로 해석하고 판단 기준을 분석",
공통수학1,수학으로 보는 나의 세계,인수,,수학으로 보는 나의 세계의 조건별 변화를 인수로 해석하고 결과의 신뢰도와 한계를 분석,
공통수학1,실생활 연계 수학 유용성 탐구 프로젝트,여러 가지 방정식과 부등식 | 이차방정식과 이차함수 | 이차방정식 | 경우의 수 | 이차함수 | 다항식 | 부등식 | 계수,여러 가지 방정식과 부등식,실생활 연계 수학 유용성 탐구 프로젝트의 자료·조건 변화를 함수·행렬·경우의 수로 해석하고 판단 기준을 분석,
공통수학1,수학을 활용한 실생활 문제 해결하기,경우의 수 | 부등식,"경우의 수, 순열, 조합","수학을 활용한 실생활 문제 해결하기의 조건 재구성과 풀이 비교: 경우의 수·경우의 수, 순열, 조합을 중심으로",
공통수학1,이차함수 세상 돋보기,이차함수 | 함수,이차방정식과 이차함수,이차함수 세상 돋보기의 조건 재구성과 풀이 비교: 함수·이차방정식과 이차함수을 중심으로,
